TEAM,GAME_PF,GAME_PA,GAME_PD,H1_PF,H1_PA,H1_PD,H2_PF,H2_PA,H2_PD
Abilene Christian,70.3,72.4,-2.1,33.0,35.2,-2.2,37.4,37.2,0.2
Air Force,61.5,79.9,-18.3,28.1,38.9,-10.8,33.4,41.0,-7.6
Akron,88.4,73.5,14.9,42.5,34.8,7.7,45.9,38.7,7.2
Alabama,91.7,83.5,8.3,44.4,37.9,6.5,47.3,45.5,1.8
Alabama A&M,72.1,72.5,-0.5,33.1,33.8,-0.7,39.0,38.7,0.3
Alabama State,73.2,77.3,-4.1,36.4,37.2,-0.8,36.8,40.1,-3.3
Albany,72.0,72.9,-0.9,34.7,33.8,0.9,37.3,39.1,-1.8
Alcorn State,66.9,80.2,-13.3,31.4,37.9,-6.5,35.5,42.3,-6.8
American,74.6,71.3,3.3,34.9,33.6,1.3,39.7,37.8,2.0
Appalachian State,72.0,66.1,6.0,32.9,29.8,3.1,39.2,36.3,2.9
Arizona,86.1,68.8,17.4,41.9,32.9,9.0,44.2,35.9,8.4
Arizona State,76.3,78.3,-2.0,36.8,36.8,-0.1,39.6,41.5,-1.9
Arkansas,89.9,80.1,9.9,42.4,37.0,5.5,47.5,43.1,4.4
Arkansas State,83.0,77.2,5.8,39.1,35.7,3.3,43.9,41.5,2.4
Arkansas-Little Rock,70.5,74.1,-3.6,31.6,36.1,-4.5,38.9,38.0,0.9
Arkansas-Pine Bluff,77.3,81.0,-3.8,36.0,35.8,0.2,41.2,45.2,-4.0
Army West Point,72.2,77.2,-5.1,32.5,36.3,-3.8,39.6,40.9,-1.3
Auburn,82.7,79.4,3.3,37.4,36.9,0.5,45.4,42.5,2.8
Austin Peay,81.6,73.2,8.4,40.6,35.5,5.1,41.0,37.7,3.3
BYU,83.9,75.3,8.6,38.0,37.3,0.7,45.9,38.1,7.9
Ball State,67.5,69.5,-2.0,30.8,31.9,-1.1,36.7,37.6,-0.9
Baylor,82.6,77.2,5.4,40.6,36.4,4.3,41.9,40.8,1.2
Bellarmine,80.0,81.7,-1.7,36.1,40.6,-4.5,44.0,41.1,2.8
Belmont,83.9,73.3,10.5,38.4,34.7,3.7,45.5,38.7,6.8
Bethune-Cookman,75.4,76.9,-1.6,36.7,35.7,0.9,38.7,41.2,-2.5
Binghamton,67.9,74.9,-7.0,32.0,35.2,-3.2,35.9,39.6,-3.7
Boise State,78.2,73.5,4.7,35.4,33.0,2.4,42.8,40.5,2.3
Boston College,67.4,70.7,-3.3,30.7,32.5,-1.8,36.7,38.1,-1.5
Boston University,75.5,73.9,1.5,35.0,33.9,1.1,40.5,40.1,0.4
Bowling Green,81.3,71.6,9.8,37.3,34.0,3.3,44.1,37.6,6.5
Bradley,77.6,73.4,4.2,34.7,35.0,-0.3,42.8,38.4,4.5
Brown,70.4,70.1,0.3,34.1,33.7,0.4,36.2,36.3,-0.1
Bryant,64.8,72.5,-7.6,30.1,32.5,-2.4,34.8,40.0,-5.2
Bucknell,67.4,76.3,-8.9,30.6,35.3,-4.7,36.8,41.0,-4.2
Buffalo,78.0,76.2,1.9,36.5,34.9,1.6,41.5,41.3,0.3
Butler,79.4,77.5,1.8,38.1,35.1,3.0,41.3,42.5,-1.2
CS Fullerton,83.0,81.7,1.3,37.0,38.5,-1.4,46.0,43.2,2.7
