team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Akron,James Madison,62,192,162,233,2025-11-03,home,W,85,71,79.8544772765531,71,118.055555555556,98.6111111111111,115.007766209653,102.819937095751,72,72,69.4339868587504,69.0527557256538,#EAF2F9,#F1F6FB
Akron,Princeton,62,244,247,243,2025-11-08,home,W,104,69,68.2358045576983,35.4352511511985,135.064935064935,88.4615384615385,138.55294502322,75.3668720092704,77,78,49.2489023212481,47.0170118601178,#FFCA88,#FFD7A6
Akron,Purdue,62,6,1,32,2025-11-16,away,L,79,97,53.9494039632853,78.9996527771301,111.267605633803,138.571428571429,106.457694256924,153.412204715095,71,70,50.6768480567356,51.4950247432023,#C1D9ED,#5B99CF
Akron,Iona,62,237,271,203,2025-11-21,neutral,W,96,75,72.0496651325935,44.9372828972147,124.675324675325,96.1538461538462,129.858232596852,81.3807200977664,77,78,55.483324924245,55.2185859786317,#FFE2BE,#FFE2BD
Akron,Evansville,62,318,317,293,2025-11-23,neutral,W,97,59,74.2759243334829,53.3921812281309,140.579710144928,86.7647058823529,139.807399434479,101.567721054897,69,68,53.1273198943183,52.5680606728119,#FFC781,#F5F8FC
Akron,Yale,62,60,39,141,2025-11-24,neutral,L,94,97,94,97,140.298507462687,146.969696969697,140.298507462687,146.969696969697,67,66,67,66,#FFC67E,#6EA5D5
Akron,Milwaukee,62,270,204,308,2025-11-29,home,W,105,81,81.2345160749703,56.3626108387899,134.615384615385,105.194805194805,133.371823855839,95.3355168102398,78,77,60.908304112851,59.1202656938197,#FFD8A8,#FFF9F3
Akron,Bucknell,62,322,326,296,2025-12-03,home,W,97,77,80.7675525435881,55.6385382341228,140.579710144928,111.594202898551,151.839159282345,108.819835798709,69,69,53.1928343948486,51.1290407909099,#FFA637,#DFEBF5
Akron,Tulane,62,196,195,196,2025-12-06,away,W,88,71,79.4809073082273,66.0000045108849,123.943661971831,100,119.215404439132,99.3789069051355,71,71,66.66999762502,66.4124878872806,#FEFEFE,#FBFDFE
Akron,Murray State,62,125,77,227,2025-12-13,neutral,L,100,115,79.9838432473902,98.96966204406,121.951219512195,141.975308641975,114.367429120046,141.492532191288,82,81,69.935858367014,69.946915580152,#E7F0F8,#7EAFD9
Akron,Eastern Michigan,62,272,310,204,2025-12-19,home,W,93,72,71.1168614498711,46.1028664247774,132.857142857143,102.857142857143,129.395230465372,86.7771415718788,70,70,54.9609604574279,53.127892426129,#FFE3C1,#FFEBD2
Akron,Miami (OH),62,81,61,137,2026-01-03,away,L,73,76,70.1606772293908,75.167028492751,101.388888888889,107.042253521127,98.7433678781496,107.125853990691,72,71,71.0535590764636,70.167028492751,#9DC2E2,#E4EEF7
