team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Arizona,Florida,3,4,9,6,2025-11-03,neutral,W,93,87,91.4815386426386,82.6887308755202,112.048192771084,104.819277108434,112.272718663129,101.276448598528,83,83,81.4815386426386,81.6465545739153,#BDD6EC,#D7E6F3
Arizona,Utah Tech,3,241,193,282,2025-11-07,home,W,93,67,75.167883878495,53.9503065686601,129.166666666667,93.0555555555556,122.274132953526,89.4952384393027,72,72,61.474886030936,60.2828793011711,#FFF7EE,#FFEAD0
Arizona,Northern Arizona,3,336,287,353,2025-11-11,home,W,84,49,50.0155794048443,19.3236023061095,118.30985915493,69.0140845070423,121.825124953333,48.1926358830439,71,71,41.0552252041636,40.0965872732194,#FFF9F3,#FF9C1F
Arizona,UCLA,3,24,22,41,2025-11-14,neutral,W,69,65,69,65,101.470588235294,95.5882352941177,101.470588235294,95.5882352941177,68,68,68,68,#69A2D3,#FCFDFE
Arizona,Connecticut,3,9,12,12,2025-11-19,away,W,71,67,69,64.5193870008093,110.9375,104.6875,109.52380952381,103.773749267999,64,64,63,62.1731290002698,#A8C9E5,#C7DCEF
Arizona,Denver,3,260,97,358,2025-11-24,home,W,103,73,73.2264932863471,44.3970364009646,133.766233766234,93.5897435897436,136.769458179772,84.8465655795566,77,78,53.5400916702447,52.3262622331314,#FFB75C,#FFD9AA
Arizona,Norfolk State,3,301,272,307,2025-11-29,home,W,98,61,65.6713743955203,38.2100806927634,134.246575342466,82.4324324324324,138.961484354561,79.6281986960309,73,74,47.2586880462211,47.9856147928511,#FFAD46,#FFC67E
Arizona,Auburn,3,35,17,101,2025-12-06,home,W,97,68,67.0542468795432,38.84099519297,131.081081081081,90.6666666666667,136.328485197111,79.513145586632,74,75,49.1857932570676,48.8485204633888,#FFB960,#FFC57D
Arizona,Alabama,3,17,5,53,2025-12-13,neutral,W,96,75,80.096409958676,56.1517319494978,126.315789473684,97.4025974025974,130.389100426485,92.4699838665358,76,77,61.4287618341497,60.7242800329056,#FFD39C,#FFF5E9
Arizona,Abilene Christian,3,271,335,160,2025-12-16,home,W,96,62,66.1214655086939,37.9215405347452,128,81.5789473684211,129.476863185014,74.5416240053568,75,76,51.0681707002822,50.8729733766198,#FFD7A5,#FFB354
Arizona,San Diego State,3,50,115,17,2025-12-20,neutral,W,68,45,56.7817148023707,38.1507024540499,107.936507936508,71.4285714285714,102.044714297858,69.7742262268478,63,63,55.6439549006238,54.6773565499896,#6EA5D5,#FFA22D
Arizona,Bethune-Cookman,3,236,260,210,2025-12-22,home,W,107,71,78.1441881644421,51.1088030738271,140.789473684211,93.4210526315789,140.046111894152,91.7670785479324,76,76,55.7988987395123,55.6940505054126,#FFA83B,#FFF2E3
Arizona,South Dakota State,3,205,181,231,2025-12-29,home,W,99,71,73.3920513014137,49.7282293971479,128.571428571429,91.025641025641,121.784555531532,82.6925323752652,77,78,60.2638413229755,60.1363000609018,#FFF9F3,#FFD198
Arizona,Utah,3,144,105,217,2026-01-03,away,W,97,78,84.959238698454,64.2193031433312,125.974025974026,101.298701298701,128.585699047349,99.2250076121232,77,77,66.0720743658823,64.720885076037,#FFDBAE,#E4EEF7
Arizona,Kansas State,3,88,95,103,2026-01-07,home,W,101,76,83.1567453901994,65.0068674264499,126.25,93.8271604938272,123.058411680439,96.0163436585399,80,81,67.575019256825,67.703960544084,#FFF4E6,#F9FBFD
Arizona,TCU,3,43,71,24,2026-01-10,away,W,86,73,78.4063565672094,65.1055941381615,113.157894736842,97.3333333333333,113.247271232055,95.2871091411363,76,75,69.2346541459237,68.3257102928049,#C5DBEE,#FDFEFE
Arizona,Arizona State,3,87,100,89,2026-01-14,home,W,89,82,87.3673671279989,82,123.611111111111,113.888888888889,122.886418577314,116.502115958528,72,72,71.0960317173146,70.3849877106008,#FFF5E8,#76AAD7
Arizona,UCF,3,61,53,111,2026-01-17,away,W,84,77,75.9284620363411,65.8884633252602,112,101.315789473684,110.85579174483,96.5508270732819,75,76,68.4930041464273,68.2422567703651,#B2CFE8,#F5F9FC
Arizona,Cincinnati,3,27,82,8,2026-01-21,home,W,77,51,63.099147808083,46.0135103573971,116.666666666667,77.2727272727273,109.071043411941,80.7418139443954,66,66,57.8514203534016,56.9884525867666,#A4C7E4,#FFCA88
Arizona,West Virginia,3,55,129,20,2026-01-24,home,W,88,53,60.7765216151212,34.2058004986867,127.536231884058,76.8115942028985,126.978946182998,73.3148305604687,69,69,47.8634635442098,46.6560452192198,#FFE2BF,#FFAF4A
Arizona,BYU,3,40,13,46,2026-01-26,away,W,86,83,82.6168447743335,70.6495415022064,111.688311688312,109.210526315789,114.06275642249,99.5807385921455,77,76,72.4310435461683,70.9469948717361,#CBDFF0,#E2EDF6
Arizona,Arizona State,3,87,100,89,2026-01-31,away,W,87,74,79.3924572676247,65.5982108024602,117.567567567568,98.6666666666667,116.476930807875,95.9303446408501,74,75,68.1615292547329,68.3810853052293,#DEEAF5,#F9FBFD
Arizona,Oklahoma State,3,85,51,147,2026-02-07,home,W,84,47,52.8424529392167,25.4835447907921,112,62.6666666666667,107.156642357208,51.1490887568295,75,75,49.3132779982653,49.8220895233242,#95BEE0,#FF9C1F
Arizona,Kansas,3,21,50,11,2026-02-09,away,L,78,82,76.560854025602,82,104,110.810810810811,103.070024102592,110.810810810811,75,74,74.280427012801,74,#76AAD7,#9AC1E2
