team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
BYU,Villanova,40,46,47,36,2025-11-03,neutral,W,71,66,67.3589918268717,60.3995267277118,100,92.9577464788732,99.724884294621,89.5647404821907,71,71,67.5448182299921,67.4367238743039,#D8E6F3,#FFC173
BYU,Holy Cross,40,326,311,319,2025-11-08,home,W,98,53,57.4676934258685,22.4090557782096,136.111111111111,72.6027397260274,154.788165016012,61.0426394707695,72,73,37.1266714221491,36.7104960933746,#FFB04C,#FF9C1F
BYU,Delaware,40,328,284,321,2025-11-11,home,W,85,68,78.5358728682145,60.9671712524157,139.344262295082,111.475409836066,141.302418193943,112.516814897446,61,61,55.5799920992301,54.1849423199408,#FFC984,#E7F0F8
BYU,Connecticut,40,9,12,12,2025-11-15,neutral,L,84,86,76.8607931897396,85.3010146304116,116.666666666667,119.444444444444,111.129292015903,119.896424964589,72,72,69.1633967925763,71.1455864139441,#FCFDFE,#BDD6EC
BYU,Wisconsin,40,19,8,48,2025-11-21,neutral,W,98,70,74.7098745347851,53.2550843977623,130.666666666667,93.3333333333333,123.385150557082,88.3668582130871,75,75,60.5501344347119,60.2659022564132,#FFE9CF,#FFBD6B
BYU,Miami (Fla.),40,28,31,40,2025-11-27,neutral,W,72,62,66.5613378326218,55.8930922088954,107.462686567164,92.5373134328358,105.056592284939,90.4687448987768,67,67,63.3576022074765,61.7816598112782,#E9F1F8,#FFC47A
BYU,Dayton,40,69,140,27,2025-11-28,neutral,W,83,79,83,76.2164768472772,110.666666666667,106.756756756757,110.666666666667,103.933922488449,75,74,75,73.3316659493416,#FBFCFD,#FFF0DD
BYU,California Baptist,40,118,200,62,2025-12-03,neutral,W,91,60,65.8310209142737,39.5466698573363,130,84.5070422535211,132.891211025014,79.0680447321425,70,71,49.5375280325214,50.0159957051018,#FFD8A7,#FF9F26
BYU,Clemson,40,38,66,18,2025-12-09,neutral,W,67,64,67,62.020415448176,108.064516129032,104.918032786885,108.064516129032,102.784675354916,62,61,62,60.3401384827253,#F2F7FB,#FFECD5
BYU,UC Riverside,40,282,305,234,2025-12-13,home,W,100,53,64.4430880935099,37.2008803484575,135.135135135135,71.6216216216216,131.327121526757,75.5722696498471,74,74,49.0706621330918,49.225569803345,#FFDBAE,#FF9C1F
BYU,Pacific,40,129,155,127,2025-12-16,home,W,93,57,64.289237061578,40.2784650956515,129.166666666667,79.1666666666667,113.959366210978,71.9704648646808,72,72,56.4141756830732,55.9652701582285,#FFFBF6,#FF9C1F
BYU,Abilene Christian,40,271,335,160,2025-12-19,home,W,85,67,76.6888011484536,59.1466448305596,119.718309859155,93.0555555555556,115.219610199557,90.3749321759062,71,72,66.5588097509017,65.4458525240564,#FFF8F1,#FFC479
BYU,Eastern Washington,40,188,101,290,2025-12-22,home,W,109,81,96.9472074954513,76.7224290629553,149.315068493151,109.459459459459,162.597011416536,128.662747172986,73,74,59.6242247325783,59.6306473697491,#FFA12C,#8BB7DD
BYU,Kansas State,40,88,95,103,2026-01-03,away,W,83,73,80.0360750528945,71.0058450824311,106.410256410256,92.4050632911392,106.468249078274,94.2106313574882,78,79,75.1736557572697,75.3692487347791,#EDF4FA,#FFD096
BYU,Arizona State,40,87,100,89,2026-01-07,home,W,104,76,68.2560525893064,40.8686337078747,130,95,127.336685074386,76.8096679090274,80,80,53.6028188180282,53.2076688005982,#FFE2BE,#FF9C1F
BYU,Utah,40,144,105,217,2026-01-10,away,W,89,84,89,84,118.666666666667,113.513513513514,118.666666666667,113.513513513514,75,74,75,74,#FFF2E2,#E2EDF6
BYU,TCU,40,43,71,24,2026-01-14,home,W,76,70,72.2174822332038,65.0698805997188,108.571428571429,100,110.605941534194,100.644972443399,70,70,65.2925884735384,64.6528872928184,#FAFCFD,#FFE5C5
BYU,Texas Tech,40,30,11,25,2026-01-17,away,L,71,84,67.0001675027905,77.0186387268539,101.428571428571,120,104.545344681685,119.400142442845,70,70,64.0871840891522,64.5046455984938,#E7F0F8,#C0D8EC
BYU,Utah,40,144,105,217,2026-01-24,home,W,91,78,84.920719432392,66.1036237240449,140,120,144.820557206062,113.933208485717,65,65,58.6385807862622,58.0196279931254,#FFC276,#DFEBF5
BYU,Arizona,40,3,10,4,2026-01-26,home,L,83,86,70.6495415022064,82.6168447743335,109.210526315789,111.688311688312,99.5807385921455,114.06275642249,76,77,70.9469948717361,72.4310435461683,#D7E6F3,#DEEBF5
BYU,Kansas,40,21,50,11,2026-01-31,away,L,82,90,78.0480034561748,84.7186396921377,115.492957746479,128.571428571429,115.870171431566,125.917927482043,71,70,67.3581496358365,67.2808402951352,#FFF7EE,#9BC1E2
BYU,Oklahoma State,40,85,51,147,2026-02-04,away,L,92,99,75.5218081143525,88.2328819245635,116.455696202532,126.923076923077,106.866721409387,126.028233750126,79,78,70.6691541747988,70.0104090163646,#EFF5FA,#9AC1E2
BYU,Houston,40,5,16,3,2026-02-07,home,L,66,77,65.0479038862081,73.1040586099977,110,130.508474576271,115.526028239949,130.240523038294,60,59,56.3058428279926,56.1300407159015,#FFF8EF,#82B2DB
BYU,Baylor,40,47,21,126,2026-02-10,away,W,99,94,93.2079031773786,74.1775752593459,135.616438356164,127.027027027027,140.57347819857,114.677238630209,73,74,66.3054684082838,64.6837821919839,#FFCA87,#DBE8F4
BYU,Colorado,40,82,64,136,2026-02-14,home,W,90,86,90,83.6967762420876,109.756097560976,106.172839506173,110.688696470269,104.332128111061,82,81,81.3091154471891,80.2214789992524,#FBFCFD,#FFF1E0
BYU,Arizona,40,3,10,4,2026-02-18,away,L,68,75,60.2115701187164,73.9566136167212,100,111.940298507463,98.9556135261144,119.504442342228,68,67,60.8470484626186,61.8860790169872,#D5E5F3,#BFD7EC
BYU,Iowa State,40,7,20,5,2026-02-21,home,W,79,69,73.2854359877123,60.020444295883,116.176470588235,101.470588235294,112.586954824502,95.462279305257,68,68,65.0922978616375,62.8734666013551,#FFFDFB,#FFD49F
BYU,UCF,40,61,53,111,2026-02-24,home,L,84,97,30.7668265172677,61.9211701641031,105,121.25,69.6607254763047,136.07346303536,80,80,44.1666754213364,45.5056913984854,#77ABD7,#619DD1
BYU,West Virginia,40,55,129,20,2026-02-28,away,L,71,79,71,76.3234619662304,105.970149253731,117.910447761194,110.801888911807,118.7668097967,67,67,64.0783299791147,64.2632921578658,#FBFCFE,#C4DAED
BYU,Cincinnati,40,27,82,8,2026-03-03,away,L,68,90,50.9902754977806,71.6859781086316,94.4444444444444,125,89.7554494213939,123.645574129437,72,72,56.8102280435205,57.9769867327303,#B8D3EA,#A8C9E5
BYU,Texas Tech,40,30,11,25,2026-03-07,home,W,82,76,81.1859176144409,76,134.426229508197,124.590163934426,134.891883072264,126.538175613809,61,61,60.1859176144409,60.0609259864389,#FFD49F,#97BFE1
BYU,Kansas State,40,88,95,103,2026-03-10,neutral,W,105,91,91.5527269991394,73.51284664542,134.615384615385,116.666666666667,139.04023942367,113.418509804266,78,78,65.8462092546953,64.8155638548649,#FFCD8E,#E2EDF6
BYU,West Virginia,40,55,129,20,2026-03-11,neutral,W,68,48,59.8021919017723,43.5228835498965,107.936507936508,76.1904761904762,101.641713610133,75.2276288370145,63,63,58.8362688680708,57.8549187615519,#DEEAF5,#FF9C1F
BYU,Houston,40,5,16,3,2026-03-12,neutral,L,66,73,61.0200718517271,67.4492158051959,95.6521739130435,104.285714285714,92.410615074891,102.00423611692,69,70,66.0314529908447,66.1239359979951,#C0D8EC,#FFEACF
