team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Connecticut,New Haven,9,329,354,226,2025-11-03,home,W,79,55,65.4499032731918,46.5202229945489,121.538461538462,83.3333333333333,119.100015647725,84.6529426097128,65,66,54.9537318842845,54.9540530552228,#FFFBF6,#FFDFB7
Connecticut,UMass Lowell,9,310,277,316,2025-11-07,home,W,110,47,46.326765331258,4.85255863897665,152.777777777778,66.1971830985916,190.046415088481,20.770497006191,72,71,24.3765531223987,23.3627468689375,#FFA02A,#FF9C1F
Connecticut,Columbia,9,198,190,212,2025-11-10,home,W,89,62,67.1762292972856,38.7921367331358,130.882352941176,91.1764705882353,138.987690388208,84.2990952849272,68,68,48.3325027631259,46.0172634142989,#FFE2BD,#FFDEB4
Connecticut,BYU,9,40,13,46,2025-11-15,neutral,W,86,84,85.3010146304116,76.8607931897396,119.444444444444,116.666666666667,119.896424964589,111.129292015903,72,72,71.1455864139441,69.1633967925763,#FFFAF4,#9BC1E2
Connecticut,Arizona,9,3,10,4,2025-11-19,home,L,67,71,64.5193870008093,69,104.6875,110.9375,103.773749267999,109.52380952381,64,64,62.1731290002698,63,#E3EDF6,#A4C6E4
Connecticut,Bryant,9,352,349,332,2025-11-23,home,W,72,49,60.3958553163653,38.8554803209163,110.769230769231,74.2424242424242,111.792360416593,71.6538051991032,65,66,54.0250291623691,54.2266809319467,#F4F8FC,#FFB354
Connecticut,Illinois,9,8,2,23,2025-11-28,neutral,W,74,61,69.5713711677595,57.9742217110402,112.121212121212,92.4242424242424,111.389089681165,91.7069337401254,66,66,62.4579762406689,63.2168357905463,#F4F8FB,#FFF7EC
Connecticut,Kansas,9,21,50,11,2025-12-02,away,W,61,56,61,56,98.3870967741936,90.3225806451613,98.3870967741936,91.5143140849239,62,62,62,61.1926129370678,#D7E6F3,#FFF6EB
Connecticut,East Texas A&M,9,316,327,281,2025-12-05,home,W,83,59,64.0147410992624,41.1684392912505,129.6875,90.7692307692308,127.066282866656,82.1237627743962,64,65,50.3790145230264,50.1297528272604,#FFF1DF,#FFD6A4
Connecticut,Florida,9,4,9,6,2025-12-09,neutral,W,77,73,75.7040714084329,64.5823070592176,114.925373134328,108.955223880597,116.560474923382,102.00648938055,67,67,64.9483209966285,63.3119593188664,#FFFEFE,#D0E2F1
Connecticut,Texas,9,34,18,96,2025-12-12,home,W,71,63,69.3407281875287,61.0833601651761,107.575757575758,95.4545454545455,107.987105965807,96.4554674834022,66,66,64.2120441763524,63.3280432503084,#ECF3F9,#F1F6FA
Connecticut,Butler,9,94,73,135,2025-12-16,home,W,79,60,73.6161316483864,55.7342738218079,112.857142857143,85.7142857142857,112.721385988086,85.9431113872125,70,70,65.3080433700199,64.8501932524876,#F7FAFC,#FFE3C1
Connecticut,DePaul,9,95,175,50,2025-12-21,away,W,72,54,64.9325104900918,52.0000064206091,107.462686567164,79.4117647058823,104.207022215374,82.4672259899687,67,68,62.3110699352772,63.0553602311473,#E4EEF7,#FFD8A6
Connecticut,Xavier,9,97,68,183,2025-12-31,away,W,90,67,72.7567215762499,45.8965106193436,125,93.0555555555556,125.433903512154,82.7838515751781,72,72,58.0040320352463,55.441381073776,#FFF3E4,#FFD9A9
Connecticut,Marquette,9,74,126,37,2026-01-04,home,W,73,57,59.6792564171398,38.7893645599717,107.352941176471,83.8235294117647,106.740394759746,70.5368566327372,68,68,55.9106573958877,54.9916262386563,#E9F1F8,#FFAF4C
Connecticut,Providence,9,72,40,168,2026-01-07,away,W,103,98,103,95.9949978480248,122.619047619048,115.294117647059,122.619047619048,114.91137703464,84,85,84,83.5382886579514,#FFF6EC,#84B3DB
Connecticut,DePaul,9,95,175,50,2026-01-10,home,W,72,60,64.9645755222387,42.9644365677772,112.5,92.3076923076923,121.800189496077,81.5755099061391,64,65,53.3370069381799,52.6683027997154,#FFF7EF,#FFD5A0
Connecticut,Seton Hall,9,52,145,16,2026-01-13,away,W,69,64,69,64,107.8125,98.4615384615385,107.8125,99.75778144263,64,65,64,64.1553962753331,#ECF3F9,#DDEAF5
Connecticut,Georgetown,9,96,80,78,2026-01-17,away,W,64,62,64,57.4344087654739,108.474576271186,103.333333333333,109.414941825687,98.8037571901984,59,60,58.4929251271376,58.1297821042493,#EFF5FA,#E3EDF6
Connecticut,Villanova,9,46,47,36,2026-01-24,home,W,75,67,72.4655603357249,67,117.1875,103.076923076923,116.10415043626,106.083933738914,64,65,62.4142720681703,63.1575372807119,#FEFEFE,#B8D3EA
Connecticut,Providence,9,72,40,168,2026-01-27,home,W,87,81,81.5493338540486,73.3024632029509,122.535211267606,112.5,120.989960224,108.674205882551,71,72,67.4017362292447,67.4515747390617,#FFF9F1,#A9CAE6
Connecticut,Creighton,9,68,70,82,2026-01-31,away,W,85,58,65.995117302731,42.7680044053399,139.344262295082,93.5483870967742,136.780991674904,87.7328144634739,61,62,48.2487489632957,48.7480136900722,#FFE4C3,#FFE9CE
Connecticut,Xavier,9,97,68,183,2026-02-03,home,W,92,60,59.7115099671177,26.4595494015098,137.313432835821,89.5522388059701,149.235463689052,68.418962199247,67,67,40.0116088301456,38.672830675881,#FFD49F,#FFA83C
Connecticut,St. John's,9,11,37,7,2026-02-06,away,L,72,81,72,78.3142549333415,105.882352941176,120.89552238806,108.912509619001,119.997374708523,68,67,66.108108473371,65.2633069044794,#EEF4FA,#67A1D3
Connecticut,Butler,9,94,73,135,2026-02-11,away,W,80,70,76.7757057743327,66.2870813617626,135.593220338983,116.666666666667,136.117801248128,117.634995004936,59,60,56.4038686125842,56.3497974042344,#FFE5C5,#74A9D7
Connecticut,Georgetown,9,96,80,78,2026-02-14,home,W,79,75,76.8978633148792,70.4992626322399,121.538461538462,115.384615384615,121.147670478434,109.778258074263,65,65,63.4744877975746,64.21969510989,#FFF8F1,#A2C6E4
Connecticut,Creighton,9,68,70,82,2026-02-18,home,L,84,91,68.8098311955173,80.2105202545691,110.526315789474,121.333333333333,100.452710627078,116.13027653232,76,75,68.4997256579447,69.0694301690103,#DBE9F4,#7DAFD9
Connecticut,Villanova,9,46,47,36,2026-02-21,away,W,73,63,64.5517341161322,46.8426186923331,114.0625,98.4375,115.487417743667,85.0876387652017,64,64,55.8950363401576,55.0522019086635,#FDFDFE,#FFE0BA
Connecticut,St. John's,9,11,37,7,2026-02-25,home,W,72,40,55.9078435755555,31.0218000137947,124.137931034483,70.1754385964912,130.006200280797,73.68907689049,58,57,43.0039824676067,42.0982339891385,#FFEDD7,#FFBA64
Connecticut,Seton Hall,9,52,145,16,2026-02-28,home,W,71,67,71,65.334056985502,114.516129032258,106.349206349206,115.466862915601,105.964535352503,62,63,61.4895028817892,61.6565313745402,#FDFDFE,#B9D3EA
Connecticut,Marquette,9,74,126,37,2026-03-07,away,L,62,68,62,66.6065088844402,93.9393939393939,101.492537313433,93.9393939393939,100.698489586939,66,67,66,66.1444964643037,#CDE0F0,#D8E6F3
Connecticut,Xavier,9,97,68,183,2026-03-12,neutral,W,93,68,71.7811739020502,50.4289096078011,143.076923076923,103.030303030303,139.223570429253,98.1786037091779,65,66,51.5582050372181,51.3644599766159,#FFE1BC,#E6F0F8
Connecticut,Georgetown,9,96,80,78,2026-03-13,neutral,W,67,51,63.0447097640661,48.000104927159,115.51724137931,87.9310344827586,116.504916879413,88.5080243686937,58,58,54.1133468463993,54.2324893923824,#FFFEFE,#FFECD4
Connecticut,St. John's,9,11,37,7,2026-03-14,neutral,L,52,72,49.0000057197208,66.0189330377772,83.8709677419355,116.129032258065,89.8671357001696,121.146624562275,62,62,54.5249443391666,54.4950660212911,#C4DAED,#609CD1
