team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Duke,Texas,1,34,18,96,2025-11-04,neutral,W,75,60,70.0809589317092,54.0640425259634,110.294117647059,88.2352941176471,111.152599930551,86.8045991940616,68,68,63.0493204616861,62.2824631735204,#E3EEF7,#FFF5E8
Duke,Western Carolina,1,194,154,250,2025-11-08,home,W,95,54,55.650913982556,24.9679151026265,126.666666666667,71.0526315789474,133.755009926176,59.9174399863171,75,76,41.6066015121763,41.670530497178,#FFDCB0,#FFA22D
Duke,Army,1,332,308,336,2025-11-11,away,W,114,59,62.4128385712211,33.348262027111,150,76.6233766233766,136.791960198842,72.9655461813165,76,77,45.6261014759181,45.7041217018261,#FFD5A1,#FFCA88
Duke,Indiana State,1,211,234,182,2025-11-14,home,W,100,62,70.0020755044315,41.4755757847196,133.333333333333,81.5789473684211,139.257826309606,82.509546837694,75,76,50.2679650828376,50.2676082639345,#FFD094,#FFE7CA
Duke,Kansas,1,21,50,11,2025-11-18,neutral,W,78,66,73.6608157244856,64.0033782812237,120,100,118.175969201751,101.514131226334,65,66,62.3314674058066,63.0487376565566,#FFFEFE,#C1D8ED
Duke,Niagara,1,330,323,325,2025-11-21,home,W,100,42,51.8456581619301,19.5129261531439,158.730158730159,65.625,159.534117969319,60.0828131426593,63,64,32.4981632906266,32.4767186030601,#FFA32F,#FFA22E
Duke,Howard,1,182,281,88,2025-11-23,home,W,93,56,52.6541401746455,18.6939893097136,129.166666666667,77.7777777777778,138.523115232548,50.3519826544781,72,72,38.0110857933361,37.1266200935805,#FFD198,#FF9C1F
Duke,Arkansas,1,15,6,45,2025-11-27,neutral,W,80,71,76.5277994736833,69.1309278178595,115.942028985507,101.428571428571,116.769766679496,104.271027192806,69,70,65.5373404005621,66.2992680507794,#F9FBFD,#B2CFE8
Duke,Florida,1,4,9,6,2025-12-02,home,W,67,66,67,66,103.076923076923,101.538461538462,103.076923076923,101.538461538462,65,65,65,65,#C4DAEE,#C0D8ED
Duke,Michigan State,1,12,25,14,2025-12-06,away,W,66,60,65.161118866908,58.1633622229311,101.538461538462,92.3076923076923,101.558576311729,92.0125729419047,65,65,64.161118866908,63.2124071344625,#BED7EC,#F4F8FB
Duke,Lipscomb,1,207,219,190,2025-12-16,home,W,97,73,82.088658972857,64.0001700802932,116.867469879518,86.9047619047619,115.635624943119,90.0642932471593,83,84,70.9890736641381,71.0605366153937,#F5F8FC,#FEFEFE
Duke,Texas Tech,1,30,11,25,2025-12-20,neutral,L,81,82,81,82,117.391304347826,118.840579710145,117.391304347826,118.840579710145,69,69,69,69,#FCFDFE,#639ED2
Duke,Georgia Tech,1,155,189,139,2025-12-31,home,W,85,79,84.1794241526077,76.1847869616114,118.055555555556,108.219178082192,118.263704932662,106.748180725488,72,73,71.1794241526077,71.368698224026,#FFFEFE,#A4C7E4
Duke,Florida State,1,63,56,107,2026-01-03,away,W,91,87,90.161118866908,83.0600666268596,130,122.535211267606,130.363881244333,119.73407217833,70,71,69.161118866908,69.3704516314714,#FFE3C1,#5E9CD0
Duke,Louisville,1,20,24,22,2026-01-06,away,W,84,73,80.0067802306249,66.6016631842152,112,97.3333333333333,113.668918557801,95.7644307022959,75,75,70.3858022454406,69.5473911302836,#EDF4F9,#E0EBF6
Duke,SMU,1,37,30,73,2026-01-10,home,W,82,75,76.7288447083323,70.1183347778551,117.142857142857,107.142857142857,114.180135772836,104.53608425186,70,70,67.1998191182625,67.075723449635,#EFF5FA,#B0CEE8
Duke,California,1,77,96,63,2026-01-14,away,W,71,56,67.5525813950543,51.2377788821676,107.575757575758,84.8484848484848,111.708282011679,85.4410530373819,66,66,60.4723125076723,59.9685713842386,#E6EFF7,#FFF0DF
Duke,Stanford,1,73,69,87,2026-01-17,away,W,80,50,60.4899465353783,38.8341505855538,125,78.125,118.122071463951,77.2814009977068,64,64,51.2096899298272,50.2503190731572,#FEFEFE,#FFD7A6
Duke,Wake Forest,1,70,62,110,2026-01-24,home,W,90,69,73.6054461273275,53.3914077681013,140.625,106.153846153846,138.072904258778,98.8911335926609,64,65,53.3091170367326,53.9900856916294,#FFD29A,#CFE1F1
Duke,Louisville,1,20,24,22,2026-01-26,home,W,83,52,67.8241660293051,43.3046256249757,127.692307692308,80,127.17424745262,82.0287255594381,65,65,53.3316826227525,52.7920253906629,#FFEAD1,#FFE6C7
Duke,Virginia Tech,1,53,58,74,2026-01-31,away,W,72,58,66.4307613495153,56.0000901016702,126.315789473684,100,122.692203239466,101.801586804131,57,58,54.144240298512,55.0090542394157,#FFF4E8,#BFD7EC
Duke,Boston College,1,147,265,57,2026-02-03,home,W,67,49,60.662793737863,42.8591650065352,108.064516129032,79.0322580645161,107.160076375363,78.4376431244075,62,62,56.6095096137966,54.6410668389891,#D4E4F2,#FFDBAE
Duke,North Carolina,1,48,34,34,2026-02-07,away,L,68,71,68,71,104.615384615385,107.575757575758,104.615384615385,107.575757575758,65,66,65,66,#CADEEF,#A0C4E3
Duke,Pittsburgh,1,104,89,123,2026-02-10,away,W,70,54,64.8377103022992,50.0569221184283,118.64406779661,90,115.216547663798,87.7649680716126,59,60,56.2746511824808,57.0351966374373,#F3F7FB,#FFF8EF
Duke,Clemson,1,38,66,18,2026-02-14,home,W,67,54,60.0175387631001,39.5516821232742,109.83606557377,88.5245901639344,115.892889735166,78.3598180482085,61,61,51.7870758941727,50.4744435457229,#F6F9FC,#FFDBAD
Duke,Syracuse,1,80,79,92,2026-02-16,home,W,101,64,66.6677960111259,39.0255266384509,157.8125,100,148.996060001472,89.9613314728241,64,64,44.7446704365654,43.3803346388219,#FFBA64,#FFFEFE
Duke,Michigan,1,2,3,2,2026-02-21,neutral,W,68,63,68,63,107.936507936508,100,107.936507936508,101.23859508248,63,63,63,62.2292317951207,#D7E6F3,#C2D9ED
Duke,Notre Dame,1,90,83,124,2026-02-24,away,W,100,56,57.6184542247406,23.1946804543769,136.986301369863,75.6756756756757,144.115116890228,58.8074035476445,73,74,39.9808538257847,39.4417693268588,#FFC57C,#FF9E25
