team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Florida,Arizona,4,3,10,4,2025-11-03,neutral,L,87,93,82.6887308755202,91.4815386426386,104.819277108434,112.048192771084,101.276448598528,112.272718663129,83,83,81.6465545739153,81.4815386426386,#86B4DC,#BFD7EC
Florida,North Florida,4,338,216,364,2025-11-06,home,W,104,64,68.762360367828,40.6551946495979,133.333333333333,81.0126582278481,133.942462539869,79.3396025574998,78,79,51.3372376944022,51.2419943371078,#FFD49D,#FFEED9
Florida,Florida State,4,63,56,107,2025-11-11,home,W,78,76,78,73.4661888259993,93.9759036144578,92.6829268292683,93.9759036144578,89.5929132024382,83,82,83,82,#5A99CF,#FFFFFF
Florida,Miami (Fla.),4,28,31,40,2025-11-16,neutral,W,82,68,72.8267903543182,55.1234019757915,105.128205128205,87.1794871794872,104.635186601063,80.8087258561621,78,78,69.6006694497338,68.2146654235213,#9AC0E1,#FFF0DF
Florida,Merrimack,4,171,224,125,2025-11-21,home,W,80,45,55.7526692315659,23.8726622737304,121.212121212121,67.1641791044776,130.37151049077,56.8751053483618,66,67,42.7644575273315,41.9738339428289,#FFE0B9,#FFCA88
Florida,TCU,4,43,71,24,2025-11-27,neutral,L,80,84,77.501085478253,84,105.263157894737,112,103.829545492426,113.197443750871,76,75,74.6426126693453,74.2066227086099,#95BDE0,#BCD6EB
Florida,Providence,4,72,40,168,2025-11-28,neutral,W,90,78,83.8767874039467,66.992769975736,125,108.333333333333,131.48447419641,106.920889301271,72,72,63.7921609502371,62.6563905458832,#FFDCB0,#CEE0F0
Florida,Duke,4,1,4,1,2025-12-02,away,L,66,67,66,67,101.538461538462,103.076923076923,101.538461538462,103.076923076923,65,65,65,65,#87B5DC,#D9E7F4
Florida,Connecticut,4,9,12,12,2025-12-09,neutral,L,73,77,64.5823070592176,75.7040714084329,108.955223880597,114.925373134328,102.00648938055,116.560474923382,67,67,63.3119593188664,64.9483209966285,#8AB6DD,#B3D0E9
Florida,George Washington,4,71,60,120,2025-12-13,neutral,W,80,70,67.4676910799988,46.2668131714706,109.58904109589,95.8904109589041,110.115960210411,79.0327192376951,73,73,61.2696751234612,58.541340368564,#BBD5EB,#FFEED8
Florida,Saint Francis (PA),4,354,330,357,2025-12-17,home,W,102,61,57.4933284071949,28.7391709862848,141.666666666667,83.5616438356164,133.382358996964,66.1376262198884,72,73,43.1041472347207,43.4535870560812,#FFD6A2,#FFD9A9
Florida,Colgate,4,220,184,268,2025-12-21,home,W,90,60,70.1994149220594,45.0101422422196,138.461538461538,90.9090909090909,147.327032147783,94.0682909708779,65,66,47.6486995622385,47.8483682202264,#FFA635,#F2F7FB
Florida,Dartmouth,4,266,269,257,2025-12-29,home,W,94,72,64.9507069692808,33.6255800857085,122.077922077922,93.5064935064935,134.646336552446,72.0974686511148,77,77,48.238005305092,46.6390578127303,#FFD198,#FFE2BF
Florida,Missouri,4,49,41,77,2026-01-03,away,L,74,76,71.6224303299938,76,108.823529411765,110.144927536232,105.327103426461,110.144927536232,68,69,68,69,#9EC3E3,#C5DBEE
Florida,Georgia,4,29,19,61,2026-01-06,home,W,92,77,76.5022951799766,57.1006770499664,117.948717948718,98.7179487179487,121.435369769041,92.8570125531837,78,78,62.9983631008633,61.4931231147051,#FFFFFF,#F5F9FC
Florida,Tennessee,4,16,33,13,2026-01-10,home,W,91,67,69.4572209371198,44.5994585709834,122.972972972973,89.3333333333333,122.351179206603,77.8992232145086,74,75,56.7687384686616,57.2527641876111,#FFFBF7,#FFECD4
Florida,Oklahoma,4,33,15,108,2026-01-13,away,W,96,79,69.0412899052741,38.909340681038,135.211267605634,109.722222222222,145.709357363727,84.9444228478254,71,72,47.3828799703852,45.8056448870605,#FFAB42,#FFF7EE
Florida,Vanderbilt,4,14,7,31,2026-01-17,away,W,98,94,98,94,134.246575342466,128.767123287671,134.246575342466,128.767123287671,73,73,73,73,#FFD39B,#91BADF
Florida,LSU,4,79,48,132,2026-01-20,home,W,79,61,67.1670648119452,45.3441070864709,117.910447761194,91.044776119403,127.284712191242,86.6557012490872,67,67,52.769153227945,52.3267441528534,#FFEAD1,#FFFAF4
Florida,Auburn,4,35,17,101,2026-01-24,home,L,67,76,61.5598604263019,70.4176784815821,104.6875,116.923076923077,101.679225560825,114.76405637472,64,65,60.5432034781544,61.3586524439841,#88B5DC,#B8D3EA
Florida,South Carolina,4,99,107,116,2026-01-28,away,W,95,48,53.4275068755397,21.3983040387695,137.68115942029,69.5652173913043,142.827614413857,57.4008048039235,69,69,37.4069868034961,37.2787526444348,#FFB558,#FFCB89
Florida,Alabama,4,17,5,53,2026-02-01,home,W,100,77,77.5609747235809,56.4694235187251,128.205128205128,97.4683544303797,119.515998453971,87.1917099620812,78,79,64.8958932083489,64.7646703376767,#F3F7FB,#FFFBF6
Florida,Texas A&M,4,41,44,47,2026-02-07,away,W,86,67,58.1688706342701,30.4021849060711,119.444444444444,91.7808219178082,115.642298740977,61.8760254926679,72,73,50.3006869178211,49.1340299639538,#DCE9F4,#FFD29A
Florida,Georgia,4,29,19,61,2026-02-11,away,W,86,66,77.4305444717158,59.4254405213404,113.157894736842,85.7142857142857,110.275609664912,85.1563811339478,76,77,70.2154762118293,69.7838960862679,#BCD5EB,#FFF7EE
Florida,Kentucky,4,25,36,21,2026-02-14,home,W,92,83,84.4332934190081,73.6411167573363,116.455696202532,103.75,115.642913848768,100.244905665476,79,80,73.0120770991865,73.4612061016664,#DCE9F4,#E1ECF6
Florida,South Carolina,4,99,107,116,2026-02-17,home,W,76,62,68.7721197888366,49.2657570226865,115.151515151515,92.5373134328358,124.84135812729,88.2792494625756,66,67,55.0876094432709,55.8067239159887,#FFF3E4,#FFFCFA
