team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Furman,High Point,152,78,65,129,2025-11-03,neutral,L,71,97,50.9808212409012,76.5177839267399,98.6111111111111,134.722222222222,96.4317060698969,142.188293000561,72,72,52.8672812279694,53.8144050484087,#C7DCEE,#5E9BD0
Furman,Troy,152,109,119,128,2025-11-07,home,L,61,64,55.2753950931911,61.5283525034098,88.4057971014493,94.1176470588235,83.1638107359406,92.8386041344176,69,68,66.4656833351469,66.2745342598271,#8FBADE,#FFDEB4
Furman,Northern Iowa,152,64,132,26,2025-11-14,away,L,54,70,36.6288718708224,58.1109986401327,84.375,109.375,71.1729749304799,108.978149917867,64,64,51.4645789453097,53.3235319960275,#5D9BD0,#F1F6FB
Furman,Queens,152,193,76,331,2025-11-23,home,W,90,79,86.134612921194,69.7082406380694,142.857142857143,123.4375,148.290788362322,120.981814495809,63,64,58.0849382975424,57.6187759528803,#FFA32F,#BCD5EB
Furman,Richmond,152,149,123,208,2025-11-27,neutral,W,73,72,73,72,107.352941176471,105.882352941176,107.352941176471,105.882352941176,68,68,68,68,#F4F8FC,#FFFFFF
Furman,Illinois State,152,93,135,75,2025-11-28,neutral,L,65,72,63.2191549855425,70.2124071344625,98.4848484848485,109.090909090909,97.831683016163,107.933922608389,66,66,64.6203285443816,65.0512882675545,#CDE0F0,#F5F9FC
Furman,Elon,152,267,201,304,2025-12-03,away,W,97,88,85.5084264232517,77.0725635564932,127.631578947368,117.333333333333,121.858165360384,110.945932346424,76,75,70.1704528132103,69.4685798086202,#FFE2BD,#E8F1F8
Furman,Harvard,152,137,208,83,2025-12-06,home,W,79,69,73.0365659384689,60.4112191070988,117.910447761194,102.985074626866,117.49862912445,97.7107010039329,67,67,62.1595047386566,61.8266151878976,#FFECD5,#FFEAD0
Furman,Manhattan,152,321,252,349,2025-12-18,away,W,75,68,73.2205875692146,68,107.142857142857,95.7746478873239,106.034487647678,98.2110756695918,70,71,69.0535590764636,69.2386266379671,#EFF5FA,#FFEBD3
Furman,Charleston Southern,152,233,248,219,2025-12-21,home,W,84,76,79.2276812443842,73.0343208936505,110.526315789474,101.333333333333,109.78341594465,102.549703283073,76,75,72.1672581989332,71.2184614440576,#FFFFFF,#FFF6EB
Furman,Mercer,152,169,127,241,2025-12-31,home,W,74,72,74,72,110.44776119403,105.882352941176,110.44776119403,105.882352941176,67,68,67,68,#FFFDFB,#FFFFFF
Furman,Western Carolina,152,194,154,250,2026-01-03,home,L,77,80,72.2811260201021,79.3223983457594,106.944444444444,112.676056338028,102.60226938726,113.772201748276,72,71,70.4478823438942,69.720368531904,#E1ECF6,#DCE9F4
Furman,Chattanooga,152,259,187,314,2026-01-07,away,W,78,67,69.9297828991593,58.8264469325381,116.417910447761,98.5294117647059,112.963930354763,94.1385884949694,67,68,61.9045235762821,62.4891958473349,#FFF7ED,#FFE1BB
Furman,VMI,152,358,333,361,2026-01-10,home,W,69,48,60.5446285473794,38.8799981391983,104.545454545455,71.6417910447761,108.432919017979,70.6177223244792,66,67,55.8360220269829,55.0569982426646,#F9FBFD,#FFA535
Furman,Samford,152,172,136,222,2026-01-14,away,W,77,73,77,70.0838366908763,106.944444444444,101.388888888889,110.083903801436,100.433555952422,72,72,69.9466473671655,69.7812957295637,#FFFEFD,#FFF1DF
Furman,Wofford,152,230,150,305,2026-01-17,home,L,70,74,66.4123436328718,74,107.692307692308,113.846153846154,104.435789741636,113.846153846154,65,65,63.5915559188756,65,#E8F1F8,#DBE9F4
Furman,The Citadel,152,335,304,348,2026-01-21,away,L,75,77,75,77,105.633802816901,110,105.633802816901,110,71,70,71,70,#EDF4F9,#ECF3F9
Furman,UNC Greensboro,152,278,186,337,2026-01-23,away,W,89,66,76.8693601436296,61.0599251646089,136.923076923077,101.538461538462,133.776110078551,105.902619084835,65,65,57.4612014794668,57.656671470699,#FFC57D,#FEFEFE
Furman,Samford,152,172,136,222,2026-01-29,home,W,78,73,76.3713758321354,66.7012723190858,121.875,112.307692307692,122.104084076306,108.079276383215,64,65,62.5461272731948,61.7151359179942,#FFE1BC,#F5F8FC
Furman,Chattanooga,152,259,187,314,2026-02-01,home,W,75,70,72.4828310578472,63.0435430770475,113.636363636364,104.477611940299,112.979781981773,100.253668563737,66,67,64.1555770301811,62.8840260712927,#FFF7ED,#FFF0DE
Furman,East Tennessee State,152,140,151,151,2026-02-04,away,L,71,75,69.1167506360329,74.1794241526077,97.2602739726027,102.739726027397,95.9177199471939,102.770872756994,73,73,72.0583753180164,72.1794241526077,#C5DBEE,#FFF7ED
Furman,UNC Greensboro,152,278,186,337,2026-02-08,home,L,64,67,64,67,101.587301587302,106.349206349206,101.587301587302,106.349206349206,63,63,63,63,#DCE9F5,#FCFDFE
Furman,Mercer,152,169,127,241,2026-02-11,away,L,64,69,64,69,94.1176470588235,102.985074626866,95.2183380717006,102.985074626866,68,67,67.2139435492008,67,#C2D9ED,#FFF7EE
Furman,VMI,152,358,333,361,2026-02-14,away,W,90,72,80.4334774141853,63.7729399541108,128.571428571429,101.408450704225,128.398635012113,102.70402673886,70,71,62.6435611302233,62.0939041818322,#FFD29A,#FFF6EC
Furman,East Tennessee State,152,140,151,151,2026-02-18,home,L,69,78,60.5612983551285,72.0201416426706,100,111.428571428571,95.8090021416915,113.309209008093,69,70,63.2104468279136,63.5607134434471,#C4DAEE,#DEEAF5
Furman,Wofford,152,230,150,305,2026-02-21,away,W,76,67,70.5761110447078,62.0238743429336,118.75,103.076923076923,116.762915788248,102.557075552706,64,65,60.4439436684669,60.4774209957443,#FFEED9,#FFF6EB
Furman,The Citadel,152,335,304,348,2026-02-25,home,W,72,51,65.0428822206553,47.8712717586798,120,85,121.701722684585,90.3580252237861,60,60,53.4445041416769,52.9795462440873,#FFE2BE,#FFD7A6
Furman,Western Carolina,152,194,154,250,2026-02-28,away,L,67,86,59.215643713734,75.6899014289324,104.6875,136.507936507937,106.152419996298,135.536269633699,64,63,55.7836022163217,55.8447577415936,#EFF5FA,#7CADD9
Furman,Samford,152,172,136,222,2026-03-07,neutral,W,86,81,78.5101392048646,70.3310838052063,124.63768115942,117.391304347826,120.166897085507,109.400486402427,69,69,65.3342485401774,64.2877249617474,#FFE6C6,#EFF5FA
Furman,UNC Greensboro,152,278,186,337,2026-03-08,neutral,W,81,75,79.6254409764441,70.6102714826572,122.727272727273,113.636363636364,122.218904058478,111.050786454194,66,66,65.1498567998498,63.5837653538658,#FFE1BB,#E8F0F8
Furman,East Tennessee State,152,140,151,151,2026-03-09,neutral,W,76,61,72.2903093565846,61,120.634920634921,96.8253968253968,120.193406007881,102.998242607682,63,63,60.144987780648,59.2243114597085,#FFE6C6,#FFF7EE
