team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Georgia,Bellarmine,29,280,74,365,2025-11-03,home,W,104,59,69.4476912746598,43.277616773126,136.842105263158,77.6315789473684,128.656331227128,81.5201817784908,76,76,53.9792255944698,53.0882240801686,#FFEACF,#FFCF93
Georgia,Maryland-Eastern Shore,29,347,356,275,2025-11-05,home,W,94,29,49.3163806788331,18.3168345015986,127.027027027027,39.1891891891892,110.524932175897,40.4775865184815,74,74,44.6201410920999,45.2517950724048,#C4DAEE,#FF9C1F
Georgia,Morehead State,29,273,226,298,2025-11-09,home,W,120,81,78.8856329133622,51.092385059226,148.148148148148,98.780487804878,146.391302140785,94.1561028833369,81,82,53.8868305423621,54.263487436955,#FFB456,#FFE9CD
Georgia,Georgia Tech,29,155,189,139,2025-11-14,home,W,92,87,85.4261802586833,74.4957992406318,110.843373493976,104.819277108434,111.127933194964,97.3877753707309,83,83,76.8719239192638,76.4939941969563,#C7DCEE,#FFEFDC
Georgia,Florida A&M,29,312,346,206,2025-11-17,home,W,87,57,56.6363686708494,27.4712923597271,116,76,121.656999752947,59.5950415153631,75,75,46.5541389199659,46.0966074713535,#FEFEFE,#FFA32F
Georgia,Xavier,29,97,68,183,2025-11-21,neutral,W,78,77,78,77,102.631578947368,102.666666666667,102.631578947368,102.666666666667,76,75,76,75,#9AC1E2,#FFFAF4
Georgia,Clemson,29,38,66,18,2025-11-23,neutral,L,94,97,92.2619703084679,96.3510771545933,111.904761904762,115.47619047619,109.835678938652,115.596679063773,84,84,84,83.3510771545933,#C0D8ED,#D9E7F4
Georgia,Tennessee Tech,29,309,288,306,2025-11-29,home,W,123,81,74.3707531888383,41.2600519161438,144.705882352941,94.1860465116279,151.564275809139,85.1351490482592,85,86,49.0687880054872,48.4641800447843,#FFA533,#FFD6A4
Georgia,Florida State,29,63,56,107,2025-12-02,away,W,107,73,70.9048837760948,42.145347583858,137.179487179487,92.4050632911392,141.063666699786,83.9134080669813,78,79,50.2644553590088,50.2248073993333,#FFC47B,#FFD49E
Georgia,Cincinnati,29,27,82,8,2025-12-13,neutral,W,84,65,71.9407578135011,59.4026602230207,110.526315789474,85.5263157894737,101.97627298519,84.6011494105657,76,76,70.5465651053448,70.2149564596838,#97BEE1,#FFD5A2
