team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Gonzaga,Texas Southern,10,293,297,266,2025-11-03,home,W,98,43,59.5802661089067,31.2974120151888,136.111111111111,58.9041095890411,130.967108905944,67.9654386866841,72,73,45.4925413003469,46.0490105264643,#FFD7A5,#FFC174
Gonzaga,Oklahoma,10,33,15,108,2025-11-08,home,W,83,68,73.6341312135565,46.3826676099269,113.698630136986,93.1506849315068,120.194993080701,80.5969676193415,73,73,61.2622284225411,57.5488991459227,#FFFFFF,#FFE3C1
Gonzaga,Creighton,10,68,70,82,2025-11-11,home,W,90,63,67.8627215982175,45.08147282901,121.621621621622,85.1351351351351,122.393153297628,81.8838817726638,74,74,55.4465015156472,55.0553684718694,#FFF6EC,#FFE7C8
Gonzaga,Arizona State,10,87,100,89,2025-11-14,away,W,77,65,71.6361229425696,58.9579201921332,108.450704225352,90.2777777777778,107.594051397768,87.6136704277291,71,72,66.5800032733556,67.2930604371455,#ADCCE7,#FFF6EB
Gonzaga,Southern Utah,10,285,249,300,2025-11-17,home,W,122,50,60.3452249056954,26.3892875693412,148.780487804878,60.2409638554217,131.645566475205,57.677951516413,82,83,45.8391623215516,45.7528169353098,#FFD49F,#FFA636
Gonzaga,Alabama,10,17,5,53,2025-11-24,neutral,W,95,85,86.6209538414512,75.2439030044086,123.376623376623,110.38961038961,119.814514125644,106.304380629114,77,77,72.2958770676281,70.7815638067893,#FCFDFE,#B6D2EA
Gonzaga,Maryland,10,103,117,117,2025-11-25,neutral,W,100,61,71.1706552038607,46.5673668492101,136.986301369863,83.5616438356164,138.665335323002,90.6601648847477,73,73,51.3254845113799,51.3647497866447,#FFBA64,#FFFEFE
Gonzaga,Michigan,10,2,3,2,2025-11-26,neutral,L,61,101,35.4175059003562,64.2366039515805,74.390243902439,124.691358024691,69.0265404648178,125.27836962809,82,81,51.3099825977925,51.2750957266426,#5294CD,#5D9BD0
Gonzaga,Kentucky,10,25,36,21,2025-12-05,neutral,W,94,59,59.7994541894032,31.1555482038443,132.394366197183,81.9444444444444,123.725952033691,64.6751088192021,71,72,48.3321835124125,48.1723939436098,#FFF1E1,#FFB960
Gonzaga,North Florida,10,338,216,364,2025-12-07,home,W,109,58,61.5699340695265,29.8935662063618,139.74358974359,74.3589743589744,140.642003725125,70.2370471698853,78,78,43.7777708214829,42.5609666278495,#FFB354,#FFC782
Gonzaga,UCLA,10,24,22,41,2025-12-13,neutral,W,82,72,76.9711204859446,67.1574959870645,126.153846153846,109.090909090909,125.151652449848,107.975427961645,65,66,61.5022806165417,62.1970176500899,#FFECD5,#AECDE7
Gonzaga,Campbell,10,199,149,260,2025-12-17,home,W,98,70,82.0725080434092,64.0832403082168,120.987654320988,86.4197530864197,115.01676589017,90.8132770431703,81,81,71.3569951373704,70.5659374870409,#DDEAF5,#FFFFFF
Gonzaga,Oregon,10,100,109,76,2025-12-21,neutral,W,91,82,84.8147005312519,71.9568442472051,131.884057971014,118.840579710145,133.228299157407,113.328433993768,69,69,63.6611748912629,63.4940779744313,#FFCE92,#95BDE0
Gonzaga,Pepperdine,10,300,279,297,2025-12-28,away,W,96,56,62.6646552234358,33.9481066981959,135.211267605634,77.7777777777778,134.693032878958,73.0669630739968,71,72,46.5240509356928,46.4616363811587,#FFC986,#FFCF93
Gonzaga,San Diego,10,257,209,288,2025-12-30,away,W,99,93,87.9834871715745,69.2467982977517,123.75,114.814814814815,129.875678815133,103.823429016348,80,81,67.7443906158996,66.6966974158098,#FFDBAE,#C2D9ED
Gonzaga,Seattle,10,122,290,28,2026-01-02,home,W,80,72,77.4243034226986,69.4902151158507,105.263157894737,94.7368421052632,104.140628187965,94.523615394402,76,76,74.3459154893463,73.5162475809893,#97BFE1,#EDF4F9
Gonzaga,Loyola Marymount,10,170,215,134,2026-01-04,home,W,82,47,55.543823567379,29.0252391578227,117.142857142857,67.1428571428571,115.32560040105,61.4579019060176,70,70,48.162613829213,47.2278393138259,#DFEBF5,#FFB04D
Gonzaga,Santa Clara,10,36,23,81,2026-01-08,home,W,89,77,76.4030363098764,56.524049374145,120.27027027027,104.054054054054,121.968258118605,92.2576911782288,74,74,62.6417376852101,61.2675741743294,#FFF8F0,#F8FAFD
Gonzaga,Washington State,10,159,113,238,2026-01-15,away,W,86,65,73.2436844092285,51.8992022205051,126.470588235294,95.5882352941177,127.944135459019,92.0385114731283,68,68,57.2466132554305,56.3885719030318,#FFE2BE,#F9FBFD
Gonzaga,Seattle,10,122,290,28,2026-01-17,away,W,71,50,62.5015858034678,44.6158105794275,104.411764705882,73.5294117647059,103.779920410471,75.5755982306306,68,68,60.2251240473698,59.0346773614354,#95BDE0,#FFD6A2
Gonzaga,Pepperdine,10,300,279,297,2026-01-21,home,W,84,60,64.1776339574625,38.695614654578,120,84.5070422535211,125.239468407653,75.5089829497568,70,71,51.2439367345165,51.2463724750813,#FFECD4,#FFD6A2
Gonzaga,San Francisco,10,117,102,164,2026-01-24,home,W,68,66,68,61.5958258489771,100,97.0588235294118,100,92.5808326706941,68,68,68,66.531941949659,#7CAED9,#F6F9FC
Gonzaga,Saint Mary's,10,23,43,19,2026-01-31,home,W,73,65,71.033946267075,61.0219825494586,108.955223880597,97.0149253731343,110.919432486221,96.7237012699291,67,67,64.0410293082769,63.0889655257951,#C3DAED,#E3EDF7
Gonzaga,Portland,10,306,273,248,2026-02-04,away,L,80,87,65.2299698974665,81.1800391159088,108.108108108108,119.178082191781,102.371480026721,123.417673960383,74,73,63.7188891676083,65.7766724253511,#8CB7DD,#66A0D2
Gonzaga,Oregon State,10,179,167,193,2026-02-07,away,W,81,61,72.9822302837348,54.9804788815419,147.272727272727,108.928571428571,144.157317059158,109.754260648954,55,56,50.6267956234126,50.09416359461,#FFA637,#A6C8E5
Gonzaga,Washington State,10,159,113,238,2026-02-10,home,W,83,53,58.0504243364147,31.9207458702838,116.901408450704,73.6111111111111,116.833195011391,64.0139469916289,71,72,49.6865846481003,49.865298689453,#E9F1F8,#FFB75C
