team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
High Point,Furman,78,152,160,159,2025-11-03,neutral,W,97,71,76.5177839267399,50.9808212409012,134.722222222222,98.6111111111111,142.188293000561,96.4317060698969,72,72,53.8144050484087,52.8672812279694,#FFBE6D,#FFF4E7
High Point,Jacksonville,78,290,278,287,2025-11-11,home,W,85,64,73.1558863514943,51.3245252648368,121.428571428571,91.4285714285714,123.944396964259,88.3877340233018,70,70,59.0231492050343,58.067474895675,#FFF6EB,#FFDDB3
High Point,UAB,78,114,139,113,2025-11-14,away,L,74,91,69.1706885601639,80.1600422975125,93.6708860759494,116.666666666667,94.6007840441646,110.447345632764,79,78,73.118515093777,72.5776086679745,#71A7D6,#CADEEF
High Point,Canisius,78,342,351,284,2025-11-17,home,W,93,50,53.0863602683725,21.170898846121,140.909090909091,74.6268656716418,144.72077140498,57.9939440156702,66,67,36.6819218506085,36.5053613880796,#FFB75C,#FF9C1F
High Point,Illinois-Chicago,78,101,153,71,2025-11-20,neutral,W,90,80,84.1696645965441,72.5266719388104,123.287671232877,109.58904109589,123.38592679154,108.83921410549,73,73,68.2165841642123,66.6365266736634,#FFF8EF,#D2E3F2
High Point,Incarnate Word,78,261,183,318,2025-11-22,neutral,W,91,80,87.2819051926951,76.0965068062103,142.1875,125,142.162295204407,125.607054034902,64,64,61.3959595033249,60.582988265186,#FFBE6E,#7FAFDA
High Point,Western Carolina,78,194,154,250,2025-11-29,home,W,93,73,80.3752124615358,58.2987073156587,124,97.3333333333333,127.383741417861,94.8194851576784,75,75,63.096916111043,61.4838893279286,#FFECD4,#FFF0DD
High Point,Southern Illinois,78,121,259,39,2025-12-03,home,L,84,86,84,86,113.513513513514,117.808219178082,113.513513513514,117.808219178082,74,73,74,73,#D6E5F3,#A6C7E5
High Point,NJIT,78,327,345,262,2025-12-05,home,W,89,72,82.3620554947801,65.0507308346314,118.666666666667,96,120.160115373193,96.2250008835012,75,75,68.5435888930201,67.602733424121,#F9FBFD,#FFF4E6
High Point,Appalachian State,78,173,231,121,2025-12-14,neutral,L,78,86,78,81.8599494526262,102.631578947368,114.666666666667,106.104207691394,113.61944274259,76,75,73.5126360180403,72.0474836671075,#AECDE7,#BAD4EB
High Point,La Salle,78,269,250,225,2025-12-19,home,W,84,72,77.1076343789323,61.0902405974325,125.373134328358,107.462686567164,126.027043928507,101.905062418252,67,67,61.1834031612088,59.9481901563417,#FFF0DD,#F5F9FC
High Point,Bryant,78,352,349,332,2025-12-22,home,W,93,47,55.3939015633187,21.5985836219655,145.3125,72.3076923076923,150.583868128049,59.1136522666233,64,65,36.7860795793973,36.5373865322147,#FFA533,#FF9C1F
High Point,UNC Asheville,78,218,206,228,2025-12-31,away,W,87,69,79.3765338540185,58.4084324754024,131.818181818182,104.545454545455,133.926657359648,101.429763776163,66,66,59.2686589950945,57.5851015529316,#FFD8A6,#F7FAFC
High Point,Longwood,78,231,253,207,2026-01-03,home,W,80,67,74.0768115136979,56.0840357324005,119.402985074627,98.5294117647059,121.186716925334,93.5721440898758,67,68,61.1261806517444,59.9366791024174,#FFFFFF,#FFECD5
High Point,Gardner-Webb,78,362,355,360,2026-01-07,home,W,104,49,46.884468775126,10.3661608437928,133.333333333333,62.8205128205128,123.755097286854,27.715809065744,78,78,37.8848789286244,37.4016173195718,#FFF7ED,#FF9C1F
High Point,Charleston Southern,78,233,248,219,2026-01-10,away,W,84,82,84,82,103.703703703704,100,103.703703703704,100,81,82,81,82,#A1C5E4,#FFFFFF
High Point,Winthrop,78,133,128,167,2026-01-14,away,L,75,92,55.513242985401,79.9428903451847,107.142857142857,129.577464788732,96.7931245923885,131.987165919628,70,71,57.3524650838334,60.5686846809524,#7CAED9,#5F9CD0
High Point,South Carolina Upstate,78,308,341,221,2026-01-17,home,W,89,69,78.9328405953792,60.1773233285823,136.923076923077,106.153846153846,137.026288190415,106.211679046897,65,65,57.6041587623628,56.6579154652209,#FFCE91,#DFEBF6
High Point,Radford,78,224,197,253,2026-01-23,away,W,93,83,88.9678508624652,76.6818783364805,125.675675675676,112.162162162162,128.5238051841,111.82511439583,74,74,69.2228577694426,68.5730381326039,#FFE8CC,#C3DAED
High Point,Presbyterian,78,253,266,229,2026-01-29,home,W,84,81,84,75.5560494153449,120,114.084507042254,120,110.659395521228,70,71,70,68.2780247076725,#F8FBFD,#C9DEEF
High Point,Longwood,78,231,253,207,2026-01-31,away,W,71,59,69.0757221005373,54.9184645693399,112.698412698413,93.6507936507936,115.022148886073,94.0222113263352,63,63,60.054278910191,58.4100967150487,#DEEAF5,#FFEDD8
High Point,Charleston Southern,78,233,248,219,2026-02-04,home,W,80,55,70.0108319085712,53.3477590849946,112.676056338028,77.4647887323944,108.961378628567,83.6681890832702,71,71,64.2528873897856,63.7611016439003,#BDD6EC,#FFD095
High Point,Radford,78,224,197,253,2026-02-07,home,W,86,77,82.5656897574738,77,108.860759493671,96.25,107.013295046874,99.41409993138,79,80,77.1546093607421,77.453801878354,#B3D0E9,#FFFDFB
High Point,South Carolina Upstate,78,308,341,221,2026-02-12,away,W,95,70,76.5339951781445,51.614622025232,121.794871794872,90.9090909090909,129.560468193118,88.7887036929929,78,77,59.0720273286336,58.1319693591893,#FFE5C5,#FFDEB6
High Point,Gardner-Webb,78,362,355,360,2026-02-14,away,W,112,87,89.9488929195208,63.8760760376987,147.368421052632,112.987012987013,143.670979523133,105.800825260818,76,77,62.6075587554813,60.373892056355,#FFBA63,#E2EDF6
High Point,UNC Asheville,78,218,206,228,2026-02-19,home,W,74,48,54.2807475312943,30.0860320276058,110.44776119403,71.6417910447761,105.014244017819,58.7732195616443,67,67,51.6889380473795,51.1900356182632,#A8C9E6,#FF9C1F
High Point,Winthrop,78,133,128,167,2026-02-21,home,W,89,87,89,84.7569205425537,120.27027027027,117.567567567568,120.27027027027,115.705462653871,74,74,74,73.2523068475179,#FAFBFD,#B0CEE8
High Point,Presbyterian,78,253,266,229,2026-02-26,away,W,79,73,79,71.0723385015272,119.69696969697,108.955223880597,122.770503756078,110.284836707066,66,67,64.3477037098081,64.4443430517166,#FFFAF4,#CBDFF0
High Point,Gardner-Webb,78,362,355,360,2026-03-06,neutral,W,81,59,69.9124746399415,52.1341610254818,117.391304347826,85.5072463768116,117.247910359153,87.3116396074078,69,69,59.6279067369186,59.7104363861454,#E9F2F8,#FFDAAC
High Point,UNC Asheville,78,218,206,228,2026-03-07,neutral,W,75,71,71.3644617603184,62.2941730096671,110.294117647059,104.411764705882,111.238897855114,98.5358404253812,68,68,64.1542330392999,63.2198119392314,#C9DEEF,#FFFAF5
High Point,Winthrop,78,133,128,167,2026-03-08,neutral,W,91,76,82.2136143224585,69.4379436520322,118.181818181818,98.7012987012987,117.938977983563,100.837568595393,77,77,69.7086033201987,68.861184000429,#EDF4F9,#FAFCFD
