team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Hofstra,UCF,75,61,53,111,2025-11-03,away,L,78,82,78,82,109.859154929577,115.492957746479,109.859154929577,115.492957746479,71,71,71,71,#EDF4F9,#AFCDE8
Hofstra,Iona,75,237,271,203,2025-11-07,away,L,73,81,59.3007245987794,73.9828981673041,98.6486486486486,110.958904109589,90.8576425768747,114.22320793246,74,73,65.2677341354142,64.7704608428176,#89B6DD,#B4D1E9
Hofstra,Bucknell,75,322,326,296,2025-11-14,away,W,83,77,80.4705661779376,75.0109746424266,113.698630136986,105.479452054795,113.081036623495,106.288399885557,73,73,71.1618575321921,70.5730585117402,#FEFEFE,#D6E5F3
Hofstra,Temple,75,142,116,201,2025-11-19,away,L,76,81,73.8979778976013,80.4895028817892,105.555555555556,112.5,103.644707571258,112.589260852578,72,72,71.2993259658671,71.4895028817892,#CCDFF0,#BBD5EB
Hofstra,La Salle,75,269,250,225,2025-11-28,neutral,W,63,58,63,56.4132454172197,95.4545454545455,87.8787878787879,96.2958567971418,86.5145947970879,66,66,65.4233755173047,65.2066227086099,#A6C8E5,#FFE6C6
Hofstra,Merrimack,75,171,224,125,2025-11-29,neutral,W,78,58,66.5616162275016,46.1730183362545,120,87.8787878787879,123.644011701934,85.0335408106991,65,66,53.8332712691013,54.2997714737582,#FFDFB7,#FFE2BE
Hofstra,Penn,75,153,205,105,2025-11-30,away,W,77,60,67.4364817764419,53.107226765436,114.925373134328,89.5522388059701,111.988133853968,89.3931414995834,67,67,60.2175243534095,59.4086144356874,#F8FBFD,#FFEDD6
Hofstra,Columbia,75,198,190,212,2025-12-03,away,L,70,72,70,72,100,104.347826086957,100,104.347826086957,70,69,70,69,#B9D4EA,#DEEBF5
Hofstra,Pittsburgh,75,104,89,123,2025-12-07,away,W,80,73,73.6319285035985,63.5149489755759,133.333333333333,119.672131147541,132.550478210066,113.125408843191,60,61,55.5501040040811,56.1456083342137,#FFC47B,#B9D4EA
Hofstra,Syracuse,75,80,79,92,2025-12-13,away,W,70,69,70,69,120.689655172414,116.949152542373,120.689655172414,116.949152542373,58,59,58,59,#FFE8CC,#A9CAE6
Hofstra,Quinnipiac,75,201,235,161,2025-12-21,home,W,74,66,69.4613479342463,63.0247179015016,108.823529411765,95.6521739130435,106.26401993711,95.2479194300909,68,69,65.3667609933783,66.1691281852721,#DAE8F4,#FFFBF6
Hofstra,Campbell,75,199,149,260,2025-12-29,home,W,86,72,74.0863588206686,49.298056623437,128.358208955224,107.462686567164,131.920521193339,92.575500367488,67,67,56.1598439351901,53.2517312115444,#FFC67F,#FFF4E8
Hofstra,Drexel,75,213,295,122,2026-01-03,away,W,70,67,70,61.3860056540497,118.64406779661,111.666666666667,118.64406779661,104.65607376841,59,60,59,58.6549862264935,#FFEEDA,#DDEAF5
Hofstra,Towson,75,138,212,84,2026-01-08,away,W,78,67,70.306940981881,56.8700654279683,113.04347826087,97.1014492753623,114.259368473988,95.0210520987245,69,69,61.5327582507049,59.8499639520743,#FFFBF7,#FFFAF5
Hofstra,Monmouth,75,174,222,131,2026-01-10,home,W,67,64,67,64,94.3661971830986,90.1408450704225,94.3661971830986,90.1408450704225,71,71,71,71,#9BC1E2,#FFEEDA
