team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Houston,Lehigh,5,276,292,252,2025-11-03,home,W,75,57,63.8829585056931,42.5851447302673,110.294117647059,82.6086956521739,115.869248279412,77.3620377178938,68,69,55.1336609620896,55.0465654557304,#EFF5FA,#FFDFB6
Houston,Towson,5,138,212,84,2025-11-08,home,W,65,48,61.0117592376685,46.0000129211363,98.4848484848485,72.7272727272727,98.9569964101713,75.6235273828254,66,66,61.6548212364673,60.8276478406945,#AECDE7,#FFDBAE
Houston,Oakland,5,186,84,303,2025-11-12,home,W,78,45,52.0965202626706,23.5440257402627,123.809523809524,70.3125,123.223696621268,56.4051421946335,63,64,42.2780047110508,41.7409208171497,#FFF7EE,#FFB455
Houston,Auburn,5,35,17,101,2025-11-16,neutral,W,73,72,73,72,102.816901408451,101.408450704225,102.816901408451,101.408450704225,71,71,71,71,#BDD6EC,#E0ECF6
Houston,Rider,5,356,343,350,2025-11-20,home,W,91,45,58.8185804664437,26.8184496464309,131.884057971014,64.2857142857143,141.371393716986,64.4335777882567,69,70,41.6057159231194,41.621853957206,#FFCF93,#FFC47A
Houston,Syracuse,5,80,79,92,2025-11-24,neutral,W,78,74,78,74,102.631578947368,97.3684210526316,102.631578947368,97.3684210526316,76,76,76,76,#BCD5EB,#EFF5FA
Houston,Tennessee,5,16,33,13,2025-11-25,neutral,L,73,76,73,76,119.672131147541,124.590163934426,119.672131147541,124.590163934426,61,61,61,61,#FEFEFE,#8DB8DE
Houston,Notre Dame,5,90,83,124,2025-11-26,neutral,W,66,56,62.5351827970631,52.1886957332999,110,91.8032786885246,109.936087626521,91.5824544316003,60,61,56.8832165553406,56.9854739722855,#D8E7F3,#FFFCF8
Houston,Florida State,5,63,56,107,2025-12-06,neutral,W,82,67,78.4303860665507,60.8484414273167,117.142857142857,94.3661971830986,120.185682434282,93.1241128558418,70,71,65.2576783506946,65.3412307095064,#FFFEFD,#FEFEFE
Houston,Jackson State,5,333,306,339,2025-12-10,home,W,80,38,50.5568788721423,21.3987794564454,125,58.4615384615385,123.825282273025,52.3740558259168,64,65,40.8292054288786,40.857594698359,#FFF6EB,#FFAB42
Houston,New Orleans,5,221,214,237,2025-12-13,home,W,99,57,57.1980071727188,24.984167636287,141.428571428571,80.2816901408451,136.674634964994,59.9372642444948,70,71,41.8497603358287,41.6838638720181,#FFD9AB,#FFBB66
Houston,Arkansas,5,15,6,45,2025-12-20,neutral,W,94,85,92.002013508414,72.1948694091609,130.555555555556,118.055555555556,136.306546520474,111.540997195186,72,72,67.4964012052019,64.724963219422,#FFDAAD,#BCD5EB
Houston,Middle Tennessee,5,175,178,180,2025-12-29,home,W,69,60,64.2185509979961,48.0763505876221,118.965517241379,101.694915254237,122.792881564802,92.7357538123808,58,59,52.2982685800934,51.8423031152453,#FFF8F0,#FFFEFE
Houston,Cincinnati,5,27,82,8,2026-01-03,away,W,67,60,65.307619728473,60,104.6875,95.2380952380952,104.646414613298,96.2785710867555,64,63,62.4078903895615,62.3191633639168,#C4DAEE,#F3F7FB
Houston,Texas Tech,5,30,11,25,2026-01-06,home,W,69,65,67.1968649928298,62.0441750858028,106.153846153846,98.4848484848485,106.234004333087,96.6098926165224,65,66,63.2536309015899,64.2213477372108,#CADEEF,#F1F6FB
Houston,Baylor,5,47,21,126,2026-01-10,away,W,77,55,58.0475258129599,34.513317164592,124.193548387097,87.3015873015873,126.360942423069,75.04323169234,62,63,45.9378702784689,45.99124582759,#FFF0DE,#FFDAAC
Houston,West Virginia,5,55,129,20,2026-01-13,home,W,77,48,56.4589509048008,34.1587586824392,126.229508196721,77.4193548387097,116.419288460063,70.2022759357336,61,62,48.4962171231347,48.6576228863431,#F1F6FB,#FFD095
Houston,Arizona State,5,87,100,89,2026-01-18,home,W,103,73,73.1970342653943,43.5623602000224,147.142857142857,104.285714285714,145.195486487796,88.737888626677,70,70,50.4127476934669,49.0910487889683,#FFC780,#FFF6EB
Houston,Texas Tech,5,30,11,25,2026-01-24,away,L,86,90,86,90,130.30303030303,138.461538461538,130.30303030303,138.461538461538,66,65,66,65,#FFE8CA,#5B9ACF
Houston,TCU,5,43,71,24,2026-01-28,away,W,79,70,72.1812781875479,60.9964931359964,114.492753623188,100,114.064885680096,95.3523468318089,69,70,63.2808929384156,63.9695772182593,#E8F1F8,#F6F9FC
Houston,Cincinnati,5,27,82,8,2026-01-31,home,W,76,54,57.7832095572612,33.2110969449692,126.666666666667,90,128.296155388954,75.2972289585822,60,60,45.0389252757268,44.1066655497206,#FFECD4,#FFDAAD
Houston,UCF,5,61,53,111,2026-02-04,home,W,79,55,57.7489349396349,33.469823605182,127.41935483871,87.3015873015873,130.068089954895,75.3433069419349,62,63,44.3990028297188,44.4230880799755,#FFE8CC,#FFDAAD
Houston,BYU,5,40,13,46,2026-02-07,away,W,77,66,73.1040586099977,65.0479038862081,130.508474576271,110,130.240523038294,115.526028239949,59,60,56.1300407159015,56.3058428279926,#FFE8CB,#AECCE7
Houston,Utah,5,144,105,217,2026-02-10,away,W,66,52,54.6442289758438,33.4878363645451,111.864406779661,86.6666666666667,114.157513832091,70.3921948237043,59,60,47.867395795092,47.5732237763215,#E9F1F8,#FFD096
Houston,Kansas State,5,88,95,103,2026-02-14,home,W,78,64,69.7132651965802,52.0228520543724,106.849315068493,86.4864864864865,109.339083139431,82.2059353117567,73,74,63.7587797472935,63.2835717482948,#D6E5F3,#FFE9CD
Houston,Iowa State,5,7,20,5,2026-02-16,away,L,67,70,67,70,115.51724137931,118.64406779661,115.51724137931,118.64406779661,58,59,58,59,#EEF4FA,#A2C6E4
Houston,Arizona,5,3,10,4,2026-02-21,home,L,66,73,57.4965474134274,66.3360047798085,98.5074626865672,108.955223880597,94.9674775174729,110.680965295618,67,67,60.5434080344492,59.9344291971358,#9FC3E3,#BFD7EC
Houston,Kansas,5,21,50,11,2026-02-23,away,L,56,69,46.1569856120398,66.4169255608383,86.1538461538462,107.8125,79.320773857922,113.891431655994,65,64,58.1902865631586,58.3159984865664,#629ED1,#B3D0E9
Houston,Colorado,5,82,64,136,2026-02-28,home,W,102,62,76.1413141249065,42.6084597884856,145.714285714286,89.8550724637681,161.539317418526,96.7022913451825,70,69,47.1348494853639,44.0614789947356,#FFA32F,#F1F6FB
Houston,Baylor,5,47,21,126,2026-03-04,home,W,77,64,74.0423178691071,61.1343951069968,118.461538461538,98.4615384615385,121.301625206483,101.505915047263,65,65,61.039839938723,60.2274213069566,#FFFBF7,#E0ECF6
Houston,Oklahoma State,5,85,51,147,2026-03-07,away,W,82,75,80.3188855673237,73.0814756032089,118.840579710145,107.142857142857,121.388298716861,110.095450399871,69,70,66.1669093449181,66.3801050250252,#FFFBF7,#C1D8ED
Houston,BYU,5,40,13,46,2026-03-12,neutral,W,73,66,67.4492158051959,61.0200718517271,104.285714285714,95.6521739130435,102.00423611692,92.410615074891,70,69,66.1239359979951,66.0314529908447,#BAD4EB,#FFFDFC
Houston,Kansas,5,21,50,11,2026-03-13,neutral,W,69,47,55.6182830678594,31.0880050514143,115,78.3333333333333,120.062937982677,69.0631729194305,60,60,46.3242729208275,45.0138673583412,#FFFEFE,#FFCE90
Houston,Arizona,5,3,10,4,2026-03-14,neutral,L,74,79,68.4637433880896,78.2843117020109,113.846153846154,119.69696969697,109.417853039644,122.673502814343,65,66,62.5709072936057,63.8151759801691,#D6E6F3,#94BDE0
