team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Idaho,Washington State,165,159,113,238,2025-11-03,away,W,83,81,82.3685541524325,75.1389834121617,113.698630136986,112.5,114.961235753622,106.648752865553,73,72,71.6489811652335,70.4546292321729,#FFF2E2,#FCFDFE
Idaho,San Diego,165,257,209,288,2025-11-12,away,L,74,78,74,78,107.246376811594,114.705882352941,107.246376811594,114.705882352941,69,68,69,68,#FDFEFE,#D2E3F2
Idaho,UC San Diego,165,134,218,72,2025-11-15,away,L,67,75,65.6633318986832,72.5413836242459,93.0555555555556,105.633802816901,95.7151252285713,105.794655913778,72,71,68.6028793692498,68.5680982632686,#DAE8F4,#FFFDFC
Idaho,Cal State Northridge,165,204,196,209,2025-11-26,neutral,W,78,64,75.728862647661,60.0000487153486,108.333333333333,88.8888888888889,112.581500050478,90.3040093416841,72,72,67.2658142001188,66.4422866191089,#FFF6EB,#FFCE91
Idaho,Sam Houston State,165,111,98,145,2025-11-28,neutral,L,68,94,60.5683986586712,78.1151403937952,104.615384615385,144.615384615385,106.450754682574,136.135332669326,65,65,56.898045334935,57.3805042835851,#FBFCFD,#609CD1
Idaho,North Dakota,165,289,241,309,2025-12-03,home,W,90,58,61.6969923271568,35.6151925520192,128.571428571429,81.6901408450704,118.464500379265,69.1424904689671,70,71,52.0805744587056,51.5098491686587,#FFECD4,#FF9C1F
Idaho,South Dakota State,165,205,181,231,2025-12-06,away,W,84,81,84,81,120,115.714285714286,120,115.714285714286,70,70,70,70,#FFE9CE,#CCDFF0
Idaho,Notre Dame,165,90,83,124,2025-12-10,away,L,65,80,65,78.1837336938014,103.174603174603,126.984126984127,109.087939710522,131.898509676238,63,63,59.584955195309,59.2756763406298,#FFFCF9,#76AAD7
Idaho,Cal Poly,165,232,176,286,2025-12-21,away,W,83,80,83,76.8758203425685,102.469135802469,98.7654320987654,104.640371886534,97.7126771174715,81,81,79.3192899677388,78.6753803195335,#F5F9FC,#FFE5C4
Idaho,Cal State Bakersfield,165,339,328,335,2025-12-23,away,L,63,64,63,64,94.0298507462687,95.5223880597015,94.0298507462687,95.5223880597015,67,67,67,67,#D5E5F2,#FFDEB5
Idaho,Eastern Washington,165,188,101,290,2026-01-03,home,W,84,81,84,81,120,115.714285714286,120,115.714285714286,70,70,70,70,#FFE9CE,#CCDFF0
Idaho,Montana,165,210,230,191,2026-01-08,home,L,73,79,73,77,104.285714285714,112.857142857143,106.628475295197,111.594202898551,70,70,68.4620124201365,69,#FBFCFE,#E2EDF6
Idaho,Montana State,165,139,130,176,2026-01-10,home,W,92,89,92,89,133.333333333333,128.985507246377,133.333333333333,128.985507246377,69,69,69,69,#FFD29A,#86B4DC
Idaho,Idaho State,165,288,192,343,2026-01-15,away,L,68,76,65.0025416417124,74.0072785310446,101.492537313433,115.151515151515,103.077119896472,117.409877790283,67,66,63.0620468509395,63.0332642567232,#F0F6FA,#C3DAED
Idaho,Weber State,165,226,156,295,2026-01-17,away,W,75,67,70.5745136174497,62.781002562528,100,88.1578947368421,99.3833788929828,87.7833984392929,75,76,71.0123910090088,71.5180816403964,#E5EFF7,#FFC780
Idaho,Sacramento State,165,287,275,285,2026-01-22,home,W,86,76,82.0052847597858,70.0013538787523,119.444444444444,104.109589041096,122.125169995807,103.810329110241,72,73,67.1485532119232,67.4319737532234,#FFE5C6,#FFF7EE
Idaho,Portland State,165,156,268,67,2026-01-24,home,L,66,69,66,69,97.0588235294118,101.470588235294,97.0588235294118,101.470588235294,68,68,68,68,#DEEAF5,#FFF0DE
Idaho,Northern Colorado,165,143,108,215,2026-01-29,away,L,83,91,75.2047363456305,83.6926827843105,110.666666666667,119.736842105263,108.221338910648,118.944672266199,75,76,69.4915966690473,70.3626998921025,#FFFEFD,#BBD5EB
Idaho,Northern Arizona,165,336,287,353,2026-01-31,away,W,79,62,72.5559023920922,43.9939755599651,121.538461538462,93.9393939393939,139.498764814181,86.4156301255245,65,66,52.0118600969264,50.9097434064426,#FFC781,#FFC277
Idaho,Montana State,165,139,130,176,2026-02-05,away,L,66,73,62.9145992516122,71.2966871550155,90.4109589041096,101.388888888889,89.1753550741742,100.311612171106,73,72,70.5515545178162,71.0752081557631,#C6DCEE,#FFEDD6
Idaho,Montana,165,210,230,191,2026-02-07,away,L,68,73,56.2532429248015,69.3876770264271,94.4444444444444,100,87.2615906954381,106.09162207414,72,73,64.4650670203085,65.4035405151376,#C0D8ED,#FFFEFE
Idaho,Weber State,165,226,156,295,2026-02-12,home,L,72,83,57.5144630702868,76.4673607514347,110.769230769231,129.6875,101.064247628272,132.680308142771,65,64,56.9088123842102,57.6327880314776,#EAF2F9,#72A8D6
Idaho,Idaho State,165,288,192,343,2026-02-14,home,W,99,69,63.4320203877682,31.3532992285404,139.43661971831,97.1830985915493,161.363195282899,80.9638744165966,71,71,39.310091918148,38.725047997596,#FFA12B,#FFB251
Idaho,Portland State,165,156,268,67,2026-02-19,away,L,67,77,62.1009870361326,70.5919578067108,97.1014492753623,111.594202898551,96.4262159843559,108.142824081196,69,69,64.4025967442379,65.2765991701019,#DCE9F5,#F4F8FC
Idaho,Sacramento State,165,287,275,285,2026-02-21,away,W,86,80,83.3650840335183,78.0342952774293,113.157894736842,106.666666666667,112.354809605104,106.609221398919,76,75,74.1980555407673,73.1965717913223,#FFF6EC,#FCFDFE
Idaho,Northern Arizona,165,336,287,353,2026-02-26,home,W,78,58,73.3128950967273,52.705975529572,130,95.0819672131148,131.837165533466,95.8327401710066,60,61,55.6086705900223,54.9978800935067,#FFD5A0,#FFDFB7
Idaho,Northern Colorado,165,143,108,215,2026-02-28,home,L,67,76,61.4798886692833,70.881405510017,98.5294117647059,111.764705882353,96.6478098439432,111.144492406,68,68,63.6122937173172,63.7741051991077,#DDEAF5,#E4EEF7
Idaho,Eastern Washington,165,188,101,290,2026-03-02,away,W,85,81,85,76.8056032824386,126.865671641791,122.727272727273,126.865671641791,119.366386785825,67,66,67,64.3444149987118,#FFDDB3,#B9D3EA
Idaho,Sacramento State,165,287,275,285,2026-03-07,neutral,W,68,45,48.9494831582204,23.1904242875487,100,65.2173913043478,97.2750627033381,46.648624316767,68,69,50.3206904193963,49.7129864539506,#DFEBF5,#FF9C1F
Idaho,Montana State,165,139,130,176,2026-03-08,neutral,W,78,74,72.9284123454407,66.2009072611494,116.417910447761,110.44776119403,116.618067971605,106.349413712494,67,67,62.5361177851083,62.2484929161129,#FFEFDC,#FEFEFE
Idaho,Eastern Washington,165,188,101,290,2026-03-10,neutral,W,81,68,72.9600358827733,60.3024847324892,117.391304347826,98.5507246376812,116.773510336332,96.9790578657235,69,69,62.4799542915456,62.18093479108,#FFEFDB,#FFE2BF
Idaho,Montana,165,210,230,191,2026-03-11,neutral,W,77,66,65.7305664404968,54.1810880191971,110,94.2857142857143,105.936497869432,87.6573002901286,70,70,62.0471393357847,61.8101262985151,#F9FBFD,#FFC67F
