team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Illinois,Jackson State,8,333,306,339,2025-11-03,home,W,113,55,61.8347470931424,24.856653333339,150.666666666667,73.3333333333333,158.211214367145,66.4095602085238,75,75,39.0836688413557,37.4293298363818,#FFAE48,#FF9C1F
Illinois,Florida Gulf Coast,8,238,236,235,2025-11-07,home,W,113,70,60.7803802191465,26.5835434030953,154.794520547945,95.8904109589041,161.972458272179,70.7257968899516,73,73,37.5251328945141,37.5867711246278,#FFA432,#FF9C1F
Illinois,Texas Tech,8,30,11,25,2025-11-11,home,W,81,77,81,74.8942205146515,114.084507042254,110,114.084507042254,108.009909056224,71,70,71,69.3401384827253,#C2D9ED,#F2F7FB
Illinois,Colgate,8,220,184,268,2025-11-14,home,W,84,65,71.7447864495277,50.5002470734377,127.272727272727,97.0149253731343,129.413921562845,91.4696632450561,66,67,55.4382291975347,55.2098316336233,#FFF9F2,#FFCC8D
Illinois,Alabama,8,17,5,53,2025-11-19,neutral,L,86,90,83.6418306476024,90,110.25641025641,115.384615384615,107.233116214875,115.384615384615,78,78,78,78,#A3C6E4,#C5DBEE
Illinois,Long Island,8,208,258,156,2025-11-22,home,W,98,58,54.0206822034558,19.3220308016306,136.111111111111,80.5555555555556,148.548638799368,54.5679196807132,72,72,36.3656527855614,35.4091394993383,#FFC781,#FF9C1F
Illinois,Texas-Rio Grande Valley,8,132,146,144,2025-11-24,home,W,87,73,80.4963742701837,64.157551463875,126.086956521739,104.285714285714,130.057603879478,103.724880498033,69,70,61.8928627539364,61.8535795421731,#FFF7EF,#FFF7ED
Illinois,Connecticut,8,9,12,12,2025-11-28,neutral,L,61,74,57.9742217110402,69.5713711677595,92.4242424242424,112.121212121212,91.7069337401254,111.389089681165,66,66,63.2168357905463,62.4579762406689,#5C9ACF,#DDEAF5
Illinois,Tennessee,8,16,33,13,2025-12-06,neutral,W,75,62,72.0201389700019,60.0019802085089,120.967741935484,100,124.151536334345,104.887465863417,62,62,58.0098652795151,57.2060538545592,#F0F5FA,#FFFBF6
Illinois,Ohio State,8,22,14,52,2025-12-09,away,W,88,80,82.3543491442937,76.0501131740021,127.536231884058,114.285714285714,126.248118088045,116.333819938174,69,70,65.2321400045427,65.3723166783476,#F9FBFD,#BFD7EC
