team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Iowa,Robert Morris,26,158,144,184,2025-11-04,home,W,101,69,66.783586345071,40.4129748356913,148.529411764706,100,149.510488386671,89.4223442916695,68,69,44.6681614552366,45.1933743806537,#FFCB8A,#FFDEB6
Iowa,Western Illinois,26,364,361,356,2025-11-07,home,W,77,58,66.8476250416837,45.5826108090553,120.3125,90.625,125.466604544918,88.0148828916382,64,64,53.2792174333146,51.7896625110273,#FFF1E0,#FFDBAD
Iowa,Xavier,26,97,68,183,2025-11-14,home,W,81,62,71.141007860934,49.8617808815848,119.117647058824,89.8550724637681,118.866514504876,82.9042683109169,68,69,59.8494943317414,60.1438042907363,#FFFBF8,#FFCD8F
Iowa,Southeast Missouri State,26,212,276,150,2025-11-18,home,W,99,70,66.5634781761497,36.6325863282574,143.478260869565,100,144.267359804748,80.342025404633,69,70,46.1389729916989,45.5957964013999,#FFD39D,#FFC67F
Iowa,Chicago State,26,350,338,347,2025-11-20,home,W,93,54,62.3781177842055,33.2825741905527,152.459016393443,88.5245901639344,144.804867273407,78.4334466379255,61,61,43.0773626320372,42.4341599371451,#FFD29B,#FFC174
Iowa,Ole Miss,26,58,78,49,2025-11-25,neutral,W,74,69,71.4594687985469,61.0029771390967,115.625,107.8125,117.897045726172,103.895368272512,64,64,60.6117552466233,58.7157812262519,#FFFDFB,#F3F7FB
Iowa,Grand Canyon,26,56,104,29,2025-11-26,neutral,W,59,46,52.825957289838,37.6283225708246,100,77.9661016949153,94.7297912254306,68.1292120901521,59,59,55.7648830494379,55.2308201084622,#C1D8ED,#FFA635
Iowa,Michigan State,26,12,25,14,2025-12-02,away,L,52,71,39.7878568334639,60.7177973556814,86.6666666666667,120.338983050847,77.9906174979583,120.273362739087,60,59,51.016209526108,50.4831626661996,#93BCDF,#A7C8E5
Iowa,Maryland,26,103,117,117,2025-12-06,home,W,83,64,66.3905284929151,38.2598064703039,116.901408450704,90.1408450704225,126.80322680239,76.2790401913495,71,71,52.3571285740055,50.1576925644678,#FFEFDB,#FFBB67
Iowa,Iowa State,26,7,20,5,2025-12-11,away,L,62,66,62,66,100,108.196721311475,100.853047320216,108.196721311475,62,61,61.4755841765943,61,#D2E3F2,#DFEBF5
Iowa,Western Michigan,26,283,220,317,2025-12-14,home,W,91,51,51.683323635236,16.189613900904,142.1875,78.4615384615385,175.964308024274,54.9833454887749,64,65,29.3714811915758,29.4445777298312,#FFA12B,#FF9C1F
Iowa,Bucknell,26,322,326,296,2025-12-20,neutral,W,94,39,52.7876644867659,22.6358131331881,149.206349206349,60.9375,133.605410501382,57.3471019531853,63,64,39.5101248434993,39.471590302273,#FFE4C3,#FF9C1F
Iowa,UMass Lowell,26,310,277,316,2025-12-29,home,W,90,62,65.5802685377707,39.4791175260992,138.461538461538,93.9393939393939,132.725663927393,80.7998557795543,65,66,49.4103902721076,48.8603811791568,#FFE6C6,#FFC782
Iowa,UCLA,26,24,22,41,2026-01-03,home,W,74,61,67.7010634648289,59.8564914700526,117.460317460317,98.3870967741936,112.39581589186,100.613315128074,63,62,60.2345051082385,59.4916203624332,#F2F7FB,#FFFCF9
Iowa,Minnesota,26,84,88,86,2026-01-06,away,L,67,70,67,70,98.5294117647059,101.449275362319,98.5294117647059,101.449275362319,68,69,68,69,#CCDFF0,#FFFFFF
Iowa,Illinois,26,8,2,23,2026-01-11,home,L,69,75,66.5387257269534,73.604895398176,101.470588235294,110.294117647059,100.606499256265,113.212148287178,68,68,66.1376016647453,65.0150151832358,#D1E3F1,#C8DDEF
Iowa,Purdue,26,6,1,32,2026-01-14,away,L,72,79,69.5313908967122,76.5737974868129,112.5,125.396825396825,111.869346840066,126.020190447455,64,63,62.1541046414777,60.7631183661328,#F0F6FA,#8CB8DD
Iowa,Indiana,26,45,35,70,2026-01-17,away,W,74,57,65.6222098586849,48.6524341950118,129.824561403509,100,129.408702286346,96.2948420423801,57,57,50.7092712462884,50.5244446775244,#FFEBD2,#FFF1DF
Iowa,Rutgers,26,113,137,114,2026-01-20,home,W,68,62,67.167028492751,62,104.615384615385,95.3846153846154,104.675298312028,96.7939969205893,65,65,64.167028492751,64.0535590764636,#DDEAF5,#FFF2E2
Iowa,USC,26,108,91,64,2026-01-28,home,W,73,72,73,71.455864702648,108.955223880597,107.462686567164,108.955223880597,107.523790447047,67,67,67,66.455864702648,#E8F1F8,#E2EDF6
Iowa,Oregon,26,100,109,76,2026-02-01,away,W,84,66,75.8837641899013,58.4597589598289,144.827586206897,113.793103448276,144.758613683034,111.429964514973,58,58,52.4208972849504,52.4632303476806,#FFD29B,#D0E2F1
Iowa,Washington,26,51,54,54,2026-02-04,away,W,84,74,82.0533915633329,69.0730762810805,135.483870967742,121.311475409836,141.212783477887,120.931352615614,62,61,58.1062064938205,57.1175917469743,#FFD8A8,#A4C6E4
Iowa,Northwestern,26,59,63,79,2026-02-08,home,W,76,70,74.6474237708565,67.2166514865692,124.590163934426,114.754098360656,124.033292715725,113.562760538254,61,61,60.1833766857602,59.1889904472048,#FFF3E5,#C6DCEE
Iowa,Maryland,26,103,117,117,2026-02-11,away,L,70,77,67.037996028595,75.2124071344625,114.754098360656,126.229508196721,114.194859681865,125.2469502392,61,61,58.7049156287384,60.0512882675545,#F7FAFC,#90BADE
Iowa,Purdue,26,6,1,32,2026-02-14,home,L,57,78,34.4451738354113,60.0151330301696,95,132.203389830508,78.2685092533792,135.816049684995,60,59,44.0089815993577,44.1885426423208,#94BCE0,#5E9BD0
Iowa,Nebraska,26,18,55,9,2026-02-17,home,W,57,52,54.6930966386459,47.5861972235635,93.4426229508197,85.2459016393443,93.0959011629727,82.5278801962706,61,61,58.7491994334968,57.6607530817372,#BDD6EB,#FFCC8C
Iowa,Wisconsin,26,19,8,48,2026-02-22,away,L,71,84,65.2389676080566,78.0756671668725,112.698412698413,135.483870967742,113.106208384248,135.549769052716,63,62,57.6793869585165,57.5992624056103,#F4F8FB,#5F9CD1
Iowa,Ohio State,26,22,14,52,2026-02-25,home,W,74,57,64.4362264587365,44.2678792700159,125.423728813559,96.6101694915254,135.39577134096,95.0471698343047,59,59,47.5910184051983,46.574642198382,#FFE1BC,#FFEDD8
Iowa,Penn State,26,146,92,240,2026-02-28,away,L,69,71,69,71,116.949152542373,118.333333333333,116.949152542373,118.333333333333,59,60,59,60,#FFFFFF,#B0CEE8
Iowa,Michigan,26,2,3,2,2026-03-05,home,L,68,71,68,71,104.615384615385,110.9375,104.615384615385,110.9375,65,64,65,64,#DCE9F5,#D2E3F2
Iowa,Nebraska,26,18,55,9,2026-03-08,away,L,75,84,75,80.5672905422798,100,112,102.665926357282,110.104315415647,75,75,73.0524748191494,73.1735992709602,#D7E6F3,#D6E6F3
Iowa,Maryland,26,103,117,117,2026-03-11,neutral,W,75,64,68.2785260143272,53.7238040446768,113.636363636364,95.5223880597015,115.02391326821,91.3459565392306,66,67,59.3602878517246,58.8135546225343,#F9FBFD,#FFE4C1
Iowa,Ohio State,26,22,14,52,2026-03-12,neutral,L,69,72,69,72,116.949152542373,122.033898305085,116.949152542373,122.033898305085,59,59,59,59,#FFFFFF,#9FC3E3
