team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Kansas,Green Bay,21,245,148,324,2025-11-03,home,W,94,51,62.224023195356,31.8357198240057,146.875,78.4615384615385,153.757178839479,79.5295225042393,64,65,40.4690198304934,40.030065341218,#FFA22E,#FFD096
Kansas,North Carolina,21,48,34,34,2025-11-07,away,L,74,87,67.9460849556257,83.1254751186442,104.225352112676,122.535211267606,102.32136715683,122.147081869857,71,71,66.4045905988371,68.0535906762071,#DFEBF5,#72A7D6
Kansas,Texas A&M-Corpus Christi,21,184,267,99,2025-11-11,home,W,77,46,58.474929171276,32.7109302818133,110,64.7887323943662,115.436475287045,65.065903476311,70,71,50.6555047058322,50.2735358062347,#FFF5E8,#FFA635
Kansas,Princeton,21,244,247,243,2025-11-15,home,W,76,57,68.3313854120788,49.657110383806,108.571428571429,80.2816901408451,117.65334221361,84.6297048480494,70,71,58.0785756923224,58.6757456769632,#FFF0DD,#FFE0B9
Kansas,Duke,21,1,4,1,2025-11-18,neutral,L,66,78,64.0033782812237,73.6608157244856,100,120,101.514131226334,118.175969201751,66,65,63.0487376565566,62.3314674058066,#DCE9F4,#86B4DC
Kansas,Notre Dame,21,90,83,124,2025-11-24,neutral,W,71,61,67.6017020466434,59.000162083708,107.575757575758,92.4242424242424,108.506510050645,95.8758063872887,66,66,62.301978024259,61.538113009843,#F6F9FC,#FAFCFD
Kansas,Syracuse,21,80,79,92,2025-11-25,neutral,W,71,60,63.8675535478858,51.9788816182677,109.230769230769,90.9090909090909,108.598053652278,87.9687318260645,65,66,58.8109559977791,59.0879060539858,#F6F9FC,#FFEACF
Kansas,Tennessee,21,16,33,13,2025-11-26,neutral,W,81,76,77.5200268629355,72.0668990414808,119.117647058824,110.144927536232,118.344751760578,109.489432601895,68,69,65.5035611716567,65.8208717762901,#FFEEDA,#B3D0E9
Kansas,Connecticut,21,9,12,12,2025-12-02,home,L,56,61,56,61,90.3225806451613,98.3870967741936,91.5143140849239,98.3870967741936,62,62,61.1926129370678,62,#B6D2EA,#EDF4F9
Kansas,Missouri,21,49,41,77,2025-12-07,home,W,80,60,68.5390766458255,48.1919675905585,121.212121212121,89.5522388059701,117.266393562145,83.8351697113985,66,67,58.4473305299557,57.4841892208947,#FFF1DF,#FFDDB3
Kansas,NC State,21,39,27,80,2025-12-13,away,W,77,76,77,76,100,98.7012987012987,100,98.7012987012987,77,77,77,77,#D6E5F3,#EBF3F9
Kansas,Towson,21,138,212,84,2025-12-16,home,W,73,49,61.5998957728935,38.5272359882615,114.0625,75.3846153846154,126.346439911217,79.3627791154169,64,65,48.7547538467878,48.5457243530139,#FFDDB3,#FFD095
Kansas,Davidson,21,116,161,95,2025-12-22,home,W,90,61,66.9692122953023,35.5405920672065,123.287671232877,83.5616438356164,138.393024019424,75.6157466651204,73,73,48.3905982760395,47.0015752467607,#FFC378,#FFC57C
Kansas,UCF,21,61,53,111,2026-01-03,away,L,75,81,75,79.6065088844402,110.294117647059,119.117647058824,110.294117647059,118.55999087991,68,68,68,67.1444964643037,#FDFDFE,#84B3DB
Kansas,TCU,21,43,71,24,2026-01-06,home,W,104,100,94.6598309120899,97.8692986575305,120.93023255814,116.279069767442,113.595638608992,115.725523281084,86,86,83.3305152127526,84.5701932319778,#FFF9F1,#93BCDF
Kansas,West Virginia,21,55,129,20,2026-01-10,away,L,75,86,68.3854505121523,77.5999398274993,111.940298507463,128.358208955224,112.539508476275,125.831195625058,67,67,60.7657270216075,61.6698740260926,#FFFBF6,#5F9CD0
