team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Long Island,Notre Dame,208,90,83,124,2025-11-03,away,L,67,89,55.2518678560233,78.8561909293029,91.7808219178082,123.611111111111,85.2972310887784,120.479150646936,73,72,64.7756874997695,65.4521471191232,#95BEE0,#B8D3EA
Long Island,IU Indy,208,343,285,359,2025-11-06,away,W,94,90,94,90,106.818181818182,103.448275862069,106.818181818182,103.448275862069,88,87,88,87,#FCFDFE,#F1F6FB
Long Island,Air Force,208,357,358,323,2025-11-11,away,W,76,72,69.0689910807915,55.73995482564,108.571428571429,102.857142857143,113.410756590535,93.0093709152891,70,70,60.9016227007128,59.929396658759,#FFEEDA,#FFF2E3
Long Island,James Madison,208,192,162,233,2025-11-15,home,W,88,79,84.133621384358,77.0089601068299,114.285714285714,101.282051282051,114.530023271104,103.669774931493,77,78,73.4598832528,74.2829432761085,#FFEBD3,#F0F6FA
Long Island,Fordham,208,162,237,93,2025-11-20,away,L,53,69,45.4452573778627,64.3461221202048,79.1044776119403,102.985074626866,80.8323140904574,112.427528987515,67,67,56.2216458717315,57.2334220094352,#80B0DA,#D3E4F2
Long Island,Illinois,208,8,2,23,2025-11-22,away,L,58,98,19.3220308016306,54.0206822034558,80.5555555555556,136.111111111111,54.5679196807132,148.548638799368,72,72,35.4091394993383,36.3656527855614,#5294CD,#5B9ACF
Long Island,Missouri State,208,203,170,242,2025-11-24,away,W,75,61,70.6319363869128,58.469768124561,120.967741935484,96.8253968253968,123.188855516173,101.79063123483,62,63,57.3363037516327,57.4412079139892,#FFD49E,#F6FAFC
Long Island,Winthrop,208,133,128,167,2025-12-02,home,L,92,94,92,94,119.480519480519,122.077922077922,119.480519480519,122.077922077922,77,77,77,77,#FFDEB5,#B3D0E9
Long Island,Lehigh,208,276,292,252,2025-12-06,away,W,87,82,84.9997310849928,74.4245934683856,116,110.810810810811,116.388089112597,102.784243222331,75,74,73.0312970451487,72.4085629617361,#FFE6C8,#F3F7FB
Long Island,La Salle,208,269,250,225,2025-12-13,home,W,70,60,66.2936139479555,59.1815321583524,104.477611940299,89.5522388059701,101.760342566652,92.1822550272045,67,67,65.1468069739778,64.2005689065503,#E4EEF7,#FFF1E0
Long Island,Mississippi State,208,89,87,118,2025-12-16,away,L,83,87,83,87,113.698630136986,119.178082191781,115.277777777778,121.696188241591,73,73,72,71.4895028817892,#FFE9CE,#B4D1E9
Long Island,Florida International,208,189,198,171,2025-12-20,away,L,79,86,71.4149109096447,84.2290495535495,103.947368421053,111.688311688312,101.476349826113,117.401423779876,76,77,70.3759161932994,71.7444872827746,#E2EDF6,#C3D9ED
Long Island,Georgia,208,29,19,61,2025-12-29,away,L,74,89,68.7864845211361,83.0300190183308,96.1038961038961,117.105263157895,94.8972756470188,113.721036697981,77,76,72.4852047144064,73.0120138095831,#C3DAED,#CFE1F1
Long Island,Central Connecticut,208,302,262,313,2026-01-02,home,W,84,78,82.6254409764441,74.3064499910246,140,132.203389830508,141.094484557882,127.739785105264,60,59,58.5603620406214,58.1701698729118,#FFA330,#A0C4E3
Long Island,Chicago State,208,350,338,347,2026-01-04,away,W,74,55,63.1247670085285,43.922222840579,113.846153846154,83.3333333333333,110.594158454198,77.6459030703079,65,66,57.0778492199221,56.5673411008017,#FFF6EB,#FFD5A1
Long Island,Mercyhurst,208,281,300,244,2026-01-08,home,W,60,58,60,58,100,95.0819672131148,100,95.0819672131148,60,61,60,61,#DBE9F4,#FFF6EC
Long Island,Saint Francis (PA),208,354,330,357,2026-01-10,home,W,67,63,67,63,91.7808219178082,87.5,92.44492577907,87.5,73,72,72.4755841765943,72,#B7D3EA,#FFE8CC
Long Island,Fairleigh Dickinson,208,334,329,328,2026-01-17,away,W,66,59,62.5747854496475,55.0742296036005,100,89.3939393939394,100.379161161944,88.6856816333919,66,66,62.338422363078,62.1004750589457,#DDEAF5,#FFEAD1
Long Island,Le Moyne,208,296,301,264,2026-01-19,away,L,77,83,66.2287999829139,77.0047810139431,106.944444444444,115.277777777778,102.589700192443,115.405685023373,72,72,64.556968056909,66.7252926043872,#E7F0F8,#C9DEEF
Long Island,Stonehill,208,325,357,202,2026-01-23,away,W,66,63,66,63,101.538461538462,96.9230769230769,101.538461538462,96.9230769230769,65,65,65,65,#E2EDF6,#FFFAF4
