team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
McNeese State,Santa Clara,65,36,23,81,2025-11-07,away,L,67,79,56.6096138582545,69.3366393360205,98.5294117647059,116.176470588235,92.2672771327124,113.152760635636,68,68,61.3539443424024,61.2770196206631,#A0C4E3,#D1E2F1
McNeese State,Louisiana-Lafayette,65,305,321,255,2025-11-14,home,W,88,62,50.7261632232149,21.9947449615246,131.34328358209,91.1764705882353,130.327555708128,56.5499112036268,67,68,38.9220552381244,38.8943934541739,#FFDCB0,#FFC377
McNeese State,George Washington,65,71,60,120,2025-11-23,neutral,W,92,86,88.189878427947,79.6290252479958,122.666666666667,114.666666666667,123.965239878011,111.273697727969,75,75,71.1408121459941,71.5614083776246,#FFEBD1,#D6E5F3
McNeese State,Murray State,65,125,77,227,2025-11-24,neutral,W,73,60,56.474236338128,30.3724520932921,98.6486486486486,80,100.610147738017,54.8828045334572,74,75,56.1317497367995,55.340561313292,#C2D9ED,#FFC072
McNeese State,Middle Tennessee,65,175,178,180,2025-11-25,neutral,W,72,62,64.121594252102,55.0204323927555,126.315789473684,106.896551724138,120.90296587172,103.637890603024,57,58,53.0355841891719,53.0891086962648,#FFF2E1,#EAF2F9
McNeese State,Incarnate Word,65,261,183,318,2025-12-01,away,L,67,71,67,71,95.7142857142857,101.428571428571,95.7142857142857,101.428571428571,70,70,70,70,#AECDE7,#F0F5FA
McNeese State,Northwestern State,65,299,307,256,2025-12-05,home,W,92,54,60.789965776319,30.086548166108,135.294117647059,78.2608695652174,145.492452304301,71.6975853594615,68,69,41.782212625831,41.9631261154288,#FFB860,#FFDAAB
McNeese State,Rhode Island,65,145,242,66,2025-12-09,away,W,66,64,66,64,97.0588235294118,94.1176470588235,97.0588235294118,94.1176470588235,68,68,68,68,#B4D0E9,#FFFCF8
McNeese State,East Texas A&M,65,316,327,281,2025-12-12,home,W,102,66,68.7116541984367,33.9188769791837,130.769230769231,83.5443037974684,154.759356789902,77.2622258363096,78,79,44.3990306135209,43.9009834521793,#FFA32F,#FFE2BF
McNeese State,Houston Christian,65,298,303,265,2025-12-15,away,W,78,68,74.2956749507852,66.0159279394523,127.868852459016,111.475409836066,125.627627394955,113.093037236848,61,61,59.1395989014508,58.3731143423061,#FFE7C9,#D1E2F1
McNeese State,Michigan,65,2,3,2,2025-12-29,away,L,71,112,29.0989253514859,62.4502686346804,86.5853658536585,138.271604938272,73.3063588834061,157.887343013468,82,81,39.694953882197,39.5536890055546,#5394CD,#5A99CF
McNeese State,Lamar,65,240,291,178,2026-01-02,home,W,82,70,75.5581355817351,61.2732193299351,128.125,107.692307692308,127.470746603364,102.843157000046,64,65,59.2748827437568,59.5792866703885,#FFE2BF,#ECF3F9
McNeese State,Stephen F. Austin,65,91,112,90,2026-01-05,home,W,66,64,66,64,106.451612903226,104.918032786885,106.451612903226,104.918032786885,62,61,62,61,#DAE8F4,#E6F0F8
McNeese State,Southeastern Louisiana,65,297,332,218,2026-01-10,home,W,73,61,69.0595764247477,61,114.0625,96.8253968253968,112.547518428794,99.7808238730702,64,63,61.3603723910093,61.1339911139612,#F3F7FB,#F4F8FC
McNeese State,Nicholls State,65,251,256,239,2026-01-12,home,W,94,68,63.8822703766574,33.8301991368241,127.027027027027,90.6666666666667,127.381650359895,69.3969274141523,74,75,50.1502926019323,48.7488429205657,#FFE3BF,#FFD6A4
McNeese State,Texas-Rio Grande Valley,65,132,146,144,2026-01-17,away,L,76,79,76,79,116.923076923077,123.4375,116.923076923077,123.4375,65,64,65,64,#FFFBF6,#B5D1E9
McNeese State,Texas A&M-Corpus Christi,65,184,267,99,2026-01-19,away,W,69,53,64.549982034778,49.984606473514,116.949152542373,88.3333333333333,116.735430771436,91.1550200361342,59,60,55.2959642228628,54.8347270986282,#FFFBF7,#FFF7EE
McNeese State,New Orleans,65,221,214,237,2026-01-24,home,W,82,63,73.0806236240341,55.341691064585,117.142857142857,90,119.547510729624,91.0209470293426,70,70,61.1310291431475,60.8010495064882,#FFF5E9,#FFF7EE
McNeese State,Southeastern Louisiana,65,297,332,218,2026-01-27,away,W,76,66,69.707844831226,56.7205660302209,111.764705882353,95.6521739130435,115.391524506911,93.3708497703515,68,69,60.4098482354751,60.7476168094506,#FFFFFF,#FFFBF6
McNeese State,Lamar,65,240,291,178,2026-01-31,away,W,64,63,64,61.0760392799364,108.474576271186,106.779661016949,108.474576271186,104.669943141107,59,59,59,58.3510771545933,#E2EDF6,#E7F0F8
McNeese State,Stephen F. Austin,65,91,112,90,2026-02-02,away,L,60,67,59.018113443761,65.2555938479499,89.5522388059701,101.515151515152,91.4708564887965,101.793067481483,67,66,64.5212209759833,64.1061277181973,#9DC2E2,#EFF5FA
McNeese State,Incarnate Word,65,261,183,318,2026-02-07,home,W,81,64,75.2182678432906,54.9049201897185,132.786885245902,103.225806451613,129.522930296012,96.8954024486744,61,62,58.0733215897651,56.6641128497316,#FFDEB4,#FCFDFE
McNeese State,Houston Christian,65,298,303,265,2026-02-09,home,W,73,69,72.2710019907855,65.4751185237565,110.606060606061,104.545454545455,112.385179785602,102.066349461986,66,66,64.3065234478935,64.1495643460263,#F2F7FB,#EEF4FA
McNeese State,East Texas A&M,65,316,327,281,2026-02-14,away,W,97,54,68.0088704764312,42.7409883324054,142.647058823529,79.4117647058823,140.95631059601,88.3899525887395,68,68,48.2481913643078,48.3550302728078,#FFC378,#FFF3E5
McNeese State,Northwestern State,65,299,307,256,2026-02-16,away,W,75,64,72.2906343432166,55.8072217253195,119.047619047619,100,125.327849465083,98.8746951858231,63,64,57.6812214138863,56.4423704370835,#FFE7CA,#F7FAFC
McNeese State,Texas A&M-Corpus Christi,65,184,267,99,2026-02-21,home,W,70,54,64.5615560111428,49.1001853246859,106.060606060606,80.5970149253731,105.356233851252,79.8406012693258,66,67,61.2792937362344,61.497764976815,#D6E5F3,#FFE6C7
McNeese State,Texas-Rio Grande Valley,65,132,146,144,2026-02-23,home,W,75,68,70.4345685898173,61.1564737371138,108.695652173913,97.1428571428571,110.867869126248,95.8722669259105,69,70,63.5301906178169,63.7895354914004,#ECF3F9,#FFFFFF
McNeese State,New Orleans,65,221,214,237,2026-02-28,away,W,66,63,66,63,100,95.4545454545455,100,95.4545454545455,66,66,66,66,#C0D8EC,#FFFEFD
McNeese State,Nicholls State,65,251,256,239,2026-03-02,away,W,75,65,70.2325074708136,59.523652150748,110.294117647059,94.2028985507246,109.569296067065,93.8906692423679,68,69,64.0987119492179,63.3967705535196,#E7F0F8,#FFFBF8
McNeese State,Texas-Rio Grande Valley,65,132,146,144,2026-03-10,neutral,W,84,80,84,80,95.4545454545455,90.9090909090909,95.4545454545455,90.9090909090909,88,88,88,88,#ADCCE7,#FFF7ED
McNeese State,Stephen F. Austin,65,91,112,90,2026-03-11,home,W,76,59,69.8327446073816,46.2336370402518,118.75,92.1875,135.43300998651,92.7823884532991,64,64,51.5625729756262,49.8301863219688,#FFD095,#FFFAF4
