team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Michigan,Oakland,2,186,84,303,2025-11-03,home,W,121,78,75.6239517097409,40.7595617205107,157.142857142857,100,160.537510663692,88.6558238227864,77,78,47.1067175497473,45.9750526959004,#FFB354,#FFEFDC
Michigan,Wake Forest,2,70,62,110,2025-11-11,neutral,W,85,84,85,84,96.5909090909091,94.3820224719101,96.5909090909091,94.3820224719101,88,89,88,89,#AECCE7,#FEFEFE
Michigan,TCU,2,43,71,24,2025-11-14,away,W,67,63,66.1794241526077,61.1118411065595,98.5294117647059,91.304347826087,98.5114489851411,89.7965094142194,68,69,67.1794241526077,68.0559205532798,#B4D0E9,#FFF3E3
Michigan,Middle Tennessee,2,175,178,180,2025-11-19,home,W,86,61,66.5490387941476,41.7412978852474,108.860759493671,78.2051282051282,114.434594634967,73.1665384871472,79,78,58.1546507036893,57.0497098104209,#E9F1F8,#FFC57D
Michigan,San Diego State,2,50,115,17,2025-11-24,neutral,W,94,54,65.8187940521162,39.9885139832608,127.027027027027,72,123.35654214105,74.6655572339723,74,75,53.3565491620677,53.5568412862072,#FFFAF4,#FFC986
Michigan,Auburn,2,35,17,101,2025-11-25,neutral,W,102,72,73.5104487027818,41.6102244195836,141.666666666667,100,152.886670290051,90.9141493129431,72,72,48.0816598094003,45.7687001792797,#FFC275,#FFF6EA
Michigan,Gonzaga,2,10,32,10,2025-11-26,neutral,W,101,61,64.2366039515805,35.4175059003562,124.691358024691,74.390243902439,125.27836962809,69.0265404648178,81,82,51.2750957266426,51.3099825977925,#FFF6EC,#FFBA64
Michigan,Rutgers,2,113,137,114,2025-12-06,home,W,101,60,63.5367232118505,34.0591320296683,138.356164383562,81.0810810810811,146.141775651227,78.5010357011429,73,74,43.4760854168647,43.3868569063636,#FFCF92,#FFD49E
Michigan,Villanova,2,46,47,36,2025-12-09,home,W,89,61,57.4681318458006,25.6820527303948,115.584415584416,78.2051282051282,134.606153234343,60.3999925067028,77,78,42.6935399793731,42.5199601267248,#FFE5C4,#FFA32F
Michigan,Maryland,2,103,117,117,2025-12-13,away,W,101,83,94.0897514501186,78.6338476387856,146.376811594203,118.571428571429,146.164703813348,124.160472871519,69,70,64.3724161821384,63.3324324724146,#FFCF92,#70A6D5
Michigan,La Salle,2,269,250,225,2025-12-21,home,W,102,50,66.3822215376672,37.2672072826968,139.72602739726,68.4931506849315,137.621485081261,77.1461224532289,73,73,48.235362013766,48.30729801785,#FFDFB7,#FFD096
Michigan,McNeese State,2,65,94,43,2025-12-29,home,W,112,71,62.4502686346804,29.0989253514859,138.271604938272,86.5853658536585,157.887343013468,73.3063588834061,81,82,39.5536890055546,39.694953882197,#FFB860,#FFC67E
Michigan,USC,2,108,91,64,2026-01-02,home,W,96,66,68.3918487672455,43.5065258473424,114.285714285714,78.5714285714286,119.492058296046,75.4877462509246,84,84,57.2354763509069,57.6338916023864,#FAFBFD,#FFCC8B
Michigan,Penn State,2,146,92,240,2026-01-06,away,W,74,72,74,72,98.6666666666667,96,98.6666666666667,96,75,75,75,75,#B4D1E9,#F6F9FC
Michigan,Wisconsin,2,19,8,48,2026-01-10,home,L,88,91,88,91,122.222222222222,124.657534246575,122.222222222222,124.657534246575,72,73,72,73,#FFFCF9,#6EA5D5
Michigan,Washington,2,51,54,54,2026-01-14,away,W,82,72,79.1080123196435,65.141637806421,117.142857142857,102.857142857143,118.857565699214,98.5645517223156,70,70,66.5569851227119,66.0903303146384,#F8FAFC,#EAF2F8
Michigan,Oregon,2,100,109,76,2026-01-17,away,W,81,71,78.1012836745314,68.0189006139694,119.117647058824,102.898550724638,119.802775478784,103.960804103325,68,69,65.1915478271724,65.4274475853097,#FBFCFD,#D0E2F1
Michigan,Indiana,2,45,35,70,2026-01-20,home,W,86,72,69.2115275132249,44.9702319323738,119.444444444444,100,124.988866152885,84.1389630033088,72,72,55.3741542295183,53.4475709316804,#FFF7ED,#FFE3C1
Michigan,Ohio State,2,22,14,52,2026-01-23,home,W,74,62,70.5369960314509,56.8204663515982,113.846153846154,93.9393939393939,115.676332656504,92.4244324693286,65,66,60.9778979083887,61.47775521419,#EDF4F9,#FFFAF4
Michigan,Nebraska,2,18,55,9,2026-01-27,home,W,75,72,75,72,108.695652173913,105.882352941176,108.695652173913,105.882352941176,69,68,69,68,#D6E5F3,#C7DCEE
Michigan,Michigan State,2,12,25,14,2026-01-30,away,W,83,71,73.3959729341451,65.0432162233602,122.058823529412,102.898550724638,114.465206385306,101.175195264303,68,69,64.120771063902,64.2877100987506,#E9F1F8,#DDEAF5
