team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Michigan State,Colgate,12,220,184,268,2025-11-03,home,W,80,69,74.8995221262876,59.4001901203148,115.942028985507,100,115.630959551107,93.2355410793731,69,69,64.774626464276,63.7098143397338,#FCFDFE,#FFF9F2
Michigan State,Arkansas,12,15,6,45,2025-11-08,home,W,69,66,69,66,100,94.2857142857143,100,94.2857142857143,69,70,69,70,#BCD5EB,#FFFBF7
Michigan State,San Jose State,12,258,143,340,2025-11-13,home,W,79,60,72.1856712972493,57.052902438982,119.69696969697,89.5522388059701,114.437319545586,90.3022402036895,66,67,63.0787854730331,63.1799413949101,#F7FAFC,#FFF3E4
Michigan State,Kentucky,12,25,36,21,2025-11-18,neutral,W,83,66,72.4886640322056,55.0804128310079,115.277777777778,91.6666666666667,116.924754686243,89.4592528965592,72,72,61.9959941132416,61.5703921590948,#FFFDFB,#FFF1DF
Michigan State,Detroit,12,234,207,259,2025-11-21,home,W,84,56,60.3187047938042,36.9100058534903,121.739130434783,81.1594202898551,114.80272431436,69.5516424438938,69,69,52.5411789258901,53.0684891924229,#F8FBFD,#FFC680
Michigan State,East Carolina,12,242,254,220,2025-11-25,neutral,W,89,56,60.4418802373314,30.1299394553052,123.611111111111,77.7777777777778,128.602003339461,65.4252323694236,72,72,46.9991747156439,46.0524760312298,#FFE2BD,#FFBE6C
Michigan State,North Carolina,12,48,34,34,2025-11-27,neutral,W,74,58,68.2482455397512,56.0059097902538,119.354838709677,93.5483870967742,119.451904977562,97.5098073904018,62,62,57.1344973967313,57.4361813330447,#FFF7EE,#F8FBFD
Michigan State,Iowa,12,26,29,33,2025-12-02,home,W,71,52,60.7177973556814,39.7878568334639,120.338983050847,86.6666666666667,120.273362739087,77.9906174979583,59,60,50.4831626661996,51.016209526108,#FFF5E9,#FFD8A8
Michigan State,Duke,12,1,4,1,2025-12-06,home,L,60,66,58.1633622229311,65.161118866908,92.3076923076923,101.538461538462,92.0125729419047,101.558576311729,65,65,63.2124071344625,64.161118866908,#9BC1E2,#E9F1F8
Michigan State,Penn State,12,146,92,240,2025-12-13,away,W,76,72,75.4640470850963,68.2080618942892,108.571428571429,102.857142857143,109.774695375035,99.6264435837803,70,70,68.7444832593526,68.4638128600165,#E4EEF7,#F1F6FA
