team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
NC State,North Carolina Central,39,340,299,352,2025-11-03,home,W,114,66,63.9269873140818,30.8350428096306,158.333333333333,90.4109589041096,156.474585179909,77.5513219812469,72,73,40.8545497919555,39.7608216363958,#FFAD47,#FFCD8E
NC State,UAB,39,114,139,113,2025-11-07,home,W,94,70,72.2326694739446,49.0355143132621,125.333333333333,92.1052631578947,123.421588396768,82.9683891715036,75,76,58.5251497831446,59.1014418899962,#FFF4E8,#FFD7A4
NC State,UNC Greensboro,39,278,186,337,2025-11-12,home,W,110,64,75.7285504391136,49.9543364346717,146.666666666667,84.2105263157895,133.605234040824,88.4312679378724,75,76,56.6808261538424,56.4894494894807,#FFDFB6,#FFE0BA
NC State,VCU,39,42,45,51,2025-11-17,home,W,85,79,84.1731290002698,76.7873894293128,113.333333333333,103.947368421053,113.481971348362,103.322200524456,75,76,74.1731290002698,74.318383696384,#EBF2F9,#FFFBF6
NC State,Seton Hall,39,52,145,16,2025-11-24,neutral,L,74,85,62.2974692141172,80.4586693389144,101.369863013699,116.438356164384,94.9376194167712,119.901879629689,73,73,65.6193715376774,67.1037598304603,#A5C7E5,#D1E3F1
NC State,Boise State,39,57,52,98,2025-11-25,neutral,W,81,70,75.1040365762071,63.8419048389355,115.714285714286,100,113.823446135284,98.4725161664354,70,70,65.9829227863502,64.8322063092526,#ECF3F9,#FFF2E3
NC State,Texas,39,34,18,96,2025-11-26,neutral,L,97,102,84.4499991822863,92.2909782398029,132.876712328767,139.72602739726,127.145684964147,140.62301906644,73,73,66.4198704077923,65.6300645886421,#FFECD6,#91BBDF
NC State,Auburn,39,35,17,101,2025-12-03,away,L,73,83,69.3701157683186,80.2010748636064,104.285714285714,118.571428571429,104.909542148176,120.337840568096,70,70,66.1237427481469,66.6465963532249,#CBDEEF,#D0E2F1
NC State,UNC Asheville,39,218,206,228,2025-12-06,home,W,75,63,70.5480047065012,59.3229797263347,111.940298507463,92.6470588235294,110.431500457652,92.4026676199312,67,68,63.8839501538377,64.2005055204043,#DFEBF5,#FFE7CA
NC State,Liberty,39,112,67,232,2025-12-10,home,W,85,45,52.1467729618867,19.6390899776546,126.865671641791,66.1764705882353,147.585966874282,55.4840337897492,67,68,35.3331512922952,35.3959303897674,#FFC172,#FFA635
NC State,Kansas,39,21,50,11,2025-12-13,home,L,76,77,76,77,98.7012987012987,100,98.7012987012987,100,77,77,77,77,#B3D0E9,#FFF5E9
NC State,Texas Southern,39,293,297,266,2025-12-17,home,W,108,72,75.3167157695087,47.9582205444436,154.285714285714,101.408450704225,161.584993859659,102.739091822879,70,71,46.6112068766258,46.6796228130214,#FFA22E,#FFFAF4
NC State,Ole Miss,39,58,78,49,2025-12-21,neutral,W,76,62,66.7710747637914,40.6913759408134,110.144927536232,88.5714285714286,126.657546770411,79.2356126656315,69,70,52.7178020310356,51.3549079408624,#FFEED8,#FFD095
NC State,Wake Forest,39,70,62,110,2025-12-31,home,W,70,57,61.3558496119421,45.159334464994,95.8904109589041,78.0821917808219,95.2269326941993,71.1164175685003,73,73,64.4311938608515,63.5005755478275,#A6C8E5,#FFC174
NC State,Virginia,39,13,26,15,2026-01-03,home,L,61,76,45.2892200332883,67.7619620096253,92.4242424242424,116.923076923077,86.2930891232301,127.591151288765,66,65,52.483020938807,53.108668841984,#85B3DB,#B9D4EB
NC State,Boston College,39,147,265,57,2026-01-06,away,W,79,71,75.465902802293,64.138974294865,125.396825396825,112.698412698413,125.43078352656,108.382165514207,63,63,60.1653762182817,59.1785318096984,#FFF0DE,#F5F9FC
NC State,Florida State,39,63,56,107,2026-01-10,away,W,113,69,73.068952284844,44.3156671588605,150.666666666667,90.7894736842105,145.834442314744,88.2248503169289,75,76,50.1040434105029,50.2303682008708,#FFC47B,#FFE0B9
NC State,Georgia Tech,39,155,189,139,2026-01-17,home,L,74,78,69.3094913346551,78,100,105.405405405405,96.380872439135,105.405405405405,74,74,71.912081288146,74,#ABCBE6,#FFFFFF
NC State,Clemson,39,38,66,18,2026-01-20,away,W,80,76,79.1995135427925,74.0899874509205,112.676056338028,105.555555555556,112.820601662024,104.286007452161,71,72,70.1995135427925,71.0449937254603,#E8F1F8,#FFFDFA
NC State,Pittsburgh,39,104,89,123,2026-01-24,away,W,81,72,75.0332673199089,66.3161028104769,120.89552238806,107.462686567164,119.456637657505,106.380397717638,67,67,62.812137350657,62.3386490681279,#FFFDFB,#FBFDFE
NC State,Syracuse,39,80,79,92,2026-01-27,home,W,88,68,76.703727675099,62.0020188926414,127.536231884058,97.1428571428571,121.113310983044,97.8220251744802,69,70,63.3322027550198,63.38247320279,#FFF9F3,#FFF1E0
NC State,Wake Forest,39,70,62,110,2026-01-31,away,W,96,78,85.5284833965315,70.0173978674921,135.211267605634,108.333333333333,132.556136065844,107.533354202207,71,72,64.5224626599312,65.1122606441071,#FFE1BB,#F8FAFD
NC State,SMU,39,37,30,73,2026-02-03,away,W,84,83,84,83,118.30985915493,116.901408450704,118.30985915493,116.901408450704,71,71,71,71,#FDFDFE,#DBE8F4
NC State,Virginia Tech,39,53,58,74,2026-02-07,home,W,82,73,75.6912299530623,65.2959498558477,113.888888888889,100,112.50774220759,96.8054456737124,72,73,67.2764633507648,67.4506990814659,#E7F0F8,#FFEFDC
NC State,Louisville,39,20,24,22,2026-02-09,away,L,77,118,42.2954080096174,72.4690773834547,95.0617283950617,145.679012345679,83.949219327187,140.616885093487,81,81,50.3821338049299,51.5365401070253,#7CAED9,#91BBDF
NC State,Miami (Fla.),39,28,31,40,2026-02-14,home,L,76,77,76,75.4868383540151,118.75,120.3125,118.75,117.948184928149,64,64,64,64,#FFFFFF,#D7E6F3
NC State,North Carolina,39,48,34,34,2026-02-17,home,W,82,58,68.1362145746832,46.3826113619432,128.125,89.2307692307692,129.246506216742,87.8798209565754,64,65,52.7180320529677,52.7795924673795,#FFE8CB,#FFDFB8
NC State,Virginia,39,13,26,15,2026-02-24,away,L,61,90,53.0640494951985,72.4523388384477,87.1428571428571,130.434782608696,92.7099434842346,126.86242089189,70,69,57.2366323405451,57.11095399968,#9DC2E2,#BCD5EB
NC State,Notre Dame,39,90,83,124,2026-02-28,away,L,90,96,89.3000813968055,95.2713354106843,121.621621621622,131.506849315068,122.168166039652,132.898227500005,74,73,73.0960317173146,71.6874387287676,#FFF7EE,#A9CAE6
NC State,Duke,39,1,4,1,2026-03-02,home,L,64,93,40.4701774586545,70.5289981376608,96.969696969697,140.909090909091,95.5897952445103,157.788486895702,66,66,42.3373408794687,44.6984437998193,#A8C9E5,#5B9ACF
NC State,Stanford,39,73,69,87,2026-03-07,home,L,84,85,82.4267525297829,85,121.739130434783,123.188405797101,120.373931118586,123.188405797101,69,69,68.4755841765943,69,#FFFBF7,#C7DCEE
NC State,Pittsburgh,39,104,89,123,2026-03-11,neutral,W,98,88,94.6493705178363,83.2924485746233,150.769230769231,133.333333333333,151.864311903424,133.884342635336,65,66,62.3249592557515,62.2122400088925,#FFB75E,#A6C8E5
NC State,Virginia,39,13,26,15,2026-03-12,neutral,L,74,81,68.3178009368979,78.4326902820446,107.246376811594,117.391304347826,102.593044675069,117.949611670673,69,69,66.591064875083,66.4967770313957,#C2D9ED,#D7E6F3
