team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Nebraska,West Georgia,18,294,294,274,2025-11-03,home,W,86,53,58.2783588403016,33.120433307639,122.857142857143,75.7142857142857,113.54196758539,65.6610803786778,70,70,51.3275928536933,50.4414991599715,#FFFBF6,#FFC47A
Nebraska,Florida International,18,189,198,171,2025-11-08,home,W,96,66,64.8686194328801,33.1875530914711,123.076923076923,84.6153846153846,132.444133472649,70.0217904945701,78,78,48.9780994688423,47.3960360868588,#FFD096,#FFCE90
Nebraska,Maryland-Eastern Shore,18,347,356,275,2025-11-11,home,W,69,50,51.0968803379035,22.9415780938918,104.545454545455,75.7575757575758,109.175923868648,50.3783943088048,66,66,46.8023338180121,45.5385258078427,#F4F8FB,#FFA22E
Nebraska,Oklahoma,18,33,15,108,2025-11-15,neutral,W,105,99,99.849802316475,87.4565468619226,147.887323943662,139.43661971831,152.881515151105,134.30987731551,71,71,65.3118869326912,65.1154990310031,#FFA22E,#5C9AD0
Nebraska,New Mexico,18,54,72,55,2025-11-20,neutral,W,84,72,71.6849394406776,58.7995733754146,102.439024390244,87.8048780487805,98.5523202969502,80.5890619789824,82,82,72.7379520083161,72.962225805221,#CADEEF,#FFE5C5
Nebraska,Kansas State,18,88,95,103,2025-11-21,neutral,W,86,85,86,85,113.157894736842,113.333333333333,114.666666509103,113.333333333333,76,75,75.0000001030577,75,#FFF8F0,#ADCCE7
Nebraska,Winthrop,18,133,128,167,2025-11-25,home,W,80,73,76.5879546972135,69.1196005040685,114.285714285714,104.285714285714,114.012450393986,104.165164850595,70,70,67.1750799430704,66.3557731639047,#FFFAF4,#D0E2F1
Nebraska,South Carolina Upstate,18,308,341,221,2025-11-29,home,W,72,63,64.2747758020361,47.6670635040834,100,87.5,101.232190059531,77.1578129605265,72,72,63.4924284106057,61.7786607410316,#D5E5F2,#FFDDB3
Nebraska,Creighton,18,68,70,82,2025-12-07,home,W,71,50,57.0905499024981,36.3334125757561,110.9375,78.125,107.073134344065,70.2590275741151,64,64,53.3192105118036,51.7135147329338,#ECF3F9,#FFCE91
Nebraska,Wisconsin,18,19,8,48,2025-12-10,home,W,90,60,71.3437255622168,48.1876547640535,132.352941176471,88.2352941176471,133.949133068568,91.0830329804118,68,68,53.2618046327303,52.9051934122755,#FFCD8E,#FFFCF9
Nebraska,Illinois,18,8,2,23,2025-12-13,away,W,83,80,83,80,131.746031746032,126.984126984127,131.746031746032,126.984126984127,63,63,63,63,#FFD29A,#78ABD8
Nebraska,North Dakota,18,289,241,309,2025-12-21,home,W,78,55,63.5022550591807,45.0735474127376,118.181818181818,83.3333333333333,109.319101710831,79.0256204516656,66,66,58.0888921198381,57.0366257868306,#F4F8FC,#FFE1BD
Nebraska,New Hampshire,18,349,353,302,2025-12-30,home,W,86,55,68.1977148820827,46.0169043910517,124.63768115942,79.7101449275362,124.489006537631,84.4099303366501,69,69,54.782118340279,54.5159843249764,#FFE2BE,#FFEDD8
Nebraska,Michigan State,18,12,25,14,2026-01-02,home,W,58,56,58,56,87.8787878787879,84.8484848484848,89.2307692307692,86.1538461538462,66,66,65,65,#A5C7E5,#FFF1E0
Nebraska,Ohio State,18,22,14,52,2026-01-05,away,W,72,69,72,67.7959403722892,105.882352941176,101.470588235294,105.882352941176,100.590477999627,68,68,68,67.3979701861446,#E7F0F8,#DEEAF5
Nebraska,Indiana,18,45,35,70,2026-01-10,away,W,83,77,80.8933022182024,71.276089569622,123.880597014925,114.925373134328,127.283356476297,114.477851647986,67,67,63.5537154720356,62.2619035416496,#FFDCB0,#A8C9E6
Nebraska,Oregon,18,100,109,76,2026-01-13,home,W,90,55,66.0816978577683,39.7731226603408,140.625,85.9375,140.989935557424,87.9300493348817,64,64,46.8697979018891,45.2326854825986,#FFBD6B,#FFF5E9
Nebraska,Northwestern,18,59,63,79,2026-01-17,away,W,77,58,68.1655329460475,48.5326089165973,130.508474576271,98.3050847457627,128.114566326739,94.4160681565599,59,59,53.2066999877286,51.402912517095,#FFDAAC,#F6F9FC
