team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
North Carolina,Central Arkansas,48,176,188,170,2025-11-03,home,W,94,54,58.2720694344716,26.5919982138488,127.027027027027,72.972972972973,140.045023241483,65.7558680654026,74,74,41.6095253409981,40.4404945082615,#FFAE49,#FFA637
North Carolina,Kansas,48,21,50,11,2025-11-07,home,W,87,74,83.1254751186442,67.9460849556257,122.535211267606,104.225352112676,122.147081869857,102.32136715683,71,71,68.0535906762071,66.4045905988371,#FFEDD7,#F9FBFD
North Carolina,Radford,48,224,197,253,2025-11-11,home,W,89,74,75.3068443290694,54.5977779361448,111.25,92.5,116.882535904976,86.1153264076251,80,80,64.4295092898161,63.4007675680254,#FDFDFE,#FFD9AA
North Carolina,North Carolina Central,48,340,299,352,2025-11-14,home,W,97,53,58.8790352224991,30.8733791897324,138.571428571429,74.6478873239437,129.778083069842,68.2236774994372,70,71,45.369012879326,45.2531735627811,#FFD29B,#FFAC45
North Carolina,Navy,48,128,182,94,2025-11-18,home,W,73,61,62.666873673094,41.8835078555435,104.285714285714,87.1428571428571,106.445368361665,72.6094072592611,70,70,58.8723348301765,57.6833077647819,#BDD6EB,#FFB75D
North Carolina,Saint Bonaventure,48,130,99,198,2025-11-25,neutral,W,85,70,75.4529434139258,55.0595178514437,118.055555555556,97.2222222222222,120.268792974182,90.16861564922,72,72,62.7369258042882,61.0628403852177,#FFF4E6,#FFE3C1
North Carolina,Michigan State,48,12,25,14,2025-11-27,neutral,L,58,74,56.0059097902538,68.2482455397512,93.5483870967742,119.354838709677,97.5098073904018,119.451904977562,62,62,57.4361813330447,57.1344973967313,#86B4DC,#AECDE7
North Carolina,Kentucky,48,25,36,21,2025-12-02,away,W,67,64,67,64,101.515151515152,96.969696969697,101.515151515152,96.969696969697,66,66,66,66,#9EC3E3,#FFF4E8
North Carolina,Georgetown,48,96,80,78,2025-12-07,home,W,81,61,73.629111416866,56.0030581209648,115.714285714286,87.1428571428571,118.247915910505,90.6519487211541,70,70,62.26673074948,61.778107267424,#FFFBF6,#FFE5C4
North Carolina,South Carolina Upstate,48,308,341,221,2025-12-13,home,W,80,62,73.6965292257039,60.0000004143853,126.984126984127,96.875,124.155348291677,99.7337237174193,63,64,59.358320233269,60.1601927392046,#FFE6C7,#FFFBF7
North Carolina,East Tennessee State,48,140,151,151,2025-12-16,home,W,77,58,61.8997596556872,39.4764324087473,130.508474576271,96.6666666666667,135.979094498133,85.7897540662874,59,60,45.5215265877044,46.0153229699726,#FFBD69,#FFD8A8
North Carolina,Ohio State,48,22,14,52,2025-12-20,neutral,W,71,70,71,70,110.9375,111.111111111111,110.9375,111.111111111111,64,63,64,63,#D8E7F3,#D2E3F2
North Carolina,East Carolina,48,242,254,220,2025-12-22,home,W,99,51,58.7522508370565,27.2667175721867,130.263157894737,67.1052631578947,132.256234625833,62.689116672805,76,76,44.4230481861765,43.4951376241281,#FFCA87,#FF9F25
North Carolina,Florida State,48,63,56,107,2025-12-30,home,W,79,66,71.2296254615736,59.4432142504279,116.176470588235,97.0588235294118,113.293156399581,95.2487201435865,68,68,62.8719577821181,62.4084125863507,#E7F0F8,#FFF0DE
North Carolina,SMU,48,37,30,73,2026-01-03,away,L,83,97,73.6965899887968,88.6898976831521,118.571428571429,138.571428571429,115.96775016698,137.795043375798,70,70,63.5492107785848,64.3636342138047,#F7FAFC,#5E9BD0
North Carolina,Wake Forest,48,70,62,110,2026-01-10,home,W,87,84,87,82.6590049124184,122.535211267606,120,122.535211267606,119.226306239005,71,70,71,69.3295024562092,#FFECD4,#AFCDE7
North Carolina,Stanford,48,73,69,87,2026-01-14,away,L,90,95,88.334056985502,95,118.421052631579,125,117.517026755981,125,76,76,75.167028492751,76,#FFFDFC,#96BEE0
North Carolina,California,48,77,96,63,2026-01-17,away,L,78,84,74.8738050173567,83.1444964643037,106.849315068493,115.068493150685,107.02710063407,118.037215206797,73,73,69.9578000093204,70.4392223407149,#C0D8EC,#B4D0E9
North Carolina,Notre Dame,48,90,83,124,2026-01-21,home,W,91,69,70.257352639618,44.2838326007163,130,98.5714285714286,142.559433961742,91.8769173856048,70,70,49.2828504485173,48.1990840146044,#FFA635,#FFE8CB
North Carolina,Virginia,48,13,26,15,2026-01-24,away,W,85,80,85,80,125,117.647058823529,125,119.060706978202,68,68,68,67.1926129370678,#FFE3C1,#B0CEE8
North Carolina,Georgia Tech,48,155,189,139,2026-01-31,away,W,91,75,82.3969882560981,63.5396303126214,130,105.633802816901,133.192125721941,103.309405136845,70,71,61.8632579136954,61.5042069291328,#FFC680,#F5F8FC
North Carolina,Syracuse,48,80,79,92,2026-02-02,home,W,87,77,67.5190035452583,40.3471974127496,120.833333333333,106.944444444444,142.534917178003,87.254203911867,72,72,47.370149632134,46.2409782037586,#FFA635,#FFDCB0
North Carolina,Duke,48,1,4,1,2026-02-07,home,W,71,68,71,68,107.575757575758,104.615384615385,107.575757575758,104.615384615385,66,65,66,65,#C4DAED,#EFF5FA
North Carolina,Miami (Fla.),48,28,31,40,2026-02-10,away,L,66,75,62.8579115774756,70.4434563690292,95.6521739130435,110.294117647059,96.9143033459511,109.169439998141,69,68,64.8592719622553,64.5267177061902,#82B2DB,#DBE8F4
North Carolina,Pittsburgh,48,104,89,123,2026-02-14,home,W,79,65,70.5271743115797,50.6681637988411,123.4375,101.5625,124.831228030511,92.0196344409167,64,64,56.4980217084313,55.0623398002888,#FFE4C2,#FFE8CB
North Carolina,NC State,48,39,27,80,2026-02-17,away,L,58,82,46.3826113619432,68.1362145746832,89.2307692307692,128.125,87.8798209565754,129.246506216742,65,64,52.7795924673795,52.7180320529677,#5294CD,#83B2DB
North Carolina,Syracuse,48,80,79,92,2026-02-21,away,W,77,64,69.4175531782073,57.0068563718064,111.594202898551,92.7536231884058,111.107659515406,92.4001105818004,69,69,62.4777386914371,61.6956581684381,#D9E7F4,#FFE9CE
