team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
North Dakota State,Oregon State,115,179,167,193,2025-11-03,away,L,65,67,65,67,100,101.515151515152,100,101.515151515152,65,66,65,66,#D1E3F1,#EFF5FA
North Dakota State,UC Davis,115,202,244,152,2025-11-05,away,L,68,80,59.2678778576476,72.2619445352283,97.1428571428571,114.285714285714,96.2028548919947,115.485614072427,70,70,61.6071923480718,62.5722477346046,#C3D9ED,#B5D1E9
North Dakota State,Cal State Northridge,115,204,196,209,2025-11-11,home,W,90,68,79.1900619014679,58.6947269786357,112.5,83.9506172839506,104.873084030956,78.9799694895894,80,81,75.5103777420077,74.3159656276804,#E4EEF7,#FFD299
North Dakota State,Southern Illinois,115,121,259,39,2025-11-17,home,W,92,85,88.4215535415332,83.0045423994517,117.948717948718,108.974358974359,116.174718322277,110.189018611635,78,78,76.1108396202395,75.3292328448844,#FFF5E8,#CBDFF0
North Dakota State,Jacksonville State,115,206,245,157,2025-11-26,neutral,W,56,43,50.8700014730942,32.680304501622,90.3225806451613,68.2539682539683,92.3140476957334,60.0956519753395,62,63,55.1053742554562,54.3804808291829,#B4D0E9,#FFA533
North Dakota State,Arkansas State,115,141,157,148,2025-11-28,away,L,80,85,76.8047215907809,84.4620124201365,101.26582278481,106.25,98.1790563812891,106.292314840409,79,80,78.2292317951207,79.4620124201365,#CADEEF,#DBE9F4
North Dakota State,Montana,115,210,230,191,2025-12-03,away,W,81,72,69.8478375318321,63.0342856511633,112.5,100,105.413384029839,95.2918097043603,72,72,66.2608815518727,66.1486919460603,#E6F0F7,#FFF8F1
North Dakota State,Northern Arizona,115,336,287,353,2025-12-06,home,W,69,68,69,68,98.5714285714286,97.1428571428571,98.5714285714286,97.1428571428571,70,70,70,70,#CCDFF0,#FFFDFB
North Dakota State,Cal State Bakersfield,115,339,328,335,2025-12-11,away,W,80,69,75.30459357993,66.6780572189606,108.108108108108,92,106.608281535644,93.3136595251158,74,75,70.6367202389919,71.4558378251299,#EBF2F9,#FFF4E6
North Dakota State,Drake,115,200,159,254,2025-12-13,away,W,99,94,95.0317785315067,86.4884797589015,139.43661971831,130.555555555556,142.974922292714,128.143696331129,71,72,66.4674454845633,67.4933549094847,#FFB962,#80B0DA
North Dakota State,UC Irvine,115,105,246,30,2025-12-21,neutral,L,73,74,73,74,108.955223880597,108.823529411765,108.955223880597,108.823529411765,67,68,67,68,#F4F8FB,#D1E2F1
North Dakota State,UTEP,115,275,316,197,2025-12-22,away,L,66,76,66,72.47014847627,98.5074626865672,115.151515151515,103.982245150179,114.321540291493,67,66,63.4723744468856,63.3915081020498,#E1ECF6,#BAD4EB
North Dakota State,South Dakota,115,284,233,311,2025-12-31,home,W,84,61,64.0528562196862,37.0903258150785,129.230769230769,93.8461538461538,139.041928193691,83.5837833666669,65,65,46.067295708427,44.3750262564331,#FFC276,#FFDDB2
North Dakota State,Oral Roberts,115,315,313,292,2026-01-03,home,W,79,77,79,77,102.597402597403,100,102.597402597403,100,77,77,77,77,#DBE9F4,#F5F9FC
North Dakota State,Missouri-Kansas City,115,363,363,345,2026-01-08,away,W,97,73,75.1316425745588,44.8233448421155,140.579710144928,104.285714285714,147.1132777644,92.6165441184832,69,70,51.0706060773667,48.3966933432255,#FFB04D,#FFF2E2
North Dakota State,Omaha,115,250,217,273,2026-01-10,away,W,78,76,78,76,123.809523809524,122.58064516129,123.809523809524,122.58064516129,63,62,63,62,#FFE4C2,#97BFE1
North Dakota State,South Dakota State,115,205,181,231,2026-01-14,home,W,76,65,72.3717598893092,58.7798351076757,116.923076923077,101.5625,119.600446561268,97.5145548872208,65,64,60.5112789877713,60.2780120112908,#FFEDD7,#FFFEFD
North Dakota State,St. Thomas (MN),115,106,81,165,2026-01-17,home,W,68,65,68,63.6802769654506,98.5507246376812,92.8571428571429,99.4863619284313,91.8375393514902,69,70,68.3510771545933,69.3401384827253,#CFE1F1,#FFF0DE
North Dakota State,Denver,115,260,97,358,2026-01-22,away,W,82,77,79.2658687608751,72.1181265711485,124.242424242424,116.666666666667,123.685857821249,114.247518728872,66,66,64.0864446082675,63.1244576455934,#FFE4C2,#BAD4EB
North Dakota State,Oral Roberts,115,315,313,292,2026-01-24,away,W,86,58,61.0538769722849,31.7743210339674,136.507936507937,92.0634920634921,153.387284475466,81.8676979094136,63,63,39.8037406953706,38.8117924961389,#FFA22E,#FFD8A8
North Dakota State,South Dakota,115,284,233,311,2026-01-31,away,W,89,84,89,82.6590049124184,121.917808219178,115.068493150685,121.917808219178,114.281174493718,73,73,73,72.3295024562092,#FFE8CB,#BAD4EB
North Dakota State,Denver,115,260,97,358,2026-02-05,home,L,71,78,68.166723012685,73.8047342241813,101.428571428571,111.428571428571,101.263015786851,109.5055336825,70,70,67.3165049282847,67.3981777379127,#D6E6F3,#CEE0F0
North Dakota State,Omaha,115,250,217,273,2026-02-07,home,W,92,84,86.4019571910419,80.0536002586281,139.393939393939,125.373134328358,136.906679316846,126.495346530878,66,67,63.1101109326301,63.2858065170695,#FFC780,#87B5DC
North Dakota State,North Dakota,115,289,241,309,2026-02-14,away,W,83,66,74.0373642559678,59.7365228914929,123.880597014925,100,118.5970155261,97.8326202324779,67,66,62.4276790841115,61.0599233154975,#FFEFDC,#FFFFFF
North Dakota State,South Dakota State,115,205,181,231,2026-02-18,away,W,74,66,71.711119868601,62.180281519825,112.121212121212,100,111.689585603111,99.4084335854774,66,66,64.2057354599078,62.5503081349316,#FFFFFF,#F8FAFD
North Dakota State,Missouri-Kansas City,115,363,363,345,2026-02-21,home,W,95,59,61.9190337302541,29.1482838928176,125,76.6233766233766,138.25909173717,65.9430659266027,76,77,44.784782651373,44.2021969758895,#FFC47A,#FFB252
North Dakota State,St. Thomas (MN),115,106,81,165,2026-02-26,away,L,62,84,34.5327488404422,63.5615348165452,95.3846153846154,129.230769230769,76.2847074556037,136.600877524069,65,65,45.2682457496997,46.5308393098321,#76AAD7,#5D9BD0
North Dakota State,North Dakota,115,289,241,309,2026-02-28,home,W,96,63,67.5412624810342,40.4776839884465,135.211267605634,88.7323943661972,130.867323847252,79.1050494442629,71,71,51.6104864800843,51.1695325049597,#FFD49F,#FFD299
North Dakota State,Oral Roberts,115,315,313,292,2026-03-05,neutral,W,76,65,75.0087779331877,62.1112777269141,113.432835820896,95.5882352941177,116.967909679436,97.6168157432646,67,68,64.1276553020035,63.6276416660309,#FFF3E4,#FFFEFD
North Dakota State,Omaha,115,250,217,273,2026-03-07,neutral,W,74,50,58.8357389920176,37.1679676414108,110.44776119403,74.6268656716418,111.765149246161,70.6079527995235,67,67,52.6422944798587,52.6399168475277,#FFFEFE,#FFBE6C
North Dakota State,North Dakota,115,289,241,309,2026-03-08,neutral,W,70,62,66.0945742982246,59.0007982047321,109.375,95.3846153846154,108.188318843856,96.4561897386844,64,65,61.0921539446568,61.168493556064,#F1F6FB,#FFFBF7
