team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Northern Iowa,Cal State Northridge,64,204,196,209,2025-11-06,home,W,86,57,66.5159005960057,42.4230975703748,119.444444444444,79.1666666666667,120.788619750555,78.4806956789106,72,72,55.0680194321037,54.0554555529696,#FFD7A6,#FFDEB4
Northern Iowa,South Dakota State,64,205,181,231,2025-11-09,home,W,65,58,61.4426576742683,51.3313924203899,103.174603174603,92.0634920634921,101.923254987543,85.9912008076509,63,63,60.2832569287332,59.693773244556,#DFEBF5,#FFEEDA
Northern Iowa,Furman,64,152,160,159,2025-11-14,home,W,70,54,58.1109986401327,36.6288718708224,109.375,84.375,108.978149917867,71.1729749304799,64,64,53.3235319960275,51.4645789453097,#FFFBF7,#FFCD8F
Northern Iowa,Northern Illinois,64,353,360,294,2025-11-18,home,W,70,57,65.1411264770729,55.0024097425907,111.111111111111,90.4761904761905,108.475815661504,92.420265631247,63,63,60.0512898472636,59.51336470082,#FFFDFB,#FFFCFA
Northern Iowa,UC Irvine,64,105,246,30,2025-11-22,away,W,70,69,70,69,97.2222222222222,95.8333333333333,97.2222222222222,95.8333333333333,72,72,72,72,#C6DBEE,#F5F9FC
Northern Iowa,Loyola Chicago,64,279,283,263,2025-11-25,neutral,W,72,51,60.5388911021242,30.9432224837364,116.129032258065,82.258064516129,131.375736791555,71.9302890866467,62,62,46.0807243259668,43.0183485658766,#FFB75D,#FFCF93
Northern Iowa,Tulsa,64,66,49,133,2025-11-26,neutral,L,60,63,57.9625468511701,63,92.3076923076923,98.4375,90.1147105441285,98.4375,65,64,64.32084895039,64,#A0C4E3,#EBF2F9
Northern Iowa,Wichita State,64,76,125,44,2025-12-06,home,L,69,74,69,73.4620124201365,97.1830985915493,102.777777777778,97.1830985915493,102.798689726566,71,72,71,71.4620124201365,#C6DBEE,#DAE8F4
Northern Iowa,Oakland,64,186,84,303,2025-12-13,home,W,75,63,67.2440493883227,59.2740293101266,101.351351351351,85.1351351351351,96.353400816915,85.588381688777,74,74,69.7889735268357,69.2547611493151,#C1D9ED,#FFEDD8
Northern Iowa,Illinois-Chicago,64,101,153,71,2025-12-17,away,W,60,54,58.6065088844402,54,95.2380952380952,87.0967741935484,94.3068368380846,87.0967741935484,63,62,62.1444964643037,62,#B6D2EA,#FFF1DF
Northern Iowa,Saint Mary's,64,23,43,19,2025-12-22,away,L,58,63,58,61,90.625,98.4375,90.625,95.3125,64,64,64,64,#A3C6E4,#F7FAFC
Northern Iowa,Valparaiso,64,191,211,163,2025-12-29,home,W,58,48,54.442581365881,45.4139263577602,98.3050847457627,80,97.8744841356653,80.4565536450789,59,60,55.6248973843043,56.4452792224936,#C9DEEF,#FFE2BE
