team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Ohio State,IU Indy,22,343,285,359,2025-11-03,home,W,118,102,108.516731264072,90.4849152413372,135.632183908046,117.241379310345,135.212317127344,115.330401875118,87,87,80.2565428723997,78.4571229876714,#FFD49E,#D8E6F3
Ohio State,Fort Wayne,22,254,225,272,2025-11-07,home,W,94,68,77.3320859876812,57.8996253538719,128.767123287671,91.8918918918919,125.606505567488,93.2967370437682,73,74,61.5669432393616,62.0596466591425,#FFF3E4,#FFCB89
Ohio State,Appalachian State,22,173,231,121,2025-11-11,home,W,75,53,55.6882599310137,32.8841816462755,125,86.8852459016393,121.746849317647,71.2403096941919,60,61,45.7410275856247,46.1595152904796,#FDFDFE,#FF9C1F
Ohio State,Notre Dame,22,90,83,124,2025-11-16,home,W,64,63,64,63,96.969696969697,94.0298507462687,96.969696969697,94.0298507462687,66,67,66,67,#71A7D6,#FFCD8F
Ohio State,Western Michigan,22,283,220,317,2025-11-20,home,W,91,58,59.2541000553709,28.2608329224905,126.388888888889,79.4520547945205,140.331859455578,66.8197479330563,72,73,42.2242677359574,42.2941327926046,#FFC379,#FF9C1F
Ohio State,Mount St. Mary's,22,252,320,146,2025-11-25,home,W,113,60,61.419034639341,29.2136491511139,152.702702702703,81.0810810810811,149.692537023067,73.1053347463006,74,74,41.0301247214994,39.961036020825,#FFA534,#FF9C1F
Ohio State,Pittsburgh,22,104,89,123,2025-11-28,away,L,66,67,66,67,100,101.515151515152,100,101.515151515152,66,66,66,66,#82B2DB,#FFE6C8
Ohio State,Northwestern,22,59,63,79,2025-12-06,away,W,86,82,86,81.1498567998498,122.857142857143,115.492957746479,122.857142857143,115.14605767085,70,71,70,70.4755841765943,#FFFCF8,#D9E7F4
Ohio State,Illinois,22,8,2,23,2025-12-09,home,L,80,88,76.0501131740021,82.3543491442937,114.285714285714,127.536231884058,116.333819938174,126.248118088045,70,69,65.3723166783476,65.2321400045427,#DEEBF5,#97BFE1
Ohio State,West Virginia,22,55,129,20,2025-12-13,neutral,W,89,88,89,88,108.536585365854,107.317073170732,108.536585365854,107.317073170732,82,82,82,82,#B2CFE8,#FFFAF4
Ohio State,North Carolina,22,48,34,34,2025-12-20,neutral,L,70,71,70,71,111.111111111111,110.9375,111.111111111111,110.9375,63,64,63,64,#C1D8ED,#F1F6FB
Ohio State,Grambling,22,291,344,158,2025-12-23,home,W,89,63,68.0447713699292,44.7963871175821,132.835820895522,94.0298507462687,130.448007294876,86.4507377504928,67,67,52.162369346214,51.8172409897413,#FFE3C1,#FFB455
Ohio State,Rutgers,22,113,137,114,2026-01-02,away,W,80,73,76.5787197402315,69.0266056151309,125,112.307692307692,125.028951645165,111.165489958305,64,65,61.2487897663605,62.0935558697403,#FFF5E9,#F0F6FA
Ohio State,Nebraska,22,18,55,9,2026-01-05,home,L,69,72,67.7959403722892,72,101.470588235294,105.882352941176,100.590477999627,105.882352941176,68,68,67.3979701861446,68,#86B4DC,#FFF5E9
Ohio State,Oregon,22,100,109,76,2026-01-08,away,W,72,62,64.1080641251613,45.2507190968145,116.129032258065,98.4126984126984,124.031431934527,87.9628934628347,62,63,51.6869499329832,51.4429634081255,#FFF8F0,#FFB960
Ohio State,Washington,22,51,54,54,2026-01-11,away,L,74,81,67.9454896962285,76.4592935304375,113.846153846154,124.615384615385,111.874001082894,123.884782472945,65,65,60.7339408964943,61.7180673882489,#C5DBEE,#A5C7E5
Ohio State,UCLA,22,24,22,41,2026-01-17,home,W,86,74,80.6415753538752,63.4878241417947,130.30303030303,112.121212121212,130.01025690753,106.609885621668,66,66,62.0270871483869,59.5515357432211,#FFE5C4,#FFF7EE
Ohio State,Minnesota,22,84,88,86,2026-01-20,home,W,82,74,79.425920683307,74,120.588235294118,107.246376811594,119.70066993273,110.234675385242,68,69,66.3537812511354,67.1295123257621,#F1F6FB,#F6F9FC
Ohio State,Michigan,22,2,3,2,2026-01-23,away,L,62,74,56.8204663515982,70.5369960314509,93.9393939393939,113.846153846154,92.4244324693286,115.676332656504,66,65,61.47775521419,60.9778979083887,#5797CE,#D6E5F3
Ohio State,Penn State,22,146,92,240,2026-01-26,home,W,84,78,81.3346763093467,73.216769380829,125.373134328358,114.705882352941,126.291679842559,113.416146016877,67,68,64.4022444002186,64.5558608294923,#FFF1DF,#E3EDF7
Ohio State,Wisconsin,22,19,8,48,2026-01-31,away,L,82,92,73.1089419891235,87.4407740190443,117.142857142857,131.428571428571,113.398404468538,133.848602806624,70,70,64.4708735821831,65.3281186247218,#CEE0F0,#6BA3D4
Ohio State,Maryland,22,103,117,117,2026-02-05,away,W,82,62,71.2013725932739,48.9940409297769,132.258064516129,98.4126984126984,140.565748254789,97.6225953776715,62,63,50.6534297844839,50.1871935900026,#FFC377,#FFD9AA
Ohio State,Michigan,22,2,3,2,2026-02-08,home,L,61,82,52.2405587886306,69.9754308860904,91.044776119403,124.242424242424,90.5582885745257,121.480426377615,67,66,57.6872195918751,57.6022269370174,#5294CD,#B3D0E9
Ohio State,USC,22,108,91,64,2026-02-11,home,W,89,82,87.2205875692146,82,123.611111111111,113.888888888889,122.753298642441,116.615631866182,72,72,71.0535590764636,70.3164736045818,#FFFCF9,#D0E2F1
Ohio State,Virginia,22,13,26,15,2026-02-14,neutral,L,66,70,64.4278870984016,70,100,106.060606060606,98.7946497205676,106.060606060606,66,66,65.2139435492008,66,#7BADD9,#FFF6EA
Ohio State,Wisconsin,22,19,8,48,2026-02-17,home,W,86,69,75.0542789017932,57.2007772075711,124.63768115942,100,128.366542387296,98.7954521553876,69,69,58.468723629983,57.8981885903053,#FFEAD0,#FFDDB3
Ohio State,Michigan State,22,12,25,14,2026-02-22,away,L,60,66,53.7988199209513,64.6254409764441,96.7741935483871,106.451612903226,91.5994695600967,110.275863381898,62,62,58.7326762691076,58.6034323328205,#5394CD,#F5F9FC
Ohio State,Iowa,22,26,29,33,2026-02-25,away,L,57,74,44.2678792700159,64.4362264587365,96.6101694915254,125.423728813559,95.0471698343047,135.39577134096,59,59,46.574642198382,47.5910184051983,#66A0D3,#629DD1
Ohio State,Purdue,22,6,1,32,2026-03-01,home,W,82,74,72.8090282432184,63.1936401779119,130.15873015873,115.625,127.008571055663,108.712445515593,63,64,57.3260746405132,58.1291680802522,#FFEEDA,#FFFFFF
Ohio State,Penn State,22,146,92,240,2026-03-04,away,W,94,62,60.842782263289,32.2613114404498,144.615384615385,95.3846153846154,143.306515417524,77.1760999671872,65,65,42.4563964073951,41.8022048978457,#FFBA63,#FF9C1F
Ohio State,Indiana,22,45,35,70,2026-03-07,home,W,91,78,85.5318509335231,67.0325462919271,137.878787878788,118.181818181818,146.791939564083,115.672339032556,66,66,58.2674029565387,57.950368128253,#FFAF4A,#D6E5F3
Ohio State,Iowa,22,26,29,33,2026-03-12,neutral,W,72,69,72,69,122.033898305085,116.949152542373,122.033898305085,116.949152542373,59,59,59,59,#FFFFFF,#CEE1F0
Ohio State,Michigan,22,2,3,2,2026-03-13,neutral,L,67,71,67,71,97.1014492753623,104.411764705882,97.1014492753623,104.411764705882,69,68,69,68,#72A8D6,#FFF0DE
