team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Prairie View,Wichita State,295,76,125,44,2025-11-08,away,L,62,105,46.1938275384312,76.1732540835173,78.4810126582278,134.615384615385,85.5322471025715,136.692351415944,79,78,54.0074990465701,55.7260543801227,#5294CD,#72A8D6
Prairie View,Oklahoma State,295,85,51,147,2025-11-12,away,L,67,94,37.1429388476551,64.5459658386529,84.8101265822785,120.512820512821,73.6632019041882,127.813483474174,79,78,50.4226505059689,50.500122588158,#5294CD,#9EC3E3
Prairie View,Missouri,295,49,41,77,2025-11-17,away,L,73,91,39.4225582034881,65.4210481255717,93.5897435897436,118.181818181818,77.9537607483123,129.815831241563,78,77,50.571720754783,50.3952772939034,#5294CD,#94BDE0
Prairie View,Tennessee-Martin,295,225,331,91,2025-11-22,neutral,L,68,69,68,69,95.7746478873239,97.1830985915493,95.7746478873239,97.1830985915493,71,71,71,71,#A9CAE6,#FFDEB5
Prairie View,North Florida,295,338,216,364,2025-11-23,neutral,W,85,82,85,82,114.864864864865,110.810810810811,114.864864864865,110.810810810811,74,74,74,74,#FFC379,#F3F8FB
Prairie View,North Texas,295,131,274,42,2025-11-30,away,L,69,72,69,72,100,104.347826086957,100,104.347826086957,69,69,69,69,#D3E4F2,#FFF2E3
Prairie View,South Dakota,295,284,233,311,2025-12-13,away,L,85,97,85,93.3475555925352,106.25,122.784810126582,109.760467564933,121.037431816716,80,79,77.4413610708381,77.1228818981295,#FFE0BA,#C0D8EC
Prairie View,LSU,295,79,48,132,2025-12-22,away,L,90,104,84.2605970669128,98.4308758281175,118.421052631579,138.666666666667,119.5066175232,140.344356399519,76,75,70.5070554361187,70.1352575574283,#FFA93D,#609CD1
Prairie View,Texas A&M,295,41,44,47,2025-12-29,away,L,82,111,44.8935665727262,75.9563370710923,94.2528735632184,129.06976744186,83.1516474404066,139.99703780807,87,86,53.9899905229186,54.2556744487872,#5294CD,#619DD1
Prairie View,Grambling,295,291,344,158,2026-01-03,away,L,72,76,68.4025200707373,74.3674907652055,96,101.333333333333,94.3735784225368,101.417484467218,75,75,72.4805832459591,73.3280766683222,#9BC1E2,#FFEAD0
Prairie View,Southern,295,265,238,279,2026-01-05,away,W,89,85,89,85,114.102564102564,108.974358974359,114.102564102564,108.974358974359,78,78,78,78,#FFC882,#FCFDFE
Prairie View,Mississippi Valley State,295,365,364,355,2026-01-10,home,W,70,69,70,67.4685086453676,95.8904109589041,94.5205479452055,96.5657056776222,93.0734878336668,73,73,72.4895028817892,72.4895028817892,#B1CFE8,#FFD29A
Prairie View,Arkansas-Pine Bluff,295,323,293,334,2026-01-12,home,W,73,61,65.5665510674604,49.0594301309316,104.285714285714,87.1428571428571,107.926291144986,81.88535899379,70,70,60.7512315783921,59.9123344316683,#FFEBD2,#FFB252
Prairie View,Jackson State,295,333,306,339,2026-01-17,away,L,78,82,78,82,104,110.810810810811,104,110.810810810811,75,74,75,74,#FAFCFD,#F3F8FB
Prairie View,Alcorn State,295,351,347,327,2026-01-19,away,L,75,76,75,76,107.142857142857,108.571428571429,107.142857142857,108.571428571429,70,70,70,70,#FFEFDC,#FFFFFF
Prairie View,Alabama State,295,319,336,271,2026-01-24,home,L,80,95,58.2190441861604,80.6794673532329,97.5609756097561,115.853658536585,92.5617614787922,126.254744286144,82,82,62.897511084531,63.9021272502684,#89B6DD,#A6C8E5
Prairie View,Alabama A&M,295,304,282,301,2026-01-27,home,L,60,80,41.0315990826025,65.4911138876025,85.7142857142857,115.942028985507,79.2055336225129,126.638527410496,70,69,51.8039551102019,51.7149995556364,#5294CD,#A4C7E4
Prairie View,Texas Southern,295,293,297,266,2026-01-31,home,W,85,78,81.488885167406,69.0549653519191,114.864864864865,106.849315068493,114.340853563294,100.092717343138,74,73,71.2683897556328,68.9909987308915,#FFC67F,#FFE6C8
Prairie View,Bethune-Cookman,295,236,260,210,2026-02-07,away,L,76,82,69.4670214904351,79.3004520479874,100,109.333333333333,96.0332161832444,109.43945144625,76,75,72.3364521686773,72.4605715763617,#ACCBE7,#FAFCFD
Prairie View,Florida A&M,295,312,346,206,2026-02-09,away,L,96,100,80.725407680205,93.8201770182293,107.865168539326,112.359550561798,99.3689118119525,112.852712802646,89,89,81.238091680999,83.1350657757779,#CDE0F0,#E9F1F8
Prairie View,Southern,295,265,238,279,2026-02-14,home,L,82,87,79.0019758408956,86.2897662191768,107.894736842105,116,106.196099095189,117.439895373517,76,75,74.3925403230508,73.4756838336178,#FFF4E8,#D2E3F2
Prairie View,Grambling,295,291,344,158,2026-02-16,home,W,68,63,68,61.6182308943781,95.7746478873239,90,96.9116142733978,89.9032926436549,71,70,70.167028492751,68.5383472423097,#B4D1E9,#FFC986
Prairie View,Mississippi Valley State,295,365,364,355,2026-02-19,away,W,72,62,68.0345482485957,58.008764571382,105.882352941176,89.8550724637681,105.89296028106,89.9036229197363,68,69,64.2484146897197,64.5232780253703,#FFF6EC,#FFC986
Prairie View,Arkansas-Pine Bluff,295,323,293,334,2026-02-21,away,L,82,84,82,84,118.840579710145,120,118.840579710145,120,69,70,69,70,#FFAD46,#C5DBEE
Prairie View,Jackson State,295,333,306,339,2026-02-26,home,W,85,76,83.0109118640773,75.0006484980778,113.333333333333,100,113.665078738373,102.618248890641,75,76,73.0311479879816,73.0870476829178,#FFCA88,#FFEDD8
Prairie View,Alcorn State,295,351,347,327,2026-02-28,home,W,72,51,57.9125154441566,34.6632630406281,102.857142857143,71.830985915493,105.310126768204,62.6808609691565,70,71,54.9923518482004,55.3011916311822,#FFF9F3,#FF9C1F
Prairie View,Texas Southern,295,293,297,266,2026-03-05,away,W,70,59,65.4022435787619,53.0796830743954,102.941176470588,86.7647058823529,105.783941195765,85.6247831638661,68,68,61.8262496551602,61.991027729452,#FFF7ED,#FFBD6A
Prairie View,Alcorn State,295,351,347,327,2026-03-10,neutral,W,65,56,58.3774750386447,48.0247369601271,100,86.1538461538462,96.9796766879301,80.1505639459029,65,65,60.1955760550708,59.9181522821737,#B5D1E9,#FFAD46
Prairie View,Bethune-Cookman,295,236,260,210,2026-03-11,neutral,W,71,67,71,67,104.411764705882,98.5294117647059,104.411764705882,98.5294117647059,68,68,68,68,#FFFFFF,#FFE2BD
Prairie View,Alabama A&M,295,304,282,301,2026-03-13,neutral,W,74,55,56.6751175609341,33.6050694557501,119.354838709677,88.7096774193548,113.466188056423,69.0273004832763,62,62,49.9489041905166,48.6837370438553,#FFCB8B,#FF9C1F
Prairie View,Southern,295,265,238,279,2026-03-14,neutral,W,72,66,72,64.70839846356,110.769230769231,100,110.769230769231,100.455286307909,65,66,65,64.4151252182188,#FFDBAD,#FFE7CA
