team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Purdue,Evansville,6,318,317,293,2025-11-04,home,W,82,51,53.8002856451372,23.8832043169655,134.426229508197,82.258064516129,134.374148513135,59.6681292236423,61,62,40.0376755800454,40.0267355918749,#FFEEDA,#FFB456
Purdue,Oakland,6,186,84,303,2025-11-07,home,W,87,77,83.2304796906307,69.6370705901482,127.941176470588,111.594202898551,131.344750609346,109.518589804191,68,69,63.3679528907708,63.5847034870085,#FFF6EB,#E4EEF7
Purdue,Alabama,6,17,5,53,2025-11-13,away,W,87,80,85.380360051371,80,122.535211267606,112.676056338028,122.895752323497,115.314723658083,71,71,69.4738088478645,69.3753559495195,#E7F0F8,#D1E3F1
Purdue,Akron,6,62,57,102,2025-11-16,home,W,97,79,78.9996527771301,53.9494039632853,138.571428571429,111.267605633803,153.412204715095,106.457694256924,70,71,51.4950247432023,50.6768480567356,#FFBD6B,#EDF4FA
Purdue,Memphis,6,127,169,100,2025-11-20,neutral,W,80,71,75.5065244837096,66.2991513799321,123.076923076923,109.230769230769,127.65273256803,113.323714787492,65,65,59.1499476468081,58.5042164424792,#FDFDFE,#D8E7F3
Purdue,Texas Tech,6,30,11,25,2025-11-21,neutral,W,86,56,58.3551543307525,28.713453835262,130.30303030303,84.8484848484848,142.253103492883,72.0134318316167,66,66,41.0220606073961,39.872358676643,#FFDAAC,#FFCA88
Purdue,Eastern Illinois,6,324,350,247,2025-11-28,home,W,109,62,63.5382767564382,30.5078032735655,155.714285714286,87.3239436619718,163.301207975289,79.8189639171365,70,71,38.9086385484992,38.2212469022236,#FFA432,#FFD8A8
Purdue,Rutgers,6,113,137,114,2025-12-02,away,W,81,65,68.0726896713149,43.2910088711317,122.727272727273,98.4848484848485,128.365204056158,84.9037154522279,66,66,53.030484524088,50.9883562109716,#FFFEFD,#FFE1BD
Purdue,Iowa State,6,7,20,5,2025-12-06,home,L,58,81,45.8071485554254,68.8870929423123,90.625,124.615384615385,86.9060350856572,129.903068712825,64,65,52.7088233979108,53.0296117134845,#5294CD,#A3C6E4
Purdue,Minnesota,6,84,88,86,2025-12-10,home,W,85,57,60.4344244193526,34.3860715066755,132.8125,87.6923076923077,136.216124158916,77.4719171426157,64,65,44.3665717201343,44.3852079242794,#FFE9CF,#FFD49E
Purdue,Marquette,6,74,126,37,2025-12-13,home,W,79,59,59.6507029011335,33.3072483728344,121.538461538462,90.7692307692308,125.8926507545,70.6278809049483,65,65,47.3821962947279,47.1587819796826,#F5F9FC,#FFC882
Purdue,Auburn,6,35,17,101,2025-12-20,neutral,W,88,60,73.8224959426168,50.0848251542764,137.5,92.3076923076923,145.739671937977,100.391846929837,64,65,50.6536723741452,49.8893353254873,#FFD198,#FFFDFC
Purdue,Kent State,6,151,133,186,2025-12-29,home,W,101,60,63.2584914050196,33.651265152168,136.486486486486,81.0810810810811,139.601795871858,75.4203876430265,74,74,45.3135226591821,44.6182606637391,#FFE1BB,#FFD096
Purdue,Wisconsin,6,19,8,48,2026-01-03,away,W,89,73,80.0558022133911,56.1158997152859,125.352112676056,102.816901408451,138.796208461187,101.026427385152,71,71,57.678666514711,55.5457627946697,#FFE3C0,#FFFFFF
Purdue,Washington,6,51,54,54,2026-01-07,home,W,81,73,75.4885751213891,60.0056884270397,115.714285714286,104.285714285714,122.41144548997,99.2098836633656,70,70,61.6679059864336,60.4835790662231,#E5EFF7,#FFFBF7
