team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Queens,Winthrop,193,133,128,167,2025-11-03,neutral,L,74,81,74,79.3424348889689,101.369863013699,112.5,103.523993040835,111.610604669318,73,72,71.481014039722,71.0886166453862,#ADCCE7,#FFFFFF
Queens,Villanova,193,46,47,36,2025-11-08,away,L,74,94,66.4443415419037,85.8201528218509,107.246376811594,138.235294117647,106.793658720231,136.241819064666,69,68,62.2174971230913,62.9910503331707,#BDD6EB,#B8D3EA
Queens,Duquesne,193,126,134,140,2025-11-11,away,L,81,87,78.68292514109,86.2453992636348,94.1860465116279,101.162790697674,93.0168541411725,101.363704624607,86,86,84.5899658374516,85.0850899570392,#7DAED9,#FFEED9
Queens,Sacred Heart,193,263,177,329,2025-11-15,home,W,81,64,72.8054902527524,51.9355299280109,117.391304347826,92.7536231884058,120.298884996078,87.5632876513316,69,69,60.520502958216,59.3119917274155,#FBFDFE,#FFD7A5
Queens,UNC Greensboro,193,278,186,337,2025-11-20,home,W,101,94,92.4841187054767,79.0265762400831,153.030303030303,140.298507462687,155.136175091711,132.606202912854,66,67,59.6147988377331,59.5949318389106,#FFA431,#C2D9ED
Queens,Furman,193,152,160,159,2025-11-23,away,L,79,90,69.7082406380694,86.134612921194,123.4375,142.857142857143,120.981814495809,148.290788362322,64,63,57.6187759528803,58.0849382975424,#FFFFFF,#96BEE0
Queens,Virginia,193,13,26,15,2025-11-28,away,L,69,94,41.5158130451192,68.8208990358259,106.153846153846,146.875,92.4088871666741,153.447760739813,65,64,44.9262125300122,44.8497252120343,#7AACD8,#87B4DC
Queens,Gardner-Webb,193,362,355,360,2025-12-03,home,W,107,74,83.8938937788207,61.6035999439103,148.611111111111,102.777777777778,140.635034354675,104.240642238559,72,72,59.6536234116771,59.0974869503659,#FFCA88,#FFF2E3
Queens,South Carolina State,193,348,348,312,2025-12-12,home,W,102,78,75.3927830609903,46.6455974883331,137.837837837838,105.405405405405,139.885224364568,90.3576651755652,74,74,53.896173383189,51.6232877395631,#FFCC8D,#FFDCB0
Queens,Wake Forest,193,70,62,110,2025-12-14,away,L,73,111,41.7353410072003,73.2721903882937,102.816901408451,158.571428571429,97.7282570307077,168.65707539581,71,70,42.7055002056226,43.444480592549,#93BCDF,#5B9ACF
Queens,Arkansas,193,15,6,45,2025-12-16,away,L,80,108,41.26654904214,71.015455684975,101.26582278481,135,85.6782955622622,144.137567375684,79,80,48.1645307849894,49.2692203552169,#5B99CF,#A1C5E4
Queens,Auburn,193,35,17,101,2025-12-29,away,L,65,106,20.0389575330289,55.8071413009232,87.8378378378378,145.205479452055,59.0222762091427,163.541697824175,74,73,33.9515159700412,34.1241053770408,#5294CD,#6AA3D4
Queens,Eastern Kentucky,193,286,164,351,2026-01-01,home,W,91,89,90.3510771545933,82.9396467908892,131.884057971014,128.985507246377,132.186764153316,124.180267709303,69,69,68.3510771545933,66.7897149207673,#FFE1BB,#DBE8F4
Queens,Bellarmine,193,280,74,365,2026-01-03,home,W,98,76,83.8708706387789,64.0494214509018,134.246575342466,105.555555555556,136.662330754244,105.939695221568,73,72,61.3708767996952,60.4583780583332,#FFD5A0,#FFF5E9
Queens,Jacksonville,193,290,278,287,2026-01-08,away,W,77,51,57.2324727712151,30.9402898581135,120.3125,79.6875,119.72025454142,66.2825274533887,64,64,47.8051713057579,46.6794056395502,#F9FBFD,#FFB456
Queens,North Florida,193,338,216,364,2026-01-10,away,W,89,82,84.0015489532704,76.1024813604107,123.611111111111,112.328767123288,120.992652807729,108.65230099153,72,73,69.4269833778738,70.0422178508148,#FFFEFE,#FFFAF4
Queens,Florida Gulf Coast,193,238,236,235,2026-01-15,away,W,85,74,83.0130975522965,73.3389944530401,121.428571428571,104.225352112676,120.302479897881,106.207712769247,70,71,69.0036461615439,69.0524186434378,#FBFDFE,#FFF6EA
Queens,Stetson,193,314,239,344,2026-01-17,away,W,87,81,84.4115843750378,79.0418954042338,126.086956521739,119.117647058824,125.577024713824,118.991094997486,69,68,67.21897143797,66.4267316860174,#FFF2E3,#E9F1F8
