team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
SMU,Tarleton State,37,248,296,172,2025-11-03,home,W,96,76,89.1998615331532,72.7338565488899,129.72972972973,102.702702702703,132.928535007745,110.708172698678,74,74,67.1036219032699,65.6987237490177,#FFCD8E,#FFFAF5
SMU,Texas A&M-Corpus Christi,37,184,267,99,2025-11-06,home,W,69,58,63.7465910422495,55.0415577849553,100,82.8571428571429,94.7920716472971,81.7050539505197,69,70,67.2488636807498,67.3661605049405,#86B4DC,#FFA028
SMU,Murray State,37,125,77,227,2025-11-11,home,W,102,91,93.6345303880402,84.031325190381,122.89156626506,110.975609756098,121.214788443064,109.95075243425,83,82,77.246787781197,76.4263302705743,#FFF1E0,#FFF8EF
SMU,Butler,37,94,73,135,2025-11-15,home,W,87,85,87,84.3335028922534,116,114.864864864865,116,113.96419309764,75,74,75,74,#FAFBFD,#F4F8FC
SMU,Arkansas-Pine Bluff,37,323,293,334,2025-11-18,home,W,106,60,63.9858364495341,35.134735007045,139.473684210526,77.9220779220779,133.915404626379,72.7967097122733,76,77,47.7807886464243,48.2641799964778,#FFCA87,#FF9C1F
SMU,Arkansas State,37,141,157,148,2025-11-21,home,W,100,69,80.5064543459517,55.6671452599842,123.456790123457,86.25,119.986971124365,86.3692901058379,81,80,67.0959968332794,64.452475170016,#FFF5E9,#FFAE49
SMU,Radford,37,224,197,253,2025-11-24,home,W,89,72,78.2549473354553,59.2720363366094,114.102564102564,91.1392405063291,115.625188195331,88.5737809113059,78,79,67.6798442941822,66.918263764716,#F8FAFC,#FFB558
SMU,Mississippi State,37,89,87,118,2025-11-28,away,W,87,81,86.161118866908,78.9002441904165,106.09756097561,100,106.160585351465,98.2567424814034,82,81,81.161118866908,80.3000813968055,#C4DAEE,#FFD39D
SMU,Vanderbilt,37,14,7,31,2025-12-03,away,L,69,88,62.858604519761,79.6510593082789,100,127.536231884058,104.09062373417,130.351930854275,69,69,60.3883445643397,61.1046255980081,#B9D3EA,#9BC1E2
SMU,Texas A&M,37,41,44,47,2025-12-07,neutral,W,93,80,88.3300110320904,80,109.411764705882,94.1176470588235,108.804006362725,99.7479955168574,85,85,81.1826824994116,80.2021129201338,#D2E3F2,#FFD8A7
SMU,LSU,37,79,48,132,2025-12-13,neutral,L,77,89,74.3081005205056,85.2751408663315,118.461538461538,139.0625,120.813236670812,139.480568006993,65,64,61.5065886554948,61.13764955564,#FFF2E3,#69A2D3
SMU,Central Arkansas,37,176,188,170,2025-12-21,home,W,99,82,92.211129347871,74.5798497259128,139.43661971831,115.492957746479,142.219129787289,116.51248777052,71,71,64.8373601257349,64.0101770660012,#FFB04C,#E6F0F8
SMU,Cal State Fullerton,37,209,221,200,2025-12-28,home,W,110,63,56.8750718759385,19.8061002072935,144.736842105263,81.8181818181818,145.77912295214,52.254115058777,76,77,39.014552100585,37.9034267158003,#FFA533,#FF9C1F
SMU,North Carolina,37,48,34,34,2026-01-03,home,W,97,83,88.6898976831521,73.6965899887968,138.571428571429,118.571428571429,137.795043375798,115.96775016698,70,70,64.3636342138047,63.5492107785848,#FFBD6B,#E9F1F8
