team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Saint Louis,Southeast Missouri State,31,212,276,150,2025-11-03,home,W,92,67,76.9995368173576,54.2011197626305,115,82.7160493827161,110.481370666547,79.3335837751726,80,81,69.6945886467647,68.3205235203212,#E2EDF6,#FFDAAC
Saint Louis,Chicago State,31,350,338,347,2025-11-06,home,W,108,86,82.6949148384878,58.1373045211253,127.058823529412,100,138.309214670954,96.925987540344,85,86,59.7898809817002,59.9811319920021,#FFD8A8,#F9FBFD
Saint Louis,Lindenwood,31,255,324,149,2025-11-10,home,W,109,66,63.2716639890504,33.9681660209206,137.974683544304,82.5,126.418310996895,68.0266227537424,79,80,50.0494457567976,49.9336357529992,#FFF0DD,#FFC172
Saint Louis,Grand Canyon,31,56,104,29,2025-11-15,home,W,78,64,66.6493770288013,46.1594106361514,101.298701298701,84.2105263157895,111.312598489786,78.0663062539818,77,76,59.8758612529536,59.1284676464336,#E5EFF7,#FFD7A6
Saint Louis,Fort Wayne,31,254,225,272,2025-11-21,home,W,91,60,62.4080008599351,32.546650526926,130,84.5070422535211,142.124868150555,74.311892654873,70,71,43.9106833814793,43.7973645457834,#FFD197,#FFCF92
Saint Louis,Santa Clara,31,36,23,81,2025-11-27,neutral,W,71,70,71,70,98.6111111111111,97.2222222222222,98.6111111111111,97.2222222222222,72,72,72,72,#BAD4EB,#F7FAFC
Saint Louis,Stanford,31,73,69,87,2025-11-28,neutral,L,77,78,77,78,105.479452054795,106.849315068493,105.479452054795,106.849315068493,73,73,73,73,#D1E3F1,#D1E3F1
Saint Louis,Loyola Marymount,31,170,215,134,2025-12-02,away,W,91,70,78.7903664002717,58.5177213237952,118.181818181818,90.9090909090909,114.096158195982,87.8364220389418,77,77,69.0561081512793,66.6212488685521,#EFF5FA,#FFEDD8
Saint Louis,Central Michigan,31,264,228,289,2025-12-07,home,W,107,65,73.6655506052754,41.8945499455837,155.072463768116,92.8571428571429,153.429062771887,89.1283753672617,69,70,48.0127749426447,47.0047274764668,#FFBB65,#FFF0DE
Saint Louis,San Francisco,31,117,102,164,2025-12-13,home,W,85,75,80.2739460741742,71.2488249364564,119.718309859155,105.633802816901,117.812084766657,106.85304717567,71,71,68.1372766072069,66.6792635490507,#FBFDFE,#D1E3F1
Saint Louis,Bethune-Cookman,31,236,260,210,2025-12-17,home,W,112,53,54.4197070127485,18.0852688251357,145.454545454545,68.8311688311688,149.672768578395,51.3751583947845,77,77,36.3591236599894,35.2023611998667,#FFC276,#FF9C1F
Saint Louis,New Hampshire,31,349,353,302,2025-12-21,home,W,93,79,86.4552070774918,77.7261737843729,120.779220779221,102.597402597403,117.832775189255,107.144734935191,77,77,73.3711031914787,72.5431574695547,#FBFDFE,#D0E2F1
Saint Louis,Saint Joseph's,31,107,191,58,2025-12-31,home,W,102,79,79.9221988544205,52.8605918268901,154.545454545455,119.69696969697,166.147387090523,113.901473024939,66,66,48.103193347769,46.4090502282758,#FFA22D,#B6D1E9
Saint Louis,VCU,31,42,45,51,2026-01-07,away,W,71,62,68.1416009569052,62,92.2077922077922,80.5194805194805,91.522209917105,83.6080122023323,77,77,74.453622807648,74.1555723750008,#A2C5E4,#FFE4C2
Saint Louis,La Salle,31,269,250,225,2026-01-10,away,W,84,72,71.2781789927632,49.9704216135503,121.739130434783,102.857142857143,126.960168983984,89.8288014079428,69,70,56.1421582557556,55.6285075948168,#FFEEDA,#FFF2E2
