team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Saint Mary's,St. Thomas (MN),23,106,81,165,2025-11-03,home,W,84,58,65.9412938804079,44.8691977901358,127.272727272727,86.5671641791045,127.847999496006,86.7489155952699,66,67,51.5778847853367,51.7230647579212,#FFE8CC,#FFE3C0
Saint Mary's,Chattanooga,23,259,187,314,2025-11-07,home,W,87,66,74.9419353273572,56.4281232034205,129.850746268657,97.0588235294118,127.372325985258,96.5330533166268,67,68,58.8369056996188,58.4547170784468,#FFE9CF,#FFFCF8
Saint Mary's,Ohio,23,215,152,283,2025-11-11,home,W,90,60,70.0115434716023,44.4650033282007,134.328358208955,89.5522388059701,143.299772302562,94.0456650460629,67,67,48.8567025241189,47.280226373456,#FFC071,#FFF5EA
Saint Mary's,North Texas,23,131,274,42,2025-11-14,home,W,80,49,53.8467130783748,20.7612666633855,119.402985074627,72.0588235294118,138.865237915777,53.3624621729733,67,68,38.776236505664,38.9061258007328,#FFCB8B,#FF9C1F
Saint Mary's,Arkansas State,23,141,157,148,2025-11-19,home,W,85,72,77.3311242032103,60.8420246143327,121.428571428571,102.857142857143,126.01677095874,98.6971354827963,70,70,61.3657401430559,61.6451777619604,#FFEDD7,#FAFCFD
Saint Mary's,Wichita State,23,76,125,44,2025-11-26,neutral,W,70,65,70,65,101.449275362319,92.8571428571429,101.449275362319,93.9585733709087,69,70,69,69.1794241526077,#ADCCE7,#FFF5E9
Saint Mary's,Virginia Tech,23,53,58,74,2025-11-27,neutral,W,77,66,71.2763551383399,60.2001445599784,114.925373134328,98.5074626865672,113.733915713952,98.602552952652,67,67,62.6693934618453,61.0533325530485,#E5EFF7,#FAFCFD
Saint Mary's,Vanderbilt,23,14,7,31,2025-11-28,neutral,L,71,96,66.5287309642665,85.2424491161443,97.2602739726027,133.333333333333,104.452458511253,133.773895104597,73,72,63.6928339576603,63.7212881104297,#BBD4EB,#5D9BD0
Saint Mary's,Davidson,23,116,161,95,2025-12-07,away,W,70,61,66.4410417194278,59.3163288850384,111.111111111111,95.3125,109.963292821305,98.3506270172286,63,64,60.4211096401026,60.3110836036131,#D4E4F2,#FBFCFE
Saint Mary's,Boise State,23,57,52,98,2025-12-14,neutral,L,67,68,65.7261737843729,68,97.1014492753623,100,96.1427822708296,100,69,68,68.3630868921864,68,#95BDE0,#F4F8FB
Saint Mary's,Florida Atlantic,23,124,165,109,2025-12-19,home,W,88,75,75.9956900543353,54.5881035810986,117.333333333333,100,119.322383760369,88.057809650048,75,75,63.6893830473208,61.9912121344354,#FFFFFF,#FFE6C7
Saint Mary's,Northern Iowa,23,64,132,26,2025-12-22,home,W,63,58,61,58,98.4375,90.625,95.3125,90.625,64,64,64,64,#91BBDF,#FFEDD6
Saint Mary's,Loyola Marymount,23,170,215,134,2025-12-28,away,W,78,73,77.4620124201365,73,130,123.728813559322,130.271427533967,123.728813559322,60,59,59.4620124201365,59,#FFE2BE,#8AB7DD
Saint Mary's,Pepperdine,23,300,279,297,2025-12-30,away,W,72,45,58.090324241797,37.8292789843098,116.129032258065,71.4285714285714,114.686968424341,75.4333525880561,62,63,50.6511986844603,50.1492744076969,#E9F1F8,#FFC67F
Saint Mary's,Portland,23,306,273,248,2026-01-02,home,W,78,57,64.738697312027,40.6856696053108,118.181818181818,86.3636363636364,135.765987119005,87.1312782877129,66,66,47.6840324191661,46.6946777378431,#FFD49D,#FFE4C2
Saint Mary's,Seattle,23,122,290,28,2026-01-04,home,W,93,76,84.7547601740627,74.138432777164,143.076923076923,116.923076923077,138.091422789614,122.444962454598,65,65,61.3758323738825,60.5483731555343,#FFCD8F,#90BADF
Saint Mary's,Washington State,23,159,113,238,2026-01-10,home,W,88,82,82.160631320783,69.9201963890633,125.714285714286,117.142857142857,126.697957662253,106.881100602749,70,70,64.8476367233983,65.4186717714853,#FFEBD3,#D5E5F3
Saint Mary's,San Francisco,23,117,102,164,2026-01-13,away,W,82,68,74.5088918602807,65.0119990208701,122.388059701493,100,116.338063953202,100.00221362637,67,68,64.0451536912736,65.0105599299725,#F1F6FB,#F4F8FB
Saint Mary's,Santa Clara,23,36,23,81,2026-01-17,away,L,54,62,50.0747364177596,56.589894320028,80.5970149253731,93.9393939393939,78.9508639603073,89.5472863320824,67,66,63.4251911960518,63.1955435368155,#5294CD,#FFEAD0
Saint Mary's,Oregon State,23,179,167,193,2026-01-21,home,W,81,51,57.1804915215999,31.0208305227353,126.5625,80.9523809523809,127.934999973994,71.9847736931576,64,63,44.6949556675054,43.0936001201654,#FFE8CC,#FFBD6B
Saint Mary's,Portland,23,306,273,248,2026-01-24,away,W,75,69,73,69,117.1875,106.153846153846,115.873015873016,107.8125,64,65,63,64,#EFF5FA,#D1E2F1
Saint Mary's,Gonzaga,23,10,32,10,2026-01-31,away,L,65,73,61.0219825494586,71.033946267075,97.0149253731343,108.955223880597,96.7237012699291,110.919432486221,67,67,63.0889655257951,64.0410293082769,#97BFE1,#C3DAED
Saint Mary's,San Diego,23,257,209,288,2026-02-04,home,W,87,60,62.05728098374,33.9037497707591,140.322580645161,95.2380952380952,154.097632805179,82.9505811764532,62,63,40.2714044687483,40.8722269210372,#FFA431,#FFD9AA
Saint Mary's,San Francisco,23,117,102,164,2026-02-07,home,W,79,54,61.1607408491971,36.6876253448378,123.4375,83.0769230769231,126.875739263882,76.2052513189674,64,65,48.205229151014,48.1431721696931,#FFEBD2,#FFC883
Saint Mary's,Pepperdine,23,300,279,297,2026-02-11,home,W,88,60,68.9984081041778,43.0627360495049,122.222222222222,82.1917808219178,137.785865116707,85.8563297144251,72,73,50.0765503382624,50.1567399779841,#FFCE91,#FFE1BB
Saint Mary's,Pacific,23,129,155,127,2026-02-14,away,W,72,61,67.549907249738,56.0012722916572,114.285714285714,96.8253968253968,117.388937574105,97.6197195601895,63,63,57.5436737444663,57.3667621090926,#F6F9FC,#FFFFFF
Saint Mary's,Seattle,23,122,290,28,2026-02-18,away,W,72,70,72,70,102.857142857143,101.449275362319,102.857142857143,101.449275362319,70,69,70,69,#B3D0E9,#EDF4FA
Saint Mary's,Washington State,23,159,113,238,2026-02-21,away,W,83,67,76.367326893146,59.4338971867702,133.870967741935,106.349206349206,135.372884931755,105.226141846053,62,63,56.4125725263554,56.4820643844592,#FFD5A0,#DDEAF5
Saint Mary's,Santa Clara,23,36,23,81,2026-02-25,home,W,86,67,75.8725465753669,59.0047109927317,130.30303030303,101.515151515152,127.33921093804,100.555700253142,66,66,59.5830192573478,58.6786336768493,#FFEACF,#F1F6FB
Saint Mary's,Gonzaga,23,10,32,10,2026-02-28,home,W,70,59,67.3187682226674,50.490557232381,109.375,92.1875,110.030119415185,83.8890030922232,64,64,61.18212774872,60.1873372805185,#D4E4F2,#FFDCAF
Saint Mary's,Santa Clara,23,36,23,81,2026-03-09,neutral,L,71,76,71,76,114.516129032258,122.58064516129,115.972369763996,124.295732886391,62,62,61.2214789992524,61.1444964643037,#EFF5FA,#88B5DC
