team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Siena,Bryant,166,352,349,332,2025-11-03,home,W,82,66,74.1266877675827,55.3095555065397,126.153846153846,100,129.998952172888,97.6419487444997,65,66,57.0209886530471,56.6452802486241,#FFC781,#FFF9F1
Siena,Brown,166,274,340,154,2025-11-07,away,W,62,46,47.8618904702148,25.1702420648527,91.1764705882353,67.6470588235294,90.0090617921769,48.1615731925868,68,68,53.1745243392535,52.2620844717901,#AFCDE8,#FF9C1F
Siena,Saint Bonaventure,166,130,99,198,2025-11-12,away,L,66,75,60.7924627951824,73.5890917915046,101.538461538462,115.384615384615,102.954372483615,122.591046856049,65,65,59.0479659373937,60.0281127201038,#E8F1F8,#75A9D7
Siena,Colgate,166,220,184,268,2025-11-17,home,L,69,72,69,72,106.153846153846,109.090909090909,106.153846153846,109.090909090909,65,66,65,66,#F6F9FC,#C5DBEE
Siena,Albany,166,311,270,326,2025-11-21,home,W,73,63,72.2550069069774,61.5596948595956,119.672131147541,103.27868852459,124.222945441289,105.304782144436,61,61,58.1655882094079,58.4585938131093,#FFD6A2,#DBE9F4
Siena,Holy Cross,166,326,311,319,2025-11-24,away,W,73,69,73,69,110.606060606061,104.545454545455,110.606060606061,104.545454545455,66,66,66,66,#FFF8F0,#E0ECF6
Siena,Longwood,166,231,253,207,2025-11-28,neutral,W,70,63,65.6105532730214,52.2577621260861,102.941176470588,92.6470588235294,106.622040522709,86.3805618624255,68,68,61.5356383646091,60.4971315297934,#F8FBFD,#FFD29B
Siena,American,166,243,227,258,2025-11-29,away,W,59,55,58.1995135427925,53.1025765351091,86.7647058823529,80.8823529411765,86.6070459062642,79.1969519261346,68,68,67.1995135427925,67.0512882675545,#A0C4E3,#FFBA64
Siena,Maine,166,345,362,213,2025-11-30,neutral,W,64,60,64,60,104.918032786885,100,104.918032786885,100,61,60,61,60,#F1F6FB,#FBFCFD
Siena,Niagara,166,330,323,325,2025-12-05,home,W,83,54,56.2303944556988,26.0361590705474,127.692307692308,83.0769230769231,144.421993759061,68.813187016385,65,65,38.9347861721864,37.8360023702259,#FFA32F,#FF9C1F
Siena,Canisius,166,342,351,284,2025-12-07,home,W,74,52,57.5262913382432,31.8352122569862,113.846153846154,80,127.099221546344,72.0746051429346,65,65,45.2609312931687,44.1698045987936,#FFCE92,#FFA22D
Siena,Vermont,166,214,213,216,2025-12-17,away,L,69,83,59.7545112202228,75.2216331986772,98.5714285714286,118.571428571429,95.5236377658087,117.547143161282,70,70,62.5546855394269,63.9927361700898,#C7DCEF,#93BCDF
Siena,Indiana,166,45,35,70,2025-12-22,away,L,60,81,43.1844729072308,65.1653024402748,86.9565217391304,117.391304347826,78.9954384476203,116.996146815954,69,69,54.6670462951671,55.6986740279455,#7EAFD9,#96BEE0
Siena,Iona,166,237,271,203,2026-01-02,away,L,72,75,72,75,98.6301369863014,104.166666666667,98.6301369863014,104.166666666667,73,72,73,72,#D5E5F2,#E2EDF6
Siena,Rider,166,356,343,350,2026-01-04,away,W,74,65,69.2106351860058,51.4436882605254,121.311475409836,106.55737704918,130.749562578524,98.7418251678465,61,61,52.933741284557,52.0991871206338,#FFC57D,#FFFCFA
Siena,Merrimack,166,171,224,125,2026-01-09,home,L,59,63,56.0184175174605,63,107.272727272727,116.666666666667,105.113119972748,117.896753279133,55,54,53.2934590201336,53.4365860362929,#F2F6FB,#91BBDF
Siena,Mount St. Mary's,166,252,320,146,2026-01-11,away,W,67,50,59.4673913051867,49.0012860889716,108.064516129032,79.3650793650794,102.205312232178,82.933801940207,62,63,58.1842469891346,59.0848181834232,#E5EFF7,#FFC780
Siena,Sacred Heart,166,263,177,329,2026-01-14,home,L,80,86,80,84.6065088844402,117.647058823529,126.470588235294,117.647058823529,126.006617577987,68,68,68,67.1444964643037,#FFE6C8,#619DD1
Siena,Manhattan,166,321,252,349,2026-01-17,away,W,74,59,70.7603691354735,54.9891331489682,117.460317460317,93.6507936507936,125.12769960018,97.9277814434906,63,63,56.5505234744777,56.1527406609327,#FFD39D,#FFFAF3
Siena,Fairfield,166,246,240,249,2026-01-19,home,W,85,77,80.1123579948712,65.9210356968216,132.8125,120.3125,131.156261642529,112.101913295412,64,64,61.0816113478595,58.8045589579776,#FFC47B,#B3D0E9
Siena,Marist,166,183,309,56,2026-01-22,home,W,69,50,61.5536941673553,50,115,81.9672131147541,109.489665892495,87.5168670792217,60,61,56.2187249961958,57.1318440304075,#FFFBF6,#FFD6A3
Siena,Niagara,166,330,323,325,2026-01-30,away,W,82,79,77.7291640050809,66.3186855108085,132.258064516129,125.396825396825,136.629147875722,117.936167624898,62,63,56.8906161046863,56.2326950641119,#FFB65C,#90BADF
