team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
St. John's,Quinnipiac,11,201,235,161,2025-11-03,home,W,108,74,75.0175195298872,49.043063988831,128.571428571429,87.0588235294118,123.265215879844,80.5725169370692,84,85,60.8586282792159,60.8682288368078,#FFE8CC,#FFDDB4
St. John's,Alabama,11,17,5,53,2025-11-08,home,L,96,103,88.117914739183,98.4032233896386,114.285714285714,124.096385542169,113.754804383501,126.997159120574,84,83,77.4630269171852,77.4845863254409,#FBFCFD,#6AA3D4
St. John's,William & Mary,11,167,138,214,2025-11-15,home,W,93,60,63.7603721171922,36.6997835559054,117.721518987342,75.9493670886076,122.215299641697,69.6605529887298,79,79,52.1705320889615,52.6837384736854,#FFEBD2,#FFC275
St. John's,Bucknell,11,322,326,296,2025-11-20,home,W,97,49,58.9331431678557,32.510639662571,129.333333333333,64.4736842105263,117.335041273689,64.0115781598738,75,76,50.2263795436792,50.7886863551048,#FFF7EE,#FFB354
St. John's,Iowa State,11,7,20,5,2025-11-24,neutral,L,82,83,82,83,117.142857142857,120.289855072464,117.142857142857,120.289855072464,70,69,70,69,#FFF8F0,#88B5DC
St. John's,Baylor,11,47,21,126,2025-11-25,neutral,W,96,81,79.8296439506709,59.4964973039136,137.142857142857,114.084507042254,143.066357869055,106.809655107545,70,71,55.7990327982884,55.7032950289067,#FFB557,#C4DAEE
St. John's,Auburn,11,35,17,101,2025-11-26,neutral,L,74,85,70.0386235482353,79.1606254568892,110.44776119403,126.865671641791,111.987281439576,125.359738808074,67,67,62.5415874444863,63.1467696164268,#F3F7FB,#72A7D6
St. John's,Ole Miss,11,58,78,49,2025-12-06,home,W,63,58,61.0046982559221,54.3267882098806,84,78.3783783783784,82.8521315113698,74.9709776991675,75,74,73.6308132851723,72.4637584798148,#6FA5D5,#FFCF93
St. John's,Iona,11,237,271,203,2025-12-13,home,W,91,64,70.6873080260679,48.7354530741478,121.333333333333,84.2105263157895,115.445055846327,79.8277498985643,75,76,61.2302601509085,61.0507663513942,#FFFCFA,#FFDCAF
St. John's,DePaul,11,95,175,50,2025-12-16,home,W,79,66,71.8392751511606,56.498535539847,112.857142857143,92.9577464788732,112.95600251941,87.7519165003135,70,71,63.5993427076316,64.3843893023638,#F7FAFC,#FFF0DD
St. John's,Kentucky,11,25,36,21,2025-12-20,neutral,L,66,78,54.6475402485857,68.3223173769298,91.6666666666667,109.859154929577,83.9275326072175,105.90899046851,72,71,65.112768779153,64.5104037671328,#73A8D6,#C8DDEF
St. John's,Harvard,11,137,208,83,2025-12-23,home,W,85,59,69.6497352594534,45.3749472093899,128.787878787879,88.0597014925373,137.144825577181,89.2603365352565,66,67,50.7855363600695,50.8343895739935,#FFC47A,#FFF3E5
St. John's,Georgetown,11,96,80,78,2025-12-31,away,W,95,83,86.1299881794332,68.5559291932858,137.68115942029,120.289855072464,142.400446343153,115.012322671408,69,69,60.4843526767321,59.6074643141946,#FFB65B,#A0C4E3
St. John's,Providence,11,72,40,168,2026-01-03,home,L,71,77,71,77,97.2602739726027,105.479452054795,98.5164541103606,105.479452054795,73,73,72.0691793479128,73,#B6D1E9,#CADEEF
St. John's,Butler,11,94,73,135,2026-01-06,away,W,84,70,75.9529240671626,58.3164630444709,120,98.5915492957747,121.069130867507,93.3955359037176,70,71,62.7351691739511,62.4403109636738,#FFEED9,#FFFEFD
St. John's,Creighton,11,68,70,82,2026-01-10,away,W,90,73,73.1053247374541,48.676532888298,130.434782608696,104.285714285714,137.983260696061,92.3720208345235,69,70,52.9812995929159,52.6961870580895,#FFC275,#FFFBF7
St. John's,Marquette,11,74,126,37,2026-01-13,home,W,92,68,68.5893800193496,47.9509771893509,121.052631578947,89.4736842105263,113.562337481303,78.7216985689096,76,76,60.3979994957766,60.9120205242735,#FAFCFD,#FFD9A9
St. John's,Villanova,11,46,47,36,2026-01-17,away,W,86,79,81.5310849643442,73.4301317734724,122.857142857143,112.857142857143,120.829348267082,110.759033179554,70,70,67.4762267062198,66.2971946084372,#FFEEDA,#B2CFE9
St. John's,Seton Hall,11,52,145,16,2026-01-20,home,W,65,60,64.4895028817892,56.7629179640965,100,92.3076923076923,101.3578509113,89.6972268364222,65,65,63.6255626002027,63.2828014489379,#C2D9ED,#FFF5E8
St. John's,Xavier,11,97,68,183,2026-01-24,away,W,88,83,88,83,115.789473684211,109.210526315789,115.789473684211,109.210526315789,76,76,76,76,#FFFBF8,#B9D4EB
St. John's,Butler,11,94,73,135,2026-01-28,home,W,92,70,74.0875399569687,51.6435244239664,148.387096774194,111.111111111111,149.749689812095,103.266042503134,62,63,49.4742527012465,50.0101709837473,#FFA330,#D4E4F2
St. John's,DePaul,11,95,175,50,2026-02-03,away,W,68,56,61.0251213276298,50.0049914965028,107.936507936508,87.5,103.401388360652,84.582749013202,63,64,59.0177001442003,59.1196101804374,#CCDFF0,#FFE8CB
St. John's,Connecticut,11,9,12,12,2026-02-06,home,W,81,72,78.3142549333415,72,120.89552238806,105.882352941176,119.997374708523,108.912509619001,67,68,65.2633069044794,66.108108473371,#FFF0DF,#BBD5EB
St. John's,Xavier,11,97,68,183,2026-02-09,home,W,87,82,87,82,104.819277108434,100,104.819277108434,100,83,82,83,82,#D2E3F2,#E2EDF6
St. John's,Providence,11,72,40,168,2026-02-14,away,W,79,69,74.5441896324538,64.3777894876204,103.947368421053,90.7894736842105,102.397628291347,88.9042574918592,76,76,72.798746295526,72.4124932864046,#C7DCEF,#FFF3E3
St. John's,Marquette,11,74,126,37,2026-02-18,away,W,76,70,75.2139435492008,66.5796329745777,108.571428571429,98.5915492957747,110.389399355959,96.1160221906378,70,71,68.1351144113647,69.2700670056058,#EBF3F9,#F3F8FB
St. John's,Creighton,11,68,70,82,2026-02-21,home,W,81,52,63.1145632854701,36.9056726065315,108,69.3333333333333,112.322007548792,66.1967819423986,75,75,56.1907364930721,55.7514603030781,#F4F8FC,#FFB961
St. John's,Connecticut,11,9,12,12,2026-02-25,away,L,40,72,31.0218000137947,55.9078435755555,70.1754385964912,124.137931034483,73.68907689049,130.006200280797,57,58,42.0982339891385,43.0039824676067,#5294CD,#5D9BD0
St. John's,Villanova,11,46,47,36,2026-02-28,home,W,89,57,66.4780104162562,42.0214818077137,121.917808219178,78.0821917808219,124.176923673415,79.9132526847453,73,73,53.5349149018163,52.5838711302201,#FFE6C6,#FFDCB0
St. John's,Georgetown,11,96,80,78,2026-03-03,home,W,72,69,72,69,104.347826086957,98.5714285714286,104.347826086957,98.5714285714286,69,70,69,70,#D0E2F1,#E9F1F8
St. John's,Seton Hall,11,52,145,16,2026-03-06,away,W,72,65,70.204501784514,59.4914507768428,110.769230769231,100,110.52367655964,95.9513030509245,65,65,63.5198755323985,62.0017122073566,#ECF3F9,#F4F8FC
St. John's,Providence,11,72,40,168,2026-03-12,neutral,W,85,72,75.3545470637273,54.3582883343894,111.842105263158,93.5064935064935,124.273203420106,89.937656981061,76,77,60.6361991080179,60.4399649257442,#FFE5C6,#FFF5E9
St. John's,Seton Hall,11,52,145,16,2026-03-13,neutral,W,78,68,67.8575213130736,57.1582117581477,116.417910447761,100,112.666131035584,93.8356972309072,67,68,60.2288555481164,60.9130783325401,#F6F9FC,#FEFEFE
St. John's,Connecticut,11,9,12,12,2026-03-14,neutral,W,72,52,66.0189330377772,49.0000057197208,116.129032258065,83.8709677419355,121.146624562275,89.8671357001696,62,62,54.4950660212911,54.5249443391666,#FFEED8,#FFF5E9
