team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
TCU,New Orleans,43,221,214,237,2025-11-03,home,L,74,78,68.1000041805592,75.485272399813,96.1038961038961,100,90.8487914321468,100.960981334455,77,78,74.959724952887,74.7667776224872,#BCD5EB,#F4F8FC
TCU,Saint Francis (PA),43,354,330,357,2025-11-06,home,W,104,63,62.0716819407932,32.2359725439797,133.333333333333,80.7692307692308,132.679262265009,68.7807189779389,78,78,46.7832582734846,46.8677458203355,#FFD299,#FFB85E
TCU,Lamar,43,240,291,178,2025-11-10,home,W,78,65,76.0004553323537,63.0388344197551,118.181818181818,97.0149253731343,123.746276265483,102.2289042124,66,67,61.4163574258217,61.664394141191,#FFE3C1,#EFF5FA
TCU,Michigan,43,2,3,2,2025-11-14,home,L,63,67,61.1118411065595,66.1794241526077,91.304347826087,98.5294117647059,89.7965094142194,98.5114489851411,69,68,68.0559205532798,67.1794241526077,#B8D3EA,#FFFFFF
TCU,Missouri-Kansas City,43,363,363,345,2025-11-19,home,W,81,45,59.2420873311623,30.5265640874568,115.714285714286,63.3802816901408,129.626037179045,66.0915638077719,70,71,45.7023053550073,46.1882914077259,#FFD8A7,#FFB150
TCU,Florida,43,4,9,6,2025-11-27,neutral,W,84,80,84,77.501085478253,112,105.263157894737,113.197443750871,103.829545492426,75,76,74.2066227086099,74.6426126693453,#FFF8F1,#E8F1F8
TCU,Wisconsin,43,19,8,48,2025-11-28,neutral,W,74,63,72.0502230227203,60.722436019511,102.777777777778,87.5,107.325433118929,92.3982814814455,72,72,67.1324782289773,65.7181443701469,#F5F9FC,#FFF0DE
TCU,Notre Dame,43,90,83,124,2025-12-05,home,L,85,87,85,87,111.842105263158,114.473684210526,111.842105263158,114.473684210526,76,76,76,76,#FFFBF7,#BCD5EB
TCU,North Texas,43,131,274,42,2025-12-07,away,W,65,55,63.759016942193,51.6386895293039,97.0149253731343,80.8823529411765,98.9658445760889,80.2524146583583,67,68,64.4252744118931,64.3453405721614,#D8E7F3,#FFD39C
TCU,Incarnate Word,43,261,183,318,2025-12-15,home,W,69,65,69,65,109.52380952381,101.5625,109.52380952381,101.5625,63,64,63,64,#FCFDFE,#F2F7FB
TCU,Oral Roberts,43,315,313,292,2025-12-18,home,W,72,53,58.1862995953199,34.0219713743107,120,88.3333333333333,123.631338439996,74.2222927416059,60,60,47.0643611316725,45.8379418333966,#FFE4C2,#FFC57C
TCU,Florida A&M,43,312,346,206,2025-12-21,home,W,80,56,62.4837566817776,42.3078787192317,121.212121212121,83.5820895522388,113.98535465866,77.112810483466,66,67,54.8173551496076,54.8649160288393,#FFF7ED,#FFCC8B
