team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Tennessee,Mercer,16,169,127,241,2025-11-03,home,W,76,61,63.7547712468342,41.8587607897652,107.042253521127,84.7222222222222,106.184845347521,71.1314502622581,71,72,60.04130913237,58.8470509675172,#C5DBEE,#FF9C1F
Tennessee,Northern Kentucky,16,190,163,224,2025-11-08,home,W,95,56,69.7963915422619,44.0365576508016,135.714285714286,80,141.760140227922,88.4368687347674,70,70,49.2355548111362,49.7943428807644,#FFC174,#FFC985
Tennessee,North Florida,16,338,216,364,2025-11-12,home,W,99,66,69.2175745742283,44.0386872211928,130.263157894737,85.7142857142857,124.762639821042,79.7313985776434,76,77,55.4794084779814,55.2338075172573,#FFEEDA,#FFA93C
Tennessee,Rice,16,235,203,261,2025-11-17,home,W,91,66,71.9065735710907,51.77568762143,133.823529411765,95.6521739130435,134.128066875272,95.3019732839428,68,69,53.6103853923118,54.3280331322935,#FFD6A2,#FFE2BF
Tennessee,Tennessee State,16,160,158,175,2025-11-20,home,W,89,60,58.8832763949176,28.7368656035798,112.658227848101,75,116.942454566739,57.2127641045954,79,80,50.3523520291023,50.2280672037511,#F6FAFC,#FF9C1F
Tennessee,Rutgers,16,113,137,114,2025-11-24,neutral,W,85,60,66.2096745098311,36.2806408340162,125,89.5522388059701,150.313126723965,85.4179816777675,68,67,44.0478326496519,42.4742426844994,#FFAB41,#FFBE6C
Tennessee,Houston,16,5,16,3,2025-11-25,neutral,W,76,73,76,73,124.590163934426,119.672131147541,124.590163934426,119.672131147541,61,61,61,61,#FFEFDB,#91BBDF
Tennessee,Kansas,16,21,50,11,2025-11-26,neutral,L,76,81,72.0668990414808,77.5200268629355,110.144927536232,119.117647058824,109.489432601895,118.344751760578,69,68,65.8208717762901,65.5035611716567,#D4E4F2,#9AC0E1
Tennessee,Syracuse,16,80,79,92,2025-12-02,away,L,60,62,60,61.0000001030577,85.7142857142857,87.3239436619718,86.9565216092531,87.1428572900824,70,71,69.0000001030577,70,#6CA4D4,#FFC47A
Tennessee,Illinois,16,8,2,23,2025-12-06,neutral,L,62,75,60.0019802085089,72.0201389700019,100,120.967741935484,104.887465863417,124.151536334345,62,62,57.2060538545592,58.0098652795151,#BFD7EC,#74A9D7
Tennessee,Louisville,16,20,24,22,2025-12-16,home,W,83,62,68.4080392820752,47.443449852651,122.058823529412,89.8550724637681,124.41584001982,86.8560633205581,68,69,54.9833841664997,54.6230718258003,#FFEFDC,#FFC378
Tennessee,Gardner-Webb,16,362,355,360,2025-12-21,home,W,94,52,53.1145368079605,19.6863878556637,134.285714285714,73.2394366197183,152.992207709191,56.6029574608217,70,71,34.7171516793332,34.7797866733198,#FFA431,#FF9C1F
Tennessee,South Carolina State,16,348,348,312,2025-12-30,home,W,105,54,59.3793850767379,28.5144336030345,152.173913043478,77.1428571428572,138.47022596913,67.3664770338236,69,70,42.8824208678448,42.3273337994472,#FFCA88,#FF9C1F
Tennessee,Arkansas,16,15,6,45,2026-01-03,away,L,75,86,68.1009785883822,79.2225703902602,97.4025974025974,111.688311688312,95.7341404922709,109.906124455809,77,77,71.1355199286302,72.0820343566148,#94BDE0,#D1E2F1
Tennessee,Texas,16,34,18,96,2026-01-06,home,W,85,71,85,67.415118410291,128.787878787879,107.575757575758,132.805681962506,106.929709262501,66,66,64.0032856606219,63.0462000460453,#FFD9AA,#E4EEF7
Tennessee,Florida,16,4,9,6,2026-01-10,away,L,67,91,44.5994585709834,69.4572209371198,89.3333333333333,122.972972972973,77.8992232145086,122.351179206603,75,74,57.2527641876111,56.7687384686616,#5294CD,#80B0DA
Tennessee,Texas A&M,16,41,44,47,2026-01-13,home,W,87,82,87,82,104.819277108434,98.7951807228916,105.865915826376,98.7951807228916,83,83,82.1794241526077,83,#C3DAED,#FFEFDC
Tennessee,Kentucky,16,25,36,21,2026-01-17,home,L,78,80,78,80,123.809523809524,126.984126984127,123.809523809524,126.984126984127,63,63,63,63,#FFF1E0,#629ED1
Tennessee,Alabama,16,17,5,53,2026-01-24,away,W,79,73,78.1794241526077,73,119.69696969697,108.955223880597,120.168116357738,111.74508851293,66,67,65.0583753180164,65.327255963964,#FFFBF6,#C5DBEE
Tennessee,Georgia,16,29,19,61,2026-01-28,away,W,86,85,86,82.9574900917505,124.63768115942,121.428571428571,124.63768115942,119.674684554737,69,70,69,69.3191633639168,#FFEFDB,#91BBDF
Tennessee,Auburn,16,35,17,101,2026-01-31,home,W,77,69,73.5677743277452,64.5500868073533,116.666666666667,102.985074626866,118.680727673258,102.863658960228,66,67,61.9879703891656,62.7530533716591,#FFFFFF,#FFFFFF
Tennessee,Ole Miss,16,58,78,49,2026-02-03,home,W,84,66,69.6337863762355,51.1648066814488,135.483870967742,106.451612903226,135.822260535377,99.9873215123415,62,62,51.2683164760744,51.1712944276975,#FFD198,#FFF4E6
