team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Tennessee State,Belmont,160,67,42,142,2025-11-08,away,L,79,87,76.0601397294353,82.5024748134627,96.3414634146341,106.09756097561,95.6975618807681,104.028452840566,82,82,79.4797048478628,79.307605333616,#B1CEE8,#FFFFFF
Tennessee State,Western Kentucky,160,163,173,155,2025-11-16,away,L,82,95,66.036055045784,86.9513669003485,107.894736842105,125,103.351655669702,133.664955475716,76,76,63.8945303951653,65.0517307179635,#DEEAF5,#6BA4D4
Tennessee State,Tennessee,160,16,33,13,2025-11-20,away,L,60,89,28.7368656035798,58.8832763949176,75,112.658227848101,57.2127641045954,116.942454566739,80,79,50.2280672037511,50.3523520291023,#5294CD,#BED7EC
Tennessee State,UNC Asheville,160,218,206,228,2025-11-25,away,W,75,73,75,73,102.739726027397,101.388888888889,102.739726027397,101.388888888889,73,72,73,72,#DAE8F4,#FFF7EE
Tennessee State,Chattanooga,160,259,187,314,2025-11-30,away,W,70,64,69.1794241526077,61.8703544370404,109.375,100,109.496762720577,97.7567371491206,64,64,63.1794241526077,63.2901181456801,#FFFDFA,#FFEDD6
Tennessee State,Alabama A&M,160,304,282,301,2025-12-03,away,L,53,80,49.3766551248196,66.4524295973263,79.1044776119403,119.402985074627,81.4979448710217,108.013761667172,67,67,60.5863806786329,61.5221880727473,#5E9BD0,#EBF2F9
Tennessee State,UNLV,160,119,86,192,2025-12-13,away,W,63,60,63,60,86.3013698630137,82.1917808219178,86.3013698630137,82.1917808219178,73,73,73,73,#7AACD8,#FFC072
Tennessee State,Tennessee-Martin,160,225,331,91,2025-12-18,home,W,78,71,74.2941105419709,69.0035113777222,109.859154929577,100,107.543982069867,101.051977874699,71,71,69.08253638377,68.2851665340823,#F6F9FC,#FFF6EB
Tennessee State,Southeast Missouri State,160,212,276,150,2025-12-20,home,L,82,91,75.2161266956476,86.9568675828857,105.128205128205,118.181818181818,101.301648141597,118.064193152707,78,77,74.2496574098301,73.6521931509021,#D2E3F2,#B9D3EA
Tennessee State,Tennessee Tech,160,309,288,306,2025-12-30,away,W,88,76,81.9970388234631,62.4136998530341,125.714285714286,108.571428571429,132.048642327382,104.695171561482,70,70,62.0960862438646,59.6146879766863,#FFB14F,#FBFCFE
