team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Texas,Duke,34,1,4,1,2025-11-04,neutral,L,60,75,54.0640425259634,70.0809589317092,88.2352941176471,110.294117647059,86.8045991940616,111.152599930551,68,68,62.2824631735204,63.0493204616861,#5294CD,#FFFFFF
Texas,Lafayette,34,317,318,291,2025-11-08,home,W,97,60,72.3860052753679,46.0914148105286,140.579710144928,85.7142857142857,143.295289734669,93.4054734131731,69,70,50.5152719321067,49.3455181225261,#FFA739,#FFD49D
Texas,Fairleigh Dickinson,34,334,329,328,2025-11-12,home,W,93,58,63.7078196018631,39.5331428958416,129.166666666667,80.5555555555556,123.971561830312,77.6235207449537,72,72,51.3890594433779,50.9293349701762,#FFF7ED,#FFAD47
Texas,Missouri-Kansas City,34,363,363,345,2025-11-15,home,W,71,55,59.2716243266001,42.2894923646026,110.9375,84.6153846153846,106.015763607034,75.3868810205691,64,65,55.9083124150299,56.0966202502316,#8BB7DD,#FFA83A
Texas,Rider,34,356,343,350,2025-11-18,home,W,99,65,66.4148332096041,40.5192387929196,133.783783783784,86.6666666666667,128.844805763244,79.4668358889244,74,75,51.5463800160039,50.9888664115881,#FFE3C0,#FFB251
Texas,Arizona State,34,87,100,89,2025-11-24,neutral,L,86,87,86,87,119.444444444444,120.833333333333,119.444444444444,120.833333333333,72,72,72,72,#EBF3F9,#D6E5F3
Texas,NC State,34,39,27,80,2025-11-26,neutral,W,102,97,92.2909782398029,84.4499991822863,139.72602739726,132.876712328767,140.62301906644,127.145684964147,73,73,65.6300645886421,66.4198704077923,#FFB252,#BBD5EB
Texas,Virginia,34,13,26,15,2025-12-03,home,L,69,88,41.9331026416821,69.1128934999905,106.153846153846,135.384615384615,89.0786677390341,143.315684236309,65,65,47.0742364092488,48.2242357968526,#5294CD,#76AAD7
Texas,Southern,34,265,238,279,2025-12-08,home,W,95,69,68.0388174157762,39.2564946652487,133.802816901408,95.8333333333333,135.816453315625,79.2725532970506,71,72,50.096152384174,49.5209161715108,#FFC67F,#FFB150
Texas,Connecticut,34,9,12,12,2025-12-12,away,L,63,71,61.0833601651761,69.3407281875287,95.4545454545455,107.575757575758,96.4554674834022,107.987105965807,66,66,63.3280432503084,64.2120441763524,#5294CD,#FFF7ED
Texas,Le Moyne,34,296,301,264,2025-12-16,home,W,95,53,64.1919328536134,38.5361166301071,128.378378378378,71.6216216216216,125.145994703157,74.5127275911291,74,74,51.2936374878597,51.7174956224458,#FFF2E2,#FFA636
Texas,Maryland-Eastern Shore,34,347,356,275,2025-12-22,home,W,94,71,72.9075982795858,52.124733587664,134.285714285714,100,132.003588912387,94.1153255101404,70,71,55.231527324591,55.3838955612472,#FFD6A2,#FFD5A1
Texas,Mississippi State,34,89,87,118,2026-01-03,home,L,98,101,98,101,122.5,126.25,122.5,126.25,80,80,80,80,#FFFDFB,#BFD7EC
Texas,Tennessee,34,16,33,13,2026-01-06,away,L,71,85,67.415118410291,85,107.575757575758,128.787878787879,106.929709262501,132.805681962506,66,66,63.0462000460453,64.0032856606219,#92BBDF,#A3C6E4
Texas,Alabama,34,17,5,53,2026-01-10,away,W,92,88,92,85.6198681258296,131.428571428571,123.943661971831,131.428571428571,120.591363557506,70,71,70,71,#FFD8A8,#D7E6F3
Texas,Vanderbilt,34,14,7,31,2026-01-14,home,W,80,64,76.1760062790128,60.0011974104058,119.402985074627,94.1176470588235,125.236711700224,97.5935448340003,67,68,60.8256199359125,61.4807029629507,#FFF2E1,#FFDEB4
Texas,Texas A&M,34,41,44,47,2026-01-17,home,L,70,74,64.27958581401,74,112.903225806452,121.311475409836,107.228455164723,124.156989162585,62,61,59.9463880322295,59.6019607910241,#94BCE0,#C7DCEF
Texas,Kentucky,34,25,36,21,2026-01-21,away,L,80,85,79.1859176144409,85,114.285714285714,121.428571428571,114.485065124259,121.428571428571,70,70,69.167028492751,70,#C8DDEF,#D3E4F2
Texas,Georgia,34,29,19,61,2026-01-24,home,W,87,67,75.9164853668167,56.3499778696736,138.095238095238,106.349206349206,141.416270881706,106.910685793206,63,63,53.6829919877612,52.7075263352715,#FFAF4B,#FFF4E7
Texas,Auburn,34,35,17,101,2026-01-28,away,L,82,88,71.4079908378995,85.0356734004943,132.258064516129,139.68253968254,120.761431428519,145.960869387472,62,63,59.1314544662111,58.2592264333231,#F5F9FC,#6BA3D4
Texas,Oklahoma,34,33,15,108,2026-01-31,away,W,79,69,75.3758485955617,67.5521813938199,117.910447761194,102.985074626866,118.650558126393,107.53579246245,67,67,63.5275971607884,62.8183229480626,#E6EFF7,#FFF6EB
Texas,South Carolina,34,99,107,116,2026-02-03,home,W,84,75,78.3481874569806,70.1260101143845,125.373134328358,110.294117647059,122.092133286794,109.337146489636,67,68,64.1713641557403,64.1374065135598,#FFFFFF,#FFFAF5
Texas,Ole Miss,34,58,78,49,2026-02-07,home,W,79,68,75.0777451445831,68,125.396825396825,107.936507936508,123.035545882307,113.150135669963,63,63,61.0211826234354,60.0971440267142,#FFFBF6,#F6F9FC
Texas,Missouri,34,49,41,77,2026-02-14,away,W,85,68,80.2786349578099,66.1725621304547,132.8125,104.615384615385,131.303612689747,108.306418736084,64,65,61.1397000534154,61.0975442662369,#FFD9A9,#FFF8EF
Texas,LSU,34,79,48,132,2026-02-17,home,W,88,85,88,82.6741954682273,125.714285714286,123.188405797101,127.228250103621,120.974579952198,70,69,69.167028492751,68.3401384827253,#FFE9CF,#D5E5F2
Texas,Georgia,34,29,19,61,2026-02-21,away,L,80,91,73.9774854501316,87.2795557154588,131.147540983607,149.180327868852,128.490063283555,149.020275424031,61,61,57.5744797376872,58.5689131677607,#FFE4C3,#5E9BD0
