team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Texas A&M,Northwestern State,41,299,307,256,2025-11-03,home,W,98,68,77.2697896100679,49.8950802116609,127.272727272727,88.3116883116883,131.787701988536,86.4169191433676,77,77,58.6320183478042,57.7376290502602,#FFDEB6,#FFBE6D
Texas A&M,Texas Southern,41,293,297,266,2025-11-06,home,W,104,70,71.6540758464085,46.6923760719792,136.842105263158,90.9090909090909,132.267513929041,86.313455952766,76,77,54.1736014520162,54.0962884136293,#FFDDB2,#FFBE6C
Texas A&M,Oklahoma State,41,85,51,147,2025-11-09,away,L,63,87,42.0395579422269,67.8163559676395,85.1351351351351,116,81.3008200036129,126.412298924841,74,75,51.7086518196971,53.6469604179576,#5294CD,#84B3DB
Texas A&M,UCF,41,61,53,111,2025-11-14,home,L,74,86,67.7938088810635,78.8055245059658,100,117.808219178082,99.7845253706217,116.431558521554,74,73,67.9402027812051,67.6839900681888,#6EA5D5,#BFD7EC
Texas A&M,Montana,41,210,230,191,2025-11-18,home,W,86,81,84.7957216202424,68.9303542488127,121.12676056338,114.084507042254,122.046504813061,103.321407692921,71,71,69.4782056644097,66.7144939156062,#F9FBFD,#FFF7ED
Texas A&M,Manhattan,41,321,252,349,2025-11-21,home,W,109,68,65.7926889481695,31.2462525053404,147.297297297297,91.8918918918919,147.462285592145,72.0017842992967,74,74,44.6166209102038,43.3964974749183,#FFA637,#FF9C1F
Texas A&M,Mississippi Valley State,41,365,364,355,2025-11-25,home,W,120,84,80.1370407059693,50.8773358274018,139.53488372093,96.551724137931,134.250664166614,86.4521983318567,86,87,59.6921000007226,58.8502511319645,#FFD6A2,#FFBE6D
Texas A&M,Florida State,41,63,56,107,2025-11-28,neutral,W,95,59,65.1562175128967,32.7931487458656,126.666666666667,78.6666666666667,126.187198499244,66.522468548037,75,75,51.6345701369124,49.2963497320986,#FFF3E3,#FF9C1F
Texas A&M,Pittsburgh,41,104,89,123,2025-12-02,away,W,81,73,75.4058291071424,65.1474558155425,124.615384615385,110.606060606061,123.380804841221,106.549114792732,65,66,61.1163375082393,61.1431225329958,#FFFDFA,#F9FBFD
Texas A&M,SMU,41,37,30,73,2025-12-07,neutral,L,80,93,80,88.3300110320904,94.1176470588235,109.411764705882,99.7479955168574,108.804006362725,85,85,80.2021129201338,81.1826824994116,#6EA5D5,#EBF3F9
Texas A&M,Jacksonville,41,290,278,287,2025-12-14,home,W,112,75,62.2754472044248,30.1141270438646,145.454545454545,96.1538461538462,145.174854296727,71.1642984913578,77,78,42.8968553170637,42.3163407526904,#FFAE49,#FF9C1F
Texas A&M,East Texas A&M,41,316,327,281,2025-12-21,home,W,118,77,80.9839185478489,53.1924479568561,142.168674698795,91.6666666666667,140.171398084363,93.9956189747752,83,84,57.7749238821949,56.5903480790215,#FFC072,#FFD8A6
Texas A&M,Prairie View,41,295,312,246,2025-12-29,home,W,111,82,75.9563370710923,44.8935665727262,129.06976744186,94.2528735632184,139.99703780807,83.1516474404066,86,87,54.2556744487872,53.9899905229186,#FFC173,#FFB354
Texas A&M,LSU,41,79,48,132,2026-01-03,home,W,75,72,75,72,100,97.2972972972973,100,97.2972972972973,75,74,75,74,#6FA6D5,#FFE3C0
Texas A&M,Auburn,41,35,17,101,2026-01-06,away,W,90,88,90,84.4041913687323,121.621621621622,117.333333333333,122.904408627386,113.709919135364,74,75,73.2276417136967,74.2276417136967,#FFFEFE,#CFE1F1
Texas A&M,Oklahoma,41,33,15,108,2026-01-10,home,W,83,76,81.3304892206739,76,118.571428571429,107.042253521127,117.725097081367,109.467802351297,70,71,69.0850899570392,69.4268071227973,#DEEBF5,#E8F0F8
Texas A&M,Tennessee,41,16,33,13,2026-01-13,away,L,82,87,82,87,98.7951807228916,104.819277108434,98.7951807228916,105.865915826376,83,83,83,82.1794241526077,#68A1D3,#FDFDFE
Texas A&M,Texas,41,34,18,96,2026-01-17,away,W,74,70,74,64.27958581401,121.311475409836,112.903225806452,124.156989162585,107.228455164723,61,62,59.6019607910241,59.9463880322295,#FFFAF4,#F5F8FC
