team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Texas Tech,Lindenwood,30,255,324,149,2025-11-04,home,W,98,60,67.4335798553328,40.9821577855086,128.947368421053,78.9473684210526,126.795523354126,77.4374010912566,76,76,53.1829342799416,52.9229509358313,#FFEED9,#FFB85F
Texas Tech,Sam Houston State,30,111,98,145,2025-11-07,home,W,98,77,80.3520109939235,61.2325035122953,136.111111111111,105.479452054795,137.092709239312,104.194397144334,72,73,58.611439980852,58.76755870805,#FFD7A5,#FFFBF6
Texas Tech,Illinois,30,8,2,23,2025-11-11,away,L,77,81,74.8942205146515,81,110,114.084507042254,108.009909056224,114.084507042254,70,71,69.3401384827253,71,#D2E3F2,#D9E8F4
Texas Tech,Milwaukee,30,270,204,308,2025-11-14,home,W,80,63,71.4214260386394,55.7069387449773,126.984126984127,98.4375,125.672479586234,96.9442235704421,63,64,56.8313971951441,57.4628757581407,#FFF1DF,#FFE9CD
Texas Tech,Wake Forest,30,70,62,110,2025-11-20,neutral,W,84,83,82.1859176144409,77.1827779593166,112,110.666666666667,112.297447778702,105.641664018388,75,75,73.1859176144409,73.0609259864389,#E3EDF6,#FEFEFE
Texas Tech,Purdue,30,6,1,32,2025-11-21,neutral,L,56,86,28.713453835262,58.3551543307525,84.8484848484848,130.30303030303,72.0134318316167,142.253103492883,66,66,39.872358676643,41.0220606073961,#5294CD,#5E9BD0
Texas Tech,New Orleans,30,221,214,237,2025-11-26,home,W,82,50,64.1194740111025,43.0127080105345,112.328767123288,68.4931506849315,111.921787031873,74.8329526607535,73,73,57.2895373738472,57.4782986387396,#E1ECF6,#FFB150
Texas Tech,Wyoming,30,123,93,189,2025-11-30,home,W,76,72,75.2372044558582,66.1999325186987,111.764705882353,105.882352941176,111.898174626299,100.846543411563,68,68,67.2372044558582,65.6442256513753,#E1ECF6,#FFF3E3
Texas Tech,LSU,30,79,48,132,2025-12-07,neutral,W,82,58,67.4658522392092,44.5913778065408,110.810810810811,78.3783783783784,117.946283809842,79.3311643788564,74,74,57.2004899687901,56.2091558288352,#F9FBFD,#FFBD69
Texas Tech,Arkansas,30,15,6,45,2025-12-13,neutral,L,86,93,83.0025828353048,89.2948554033771,128.358208955224,136.764705882353,132.784151939876,140.886250281697,67,68,62.5094046410657,63.3808162434838,#FFE1BB,#649FD2
Texas Tech,Northern Colorado,30,143,108,215,2025-12-16,home,W,101,90,96.4422383652293,88.0001423629122,150.746268656716,132.352941176471,149.377013490667,134.979307167548,67,68,64.5629713110142,65.1952837879652,#FFBB67,#7EAFD9
Texas Tech,Duke,30,1,4,1,2025-12-20,neutral,W,82,81,82,81,118.840579710145,117.391304347826,118.840579710145,117.391304347826,69,69,69,69,#FCFDFE,#CBDFF0
Texas Tech,Winthrop,30,133,128,167,2025-12-28,home,W,87,57,56.0137039863702,20.1264981689084,124.285714285714,80.2816901408451,160.397447594532,58.5023920209179,70,71,34.9218175391213,34.402863667031,#FFA32F,#FF9C1F
Texas Tech,Oklahoma State,30,85,51,147,2026-01-03,home,W,102,80,81.9179228533762,61.1454289834531,137.837837837838,108.108108108108,133.284893944352,99.7417590609363,74,74,61.4607705563226,61.3037403381836,#FFDFB8,#FFF0DD
Texas Tech,Houston,30,5,16,3,2026-01-06,away,L,65,69,62.0441750858028,67.1968649928298,98.4848484848485,106.153846153846,96.6098926165224,106.234004333087,66,65,64.2213477372108,63.2536309015899,#A5C7E5,#FCFDFE
Texas Tech,Colorado,30,82,64,136,2026-01-10,away,W,73,71,73,68.4865608306263,104.285714285714,102.898550724638,104.285714285714,100.193640771648,70,69,70,68.35419923178,#C3DAED,#FFF1E0
Texas Tech,Utah,30,144,105,217,2026-01-14,home,W,88,74,79.6679482858856,60.1744900863843,123.943661971831,104.225352112676,121.416965977734,93.5938698161886,71,71,65.6151697123576,64.2931959161028,#FFFAF4,#FFE0BA
Texas Tech,BYU,30,40,13,46,2026-01-17,home,W,84,71,77.0186387268539,67.0001675027905,120,101.428571428571,119.400142442845,104.545344681685,70,70,64.5046455984938,64.0871840891522,#FEFEFE,#FFFCF8
Texas Tech,Baylor,30,47,21,126,2026-01-20,away,W,92,73,76.8695643595193,55.1021657685546,137.313432835821,107.352941176471,150.684737482975,107.912452048222,67,68,51.0135038515127,51.0619161391415,#FFB860,#F4F8FC
Texas Tech,Houston,30,5,16,3,2026-01-24,home,W,90,86,90,86,138.461538461538,130.30303030303,138.461538461538,130.30303030303,65,66,65,66,#FFD49E,#92BCDF
Texas Tech,UCF,30,61,53,111,2026-01-31,away,L,80,88,79,85.1124394841157,115.942028985507,125.714285714286,119.460817178613,126.968962064992,69,70,66.1304701121225,67.0340515507633,#FFFEFE,#A1C5E3
Texas Tech,Kansas,30,21,50,11,2026-02-02,home,L,61,64,61,64,88.4057971014493,92.7536231884058,88.4057971014493,92.7536231884058,69,69,69,69,#85B3DB,#FFDEB6
Texas Tech,West Virginia,30,55,129,20,2026-02-08,away,W,70,63,66.7926209780323,58.1378902752607,107.692307692308,96.9230769230769,112.271436491066,96.4575053204331,65,65,59.4920872713222,60.2730602270149,#E2EDF6,#FFE8CB
Texas Tech,Colorado,30,82,64,136,2026-02-11,home,W,78,44,59.8878989284644,33.6128914195114,123.809523809524,69.8412698412698,125.816704069939,72.1031673387924,63,63,47.5993226584397,46.6177737540626,#FFF0DE,#FFAA40
Texas Tech,Arizona,30,3,10,4,2026-02-14,away,W,78,75,78,75,109.859154929577,104.166666666667,109.859154929577,104.166666666667,71,72,71,72,#D9E7F4,#FFFBF6
