team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Utah State,VCU,32,42,45,51,2025-11-07,neutral,W,80,77,80,77,105.263157894737,101.315789473684,105.263157894737,101.315789473684,76,76,76,76,#D8E7F3,#F9FBFD
Utah State,Weber State,32,226,156,295,2025-11-12,home,W,83,73,81.0153158939121,71.0077259287937,115.277777777778,100,117.186600085523,102.530810709975,72,73,69.1336004584032,69.2550126514168,#FFFCFA,#F4F8FB
Utah State,UTEP,32,275,316,197,2025-11-15,home,W,75,51,56.3412221287433,38.0167159111083,110.294117647059,73.9130434782609,100.522972424641,66.9547600435668,68,69,56.0481059898829,56.7797060080138,#C7DCEE,#FFB455
Utah State,Tulane,32,196,195,196,2025-11-21,neutral,W,96,75,81.3779384231001,61.4237609973027,137.142857142857,107.142857142857,128.306196118786,99.8260665688429,70,70,63.4247923208327,61.5307836004368,#FFE6C6,#FFFFFF
Utah State,Davidson,32,116,161,95,2025-11-23,neutral,W,94,60,65.0042368579012,37.409919065541,134.285714285714,84.5070422535211,135.824766029048,78.8276127379637,70,71,47.8588984603876,47.4578866036422,#FFD6A3,#FFCF92
Utah State,Montana State,32,139,130,176,2025-11-29,home,W,84,81,84,79.270126551914,107.692307692308,103.846153846154,107.692307692308,102.385262877355,78,78,78,77.4233755173047,#E0ECF6,#F4F8FC
Utah State,South Florida,32,44,59,35,2025-12-04,away,L,61,74,43.6626097001743,65.3749403695825,84.7222222222222,104.225352112676,71.9804172387761,105.625568305279,72,71,60.6590116799895,61.8931016594733,#619DD1,#E7F0F8
Utah State,Charlotte,32,178,111,267,2025-12-07,away,W,79,53,63.6307733118579,38.8774898682144,119.69696969697,80.3030303030303,129.89455296863,81.1565106376125,66,66,48.9864831570151,47.9043388666792,#FFE2BF,#FFD49E
Utah State,Illinois State,32,93,135,75,2025-12-13,neutral,W,83,78,81.7986183289783,72.8412035965176,125.757575757576,118.181818181818,126.235127288814,116.255468020871,66,66,64.7986183289783,62.6561527268897,#FFEAD0,#BDD6EC
Utah State,Colorado State,32,98,75,166,2025-12-20,home,W,100,58,62.8387075083177,32.0824606000477,156.25,90.625,142.725132427714,76.5462082748371,64,64,44.027780138963,41.912540572691,#FFC883,#FFC986
Utah State,Fresno State,32,168,229,119,2025-12-30,away,W,72,63,68.553359079448,59.4592032879403,94.7368421052632,82.8947368421053,94.6526538669587,83.193039567696,76,76,72.4262408699125,71.4713677934043,#B2CFE8,#FFD9A9
Utah State,San Jose State,32,258,143,340,2026-01-03,home,W,96,78,90.1046854260723,77.0188746463026,150,120,147.414454695983,125.866760175938,64,65,61.1233719324865,61.1907977440941,#FFBF6E,#97BEE0
Utah State,Air Force,32,357,358,323,2026-01-06,away,W,99,62,64.9691973970842,38.6055826168739,152.307692307692,93.9393939393939,134.582505879822,82.0774404101097,65,66,48.2746230443201,47.0355586431259,#FFD9A9,#FFD6A3
