team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
VCU,Wagner,42,313,315,280,2025-11-03,home,W,103,74,82.3630255848106,60.2410235863761,135.526315789474,96.1038961038961,147.648683369035,107.908227104642,76,77,55.7831087317938,55.8261637715155,#FFA432,#E1ECF6
VCU,Utah State,42,32,28,60,2025-11-07,neutral,L,77,80,77,80,101.315789473684,105.263157894737,101.315789473684,105.263157894737,76,76,76,76,#B0CEE8,#F1F6FB
VCU,Saint Peter's,42,219,264,174,2025-11-12,home,W,78,61,71.5986294260271,57.7903111302031,113.04347826087,88.4057971014493,113.017108160437,90.9464905438604,69,69,63.3520274863051,63.5432008256908,#ECF3F9,#FFD49E
VCU,NC State,42,39,27,80,2025-11-17,away,L,79,85,76.7873894293128,84.1731290002698,103.947368421053,113.333333333333,103.322200524456,113.481971348362,76,75,74.318383696384,74.1731290002698,#BAD4EB,#BFD7EC
VCU,Coppin State,42,359,359,330,2025-11-22,home,W,101,58,65.9265390110191,32.6511867926098,136.486486486486,78.3783783783784,141.325188871768,72.4571871549305,74,74,46.6488242735255,45.062730247579,#FFB75C,#FF9C1F
VCU,South Florida,42,44,59,35,2025-11-26,neutral,W,78,66,71.3390856910832,59.0049621662732,105.405405405405,89.1891891891892,103.144552538604,85.4279493475738,74,74,69.1641816608616,69.0698566650645,#B9D4EA,#FFC172
VCU,Vanderbilt,42,14,7,31,2025-11-27,neutral,L,74,89,65.1062302015635,81.4608776962297,101.369863013699,121.917808219178,99.4065246730125,123.874609981978,73,73,65.4949264303564,65.760754127162,#A6C8E5,#80B0DA
VCU,Virginia Tech,42,53,58,74,2025-11-28,neutral,W,86,68,83.0066045555045,66.7663203051198,119.444444444444,94.4444444444444,125.67760952687,103.04930172348,72,72,66.0472496795522,64.7906576643082,#FFE4C3,#FFFEFE
VCU,Samford,42,172,136,222,2025-12-05,home,W,83,57,66.3702181280349,46.002518635255,118.571428571429,81.4285714285714,115.958176871029,80.7783057739832,70,70,57.2363415146246,56.9491006211117,#FBFCFD,#FFB04E
VCU,New Mexico,42,54,72,55,2025-12-10,home,L,78,81,78,81,113.04347826087,115.714285714286,113.04347826087,115.714285714286,69,70,69,70,#ECF3F9,#B2CFE8
VCU,Niagara,42,330,323,325,2025-12-15,home,W,84,58,66.6218574423365,48.5254426930429,133.333333333333,90.625,127.347987374573,92.6744680317653,63,64,52.3148098496281,52.3611774889392,#FFDFB8,#FFDAAC
VCU,American,42,243,227,258,2025-12-18,home,W,105,83,78.8574981669081,54.816668181151,150,116.901408450704,146.937206112499,102.250312388423,70,71,53.6674816768551,53.6102696419317,#FFA637,#FFFBF8
VCU,Rider,42,356,343,350,2025-12-22,home,W,100,79,78.3564870635459,51.7771459923307,140.845070422535,109.722222222222,145.617220626598,98.7080189224906,71,72,53.8099043000367,52.4548527642806,#FFAA40,#FFEFDC
VCU,Saint Bonaventure,42,130,99,198,2025-12-31,home,W,89,82,85.2326128200469,79.0036488895163,132.835820895522,122.388059701493,130.997573442733,122.694666780472,67,67,65.0642684288402,64.3904506712352,#FFD5A0,#87B5DC
VCU,Duquesne,42,126,134,140,2026-01-03,away,W,93,80,84.1451427988578,67.7803767556541,130.985915492958,111.111111111111,130.120142921401,105.115212609165,71,72,64.6672689636418,64.4819860733878,#FFD7A6,#F2F7FB
VCU,Saint Louis,42,31,38,38,2026-01-07,home,L,62,71,62,68.1416009569052,80.5194805194805,92.2077922077922,83.6080122023323,91.522209917105,77,77,74.1555723750008,74.453622807648,#5696CE,#FFD6A3
VCU,George Mason,42,92,103,104,2026-01-10,away,L,80,86,71.0744809683762,80.389664042449,119.402985074627,130.30303030303,113.785832180627,128.846551431861,67,66,62.4633837150748,62.3917855379794,#F0F5FA,#619DD1
