team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Vanderbilt,Lipscomb,14,207,219,190,2025-11-03,home,W,105,61,58.8854660087759,25.2789519877168,140,82.4324324324324,146.303958598114,64.3717209842106,75,74,40.2487168310529,39.2702752096956,#FFC781,#FF9C1F
Vanderbilt,UCF,14,61,53,111,2025-11-08,away,W,105,93,89.8838671324045,69.9572978981873,138.157894736842,122.368421052632,137.797214003417,109.878904901345,76,76,65.2290888335201,63.667632982872,#FFDBAE,#E3EDF7
Vanderbilt,Eastern Kentucky,14,286,164,351,2025-11-12,home,W,92,62,65.9931408961024,38.0413402208049,127.777777777778,84.9315068493151,132.613432921423,77.8683891470446,72,73,49.7635416279473,48.8533802194992,#FFE7CA,#FFB961
Vanderbilt,Arkansas-Pine Bluff,14,323,293,334,2025-11-15,home,W,104,75,81.887061308862,59.8191323044253,138.666666666667,98.6842105263158,130.954515283775,96.4097591966654,75,76,62.5309185646747,62.0467604139543,#FFEBD3,#FFEAD1
Vanderbilt,Texas Southern,14,293,297,266,2025-11-20,home,W,109,74,66.3285473689036,34.9747137272442,149.315068493151,101.369863013699,161.361769301769,86.4739059364583,73,73,41.1054908829488,40.4453960399844,#FFA330,#FFD095
Vanderbilt,Western Kentucky,14,163,173,155,2025-11-26,neutral,W,83,78,78.6038604319952,68.6903357215715,103.75,97.5,104.042594111464,90.5145154915702,80,80,75.5496929918767,75.8887514875653,#B1CEE8,#FFDBAE
Vanderbilt,VCU,14,42,45,51,2025-11-27,neutral,W,89,74,81.4608776962297,65.1062302015635,121.917808219178,101.369863013699,123.874609981978,99.4065246730125,73,73,65.760754127162,65.4949264303564,#FFFCF9,#FFF2E3
Vanderbilt,Saint Mary's,14,23,43,19,2025-11-28,neutral,W,96,71,85.2424491161443,66.5287309642665,133.333333333333,97.2602739726027,133.773895104597,104.452458511253,72,73,63.7212881104297,63.6928339576603,#FFE5C4,#FCFDFE
Vanderbilt,SMU,14,37,30,73,2025-12-03,home,W,88,69,79.6510593082789,62.858604519761,127.536231884058,100,130.351930854275,104.09062373417,69,69,61.1046255980081,60.3883445643397,#FFEDD6,#FEFEFE
Vanderbilt,Central Arkansas,14,176,188,170,2025-12-13,home,W,83,72,72.665403364644,49.1253015056784,107.792207792208,94.7368421052632,112.490126044834,81.0280293409237,77,76,64.5971392508555,60.6275407476402,#D4E4F2,#FFC174
Vanderbilt,Memphis,14,127,169,100,2025-12-17,away,W,77,70,72.743581982,66.1554945708926,90.5882352941177,81.3953488372093,88.4556807759118,79.5820195670816,85,86,82.2373208186415,83.1286953143084,#70A6D5,#FFBE6C
Vanderbilt,Wake Forest,14,70,62,110,2025-12-21,away,W,98,67,73.7930780767359,45.4809279580412,136.111111111111,91.7808219178082,149.914342370563,92.5696433580088,72,73,49.2234945035026,49.1315795418437,#FFBE6D,#FFE0BA
Vanderbilt,New Haven,14,329,354,226,2025-12-29,home,W,96,53,61.1142483606097,30.6843235794669,141.176470588235,76.8115942028985,137.049910740148,69.6618120132756,68,69,44.5926947566459,44.0475530174542,#FFDDB2,#FFA330
Vanderbilt,South Carolina,14,99,107,116,2026-01-03,away,W,83,71,79.0100769946463,62.3132329589695,129.6875,109.230769230769,133.507961712602,105.238626911521,64,65,59.1800488758332,59.2113701857387,#FFE5C5,#F9FBFD
Vanderbilt,Alabama,14,17,5,53,2026-01-07,home,W,96,90,91.1730354929592,78.0152553523933,115.66265060241,107.142857142857,117.321667068989,101.332039748383,83,84,77.7120183941358,76.9897216577425,#E8F0F8,#FFF7EF
Vanderbilt,LSU,14,79,48,132,2026-01-10,home,W,84,73,80.0278316603111,67.5074050063334,120,102.816901408451,123.722443119247,103.115745896115,70,71,64.6833586879446,65.4676009174624,#FFFCFA,#FFFCF9
Vanderbilt,Texas,14,34,18,96,2026-01-14,away,L,64,80,60.0011974104058,76.1760062790128,94.1176470588235,119.402985074627,97.5935448340003,125.236711700224,68,67,61.4807029629507,60.8256199359125,#96BEE0,#9CC1E2
Vanderbilt,Florida,14,4,9,6,2026-01-17,home,L,94,98,94,98,128.767123287671,134.246575342466,128.767123287671,134.246575342466,73,73,73,73,#FFF0DF,#72A7D6
Vanderbilt,Arkansas,14,15,6,45,2026-01-20,away,L,68,93,50.3378992583408,73.01772811256,98.5507246376812,134.782608695652,96.2815124031571,137.610417773433,69,69,52.2819989029277,53.0611920914149,#90BADF,#629ED1
Vanderbilt,Mississippi State,14,89,87,118,2026-01-24,away,W,88,56,67.4859607136956,38.6338062604687,117.333333333333,74.6666666666667,122.333644925794,70.934934331861,75,75,55.1654949500049,54.4637231631524,#FCFDFE,#FFA738
Vanderbilt,Kentucky,14,25,36,21,2026-01-27,home,W,80,55,59.1935928392818,34.3229924727823,114.285714285714,78.5714285714286,113.746935304076,67.2037858599194,70,70,52.0397254493419,51.0730043458052,#D9E7F4,#FF9D21
Vanderbilt,Ole Miss,14,58,78,49,2026-01-31,home,W,71,68,71,67.3808437857297,112.698412698413,107.936507936508,112.698412698413,106.953720294809,63,63,63,63,#D4E5F2,#F1F6FA
Vanderbilt,Oklahoma,14,33,15,108,2026-02-07,home,L,91,92,59.1618036017865,80.9953146172049,124.657534246575,127.777777777778,98.8636697557665,131.990563054308,73,72,59.841804120705,61.3644739009703,#9BC1E2,#7CAED9
Vanderbilt,Auburn,14,35,17,101,2026-02-10,away,W,84,76,75.8236473005209,66.3436975831847,135.483870967742,120.634920634921,134.577407899899,117.354891263584,62,63,56.3420328001263,56.5325372200927,#FFE3C0,#C0D8ED
Vanderbilt,Texas A&M,14,41,44,47,2026-02-14,home,W,82,69,74.1937577890778,60.1405656626897,117.142857142857,98.5714285714286,114.385379273836,95.3052436331225,70,70,64.862973100312,63.1031025891931,#DBE9F4,#FFE7CA
Vanderbilt,Missouri,14,49,41,77,2026-02-18,away,L,80,81,76.9536625589057,80.4184597482702,119.402985074627,119.117647058824,115.741203494665,120.195900809915,67,68,66.4876986201829,66.9061583684531,#E1ECF6,#B3D0E9
Vanderbilt,Tennessee,14,16,33,13,2026-02-21,home,L,65,69,65,69,101.5625,107.8125,101.5625,107.8125,64,64,64,64,#A6C8E5,#EDF3F9
Vanderbilt,Georgia,14,29,19,61,2026-02-25,home,W,88,80,84.1248745256257,77.0241222260254,133.333333333333,121.212121212121,131.37593897698,121.708678645524,66,66,64.0336999154512,63.2856449377435,#FFEAD1,#ACCBE7
Vanderbilt,Kentucky,14,25,36,21,2026-02-28,away,L,77,91,62.3965684184785,82.08489067191,111.594202898551,133.823529411765,105.514547477468,138.406763256735,69,68,59.1355125053283,59.3069939217121,#B7D2EA,#5E9BD0
Vanderbilt,Ole Miss,14,58,78,49,2026-03-03,away,W,89,86,89,86,112.658227848101,108.860759493671,112.658227848101,108.860759493671,79,79,79,79,#D4E4F2,#E8F0F8
Vanderbilt,Tennessee,14,16,33,13,2026-03-07,away,W,86,82,81.7394100397763,68.4696551769885,119.444444444444,113.888888888889,123.356526152505,103.359975270432,72,72,66.262736629534,66.2438772821333,#FFFDFC,#FFFDFB
Vanderbilt,Tennessee,14,16,33,13,2026-03-13,neutral,W,75,68,73.5503284180787,68,119.047619047619,106.25,118.338757386503,107.836971228004,63,64,62.1523582319341,63.0581508601766,#ECF3F9,#EDF3F9
Vanderbilt,Florida,14,4,9,6,2026-03-14,home,W,91,74,74.1945399790884,51.1284051485572,140,113.846153846154,148.243295103112,103.838768478741,65,65,50.0491708090284,49.2382622575352,#FFC276,#FFFEFE
