team,opponent,team_rank,opp_rank,opp_off_rank,opp_def_rank,date,venue,result,t_score_t,t_score_o,score_t,score_o,t_rating_t,t_rating_o,rating_t,rating_o,t_poss_t,t_poss_o,poss_t,poss_o,color_rating_t,color_rating_o
Villanova,BYU,46,40,13,46,2025-11-03,neutral,L,66,71,60.3995267277118,67.3589918268717,92.9577464788732,100,89.5647404821907,99.724884294621,71,71,67.4367238743039,67.5448182299921,#BDD6EB,#FFF5E9
Villanova,Queens,46,193,76,331,2025-11-08,home,W,94,74,85.8201528218509,66.4443415419037,138.235294117647,107.246376811594,136.241819064666,106.793658720231,68,69,62.9910503331707,62.2174971230913,#FFDDB3,#EBF3F9
Villanova,Sacred Heart,46,263,177,329,2025-11-11,home,W,94,60,68.1615244293688,34.5467708562758,144.615384615385,90.9090909090909,175.953943503833,91.2266621505201,65,66,38.7382760920523,37.8691602234389,#FFA12B,#FFDDB2
Villanova,Duquesne,46,126,134,140,2025-11-15,home,W,87,77,80.0836195147999,61.8966546048521,124.285714285714,108.450704225352,134.717604194209,103.14907651718,70,71,59.4455490756438,60.0069886176274,#FFE0B9,#FEFEFE
Villanova,La Salle,46,269,250,225,2025-11-19,away,W,70,55,60.5311007231972,41.3228185721608,114.754098360656,91.6666666666667,114.32877770394,80.6863317961087,61,60,52.9447632860604,51.2141494752568,#FEFEFE,#FFBE6D
Villanova,Old Dominion,46,223,199,251,2025-11-25,home,W,89,75,83.5384732273745,71.0429118539085,134.848484848485,113.636363636364,133.623929565456,114.005879977235,66,66,62.5175995789384,62.3151295951528,#FFE1BC,#C7DCEE
Villanova,Temple,46,142,116,201,2025-12-01,home,W,74,56,66.8577345492961,50.2403349000422,129.824561403509,96.551724137931,124.997101153441,93.7642734799495,57,58,53.487428054211,53.5815327474228,#FFEEDA,#FFE4C3
Villanova,Penn,46,153,205,105,2025-12-06,neutral,W,90,63,70.8059886892286,41.9830955575736,136.363636363636,94.0298507462687,153.680973324328,92.2389344318448,66,67,46.0733603891223,45.5155903699156,#FFC377,#FFE0B9
Villanova,Michigan,46,2,3,2,2025-12-09,away,L,61,89,25.6820527303948,57.4681318458006,78.2051282051282,115.584415584416,60.3999925067028,134.606153234343,78,77,42.5199601267248,42.6935399793731,#6FA6D5,#5F9CD0
Villanova,Pittsburgh,46,104,89,123,2025-12-13,home,W,79,61,70.7837517736423,55.877187197825,136.206896551724,103.389830508475,133.518912973184,103.561625928086,58,59,53.0140264007829,53.9554943224111,#FFE1BD,#FBFDFE
Villanova,Wisconsin,46,19,8,48,2025-12-19,neutral,W,76,66,67.705864709378,57.4108073030356,108.571428571429,94.2857142857143,106.485299722907,91.8063800559991,70,70,63.5823582086546,62.5346596478554,#EAF2F8,#FFDEB6
Villanova,Seton Hall,46,52,145,16,2025-12-23,away,W,64,56,61.4269129311944,44.1342872296668,101.587301587302,88.8888888888889,116.688126706281,84.6912969862893,63,63,52.6419565255457,52.1119510506631,#FFFBF7,#FFCA87
Villanova,DePaul,46,95,175,50,2025-12-31,home,W,71,66,68.7878295824307,60.5521973846127,105.970149253731,98.5074626865672,107.889022533806,93.9131268736165,67,67,63.7579505003639,64.4768195889174,#EDF4FA,#FFE4C3
Villanova,Butler,46,94,73,135,2026-01-03,away,W,85,67,75.7640464111474,59.6231354521464,121.428571428571,94.3661971830986,118.604238797709,93.1342162132427,70,71,63.8797122085749,64.018507779817,#FFF8F0,#FFE2BE
Villanova,Creighton,46,68,70,82,2026-01-07,home,L,72,76,68.5624015803205,75.2897662191768,110.769230769231,116.923076923077,111.124052506887,120.31773684288,65,65,61.6989751845771,62.5757832508899,#F6F9FC,#A7C8E5
Villanova,Marquette,46,74,126,37,2026-01-10,away,W,76,73,76,73,120.634920634921,114.0625,120.634920634921,114.0625,63,64,63,64,#FFF5E9,#C7DCEE
Villanova,Providence,46,72,40,168,2026-01-13,away,W,88,82,83.4475487026138,73.733829893489,127.536231884058,117.142857142857,126.591004891216,112.571491109121,69,70,65.9190191074977,65.4995586955626,#FFECD4,#CEE1F1
Villanova,St. John's,46,11,37,7,2026-01-17,home,L,79,86,73.4301317734724,81.5310849643442,112.857142857143,122.857142857143,110.759033179554,120.829348267082,70,70,66.2971946084372,67.4762267062198,#F5F9FC,#A5C7E4
Villanova,Georgetown,46,96,80,78,2026-01-21,home,W,66,51,60.3493870323421,37.1019879220528,104.761904761905,80.9523809523809,110.066185237241,70.3752097795526,63,63,54.830088734576,52.7202519726381,#F3F7FB,#FFA12A
Villanova,Connecticut,46,9,12,12,2026-01-24,away,L,67,75,67,72.4655603357249,103.076923076923,117.1875,106.083933738914,116.10415043626,65,64,63.1575372807119,62.4142720681703,#E8F1F8,#BCD6EB
