team,team2,seed,r32,s16,e8,f4,f2,champ,color_r32,color_s16,color_e8,color_f4,color_f2,color_champ
Michigan,Michigan,1,0.9972,0.9198,0.8284,0.6418,0.41,0.2647,#FF9D23,#FF9D23,#FF9D23,#FF9D23,#FF9D23,#FF9D23
Duke,Duke,1,0.9958,0.8814,0.7143,0.5608,0.3562,0.1896,#FF9E23,#FFA22C,#FFAB41,#FFAA3F,#FFAA40,#FFB961
Arizona,Arizona,1,0.9927,0.8975,0.742,0.5327,0.3001,0.1804,#FF9E24,#FFA028,#FFA83A,#FFAE48,#FFB75E,#FFBC69
Florida,Florida,1,0.9966,0.8665,0.6661,0.4098,0.2269,0.1121,#FF9E23,#FFA330,#FFB04E,#FFC172,#FFC985,#FFD5A2
Houston,Houston,2,0.9942,0.8221,0.5449,0.2959,0.1559,0.067,#FF9E24,#FFA83A,#FFBF6E,#FFD299,#FFDAAB,#FFE6C7
Purdue,Purdue,2,0.9972,0.8431,0.5882,0.2596,0.112,0.0478,#FF9D23,#FFA635,#FFBA63,#FFD7A6,#FFE4C3,#FFEDD7
Iowa State,Iowa State,2,0.9862,0.8021,0.5323,0.1915,0.08,0.0315,#FF9F25,#FFAA3F,#FFC071,#FFE2BD,#FFECD4,#FFF3E4
Illinois,Illinois,3,0.9906,0.851,0.3787,0.174,0.0752,0.0261,#FF9E24,#FFA533,#FFD29A,#FFE4C3,#FFEDD6,#FFF5E9
Connecticut,Connecticut,2,0.9642,0.7398,0.426,0.1441,0.056,0.0168,#FFA12A,#FFB04E,#FFCD8E,#FFE9CD,#FFF1E1,#FFF8F1
Michigan State,Michigan State,3,0.9327,0.627,0.3474,0.1166,0.0446,0.0141,#FFA431,#FFBC69,#FFD6A2,#FFEDD7,#FFF4E7,#FFF9F3
St. John's,St. John's,5,0.8528,0.551,0.157,0.0886,0.0355,0.0098,#FFAC43,#FFC47B,#FFECD5,#FFF1E0,#FFF6EB,#FFFBF6
Gonzaga,Gonzaga,3,0.9681,0.744,0.3058,0.1015,0.0286,0.0094,#FFA029,#FFB04D,#FFDBAD,#FFEFDC,#FFF8EF,#FFFBF7
Virginia,Virginia,3,0.9489,0.5505,0.236,0.0668,0.0233,0.0076,#FFA22E,#FFC47B,#FFE3C0,#FFF4E8,#FFF9F2,#FFFCF8
Vanderbilt,Vanderbilt,5,0.8571,0.5148,0.1626,0.0576,0.0173,0.0047,#FFAB42,#FFC884,#FFEBD3,#FFF6EB,#FFFAF5,#FFFDFB
Arkansas,Arkansas,4,0.9532,0.6697,0.1624,0.0612,0.0158,0.0041,#FFA22D,#FFB85F,#FFEBD3,#FFF5EA,#FFFBF6,#FFFDFB
Alabama,Alabama,4,0.8587,0.6412,0.1039,0.0392,0.0094,0.003,#FFAB41,#FFBB65,#FFF2E3,#FFF9F1,#FFFCF9,#FFFDFC
Tennessee,Tennessee,6,0.7688,0.3805,0.149,0.0326,0.0086,0.0024,#FFB455,#FFD6A4,#FFEDD7,#FFFAF3,#FFFCFA,#FFFEFD
Nebraska,Nebraska,4,0.8686,0.432,0.1178,0.0347,0.0087,0.0021,#FFAA3F,#FFD197,#FFF1DF,#FFF9F3,#FFFCFA,#FFFEFD
Kansas,Kansas,4,0.9239,0.4037,0.0799,0.0367,0.0092,0.0019,#FFA533,#FFD49E,#FFF5E9,#FFF9F2,#FFFCFA,#FFFEFD
Wisconsin,Wisconsin,5,0.7436,0.2771,0.0524,0.0165,0.0033,0.0008,#FFB65B,#FFE1BC,#FFF8F1,#FFFCF9,#FFFEFD,#FFFEFE
Ohio State,Ohio State,8,0.6387,0.0789,0.0344,0.0125,0.0028,0.0008,#FFC072,#FFF6EC,#FFFAF5,#FFFDFA,#FFFEFD,#FFFEFE
Louisville,Louisville,6,0.7057,0.278,0.1178,0.022,0.0037,0.0007,#FFBA63,#FFE1BC,#FFF1DF,#FFFBF7,#FFFEFD,#FFFEFE
