team,seed,e8_pct,f4_pct,champ_pct
Alabama,4,0.0266,0.0043,0.0007
Arizona,1,0.5782,0.3221,0.2074
Connecticut,2,0.1309,0.0724,0.0196
Duke,1,0.5732,0.4359,0.2504
Michigan,1,0.6705,0.4165,0.2625
Iowa State,2,0.2232,0.0952,0.0422
St. John's,5,0.0852,0.0415,0.0112
Arkansas,4,0.0670,0.0221,0.0069
Houston,2,0.3229,0.1132,0.0335
Texas,11,0.0164,0.0031,0.0007
Iowa,9,0.0508,0.0066,0.0007
Nebraska,4,0.2779,0.0803,0.0195
Michigan State,3,0.2107,0.1346,0.0495
Illinois,3,0.3484,0.1155,0.0366
Purdue,2,0.3384,0.1148,0.0501
Tennessee,6,0.0797,0.0219,0.0085
