team,championship_pct,final_four_pct,elite_eight_pct,sweet_sixteen_pct,round_of_32_pct
Duke,27.38,59.26,73.97,86.98,94.8
Michigan,25.32,60.9,77.17,89.72,100.0
Arizona,16.78,51.99,70.52,85.3,94.42
Florida,9.73,46.43,67.91,88.94,100.0
Illinois,3.49,23.54,49.18,75.57,93.02
Gonzaga,3.06,20.19,47.15,75.08,91.35
Iowa State,2.49,15.36,43.77,76.23,93.0
Michigan State,2.45,15.07,43.55,68.14,89.66
Purdue,1.78,14.46,36.53,72.87,92.62
Connecticut,1.53,12.92,39.25,75.66,91.42
Houston,1.45,13.0,31.9,67.04,93.39
Virginia,1.38,11.4,34.8,62.33,92.68
St. John's,0.55,6.29,14.77,62.44,86.6
Nebraska,0.49,6.53,15.74,53.18,88.84
Arkansas,0.43,6.12,16.01,59.14,90.04
Tennessee,0.33,4.36,15.82,36.87,100.0
Vanderbilt,0.23,4.4,11.93,40.39,78.87
Texas Tech,0.22,3.92,11.58,61.56,85.75
Saint Mary's,0.19,3.18,10.09,27.53,75.29
Louisville,0.11,2.44,10.37,26.14,78.86
Wisconsin,0.1,2.2,7.88,35.86,83.3
Kansas,0.08,1.7,6.21,31.91,86.08
Saint Louis,0.07,1.31,3.73,6.65,61.4
BYU,0.06,1.92,8.37,23.9,100.0
North Carolina,0.06,1.75,6.97,19.6,76.19
Miami FL,0.06,1.71,6.71,21.09,73.89
Alabama,0.04,1.14,4.91,30.8,79.44
Kentucky,0.02,0.82,4.13,16.0,62.15
Utah State,0.02,0.94,3.67,9.83,69.22
TCU,0.02,0.66,2.46,6.89,56.53
Georgia,0.02,0.46,1.73,3.63,38.6
UCLA,0.02,0.71,3.87,15.48,62.68
Ohio State,0.01,0.43,1.86,5.53,43.47
Clemson,0.01,0.46,2.04,6.19,55.86
Missouri,0.01,0.15,1.01,5.17,26.11
Iowa,0.0,0.28,1.43,4.87,44.14
UCF,0.0,0.26,1.68,7.65,37.33
South Florida,0.0,0.11,0.91,4.2,21.14
Santa Clara,0.0,0.22,1.31,6.92,37.85
Hawaii,0.0,0.04,0.23,1.88,9.96
McNeese State,0.0,0.13,0.77,4.9,21.13
Hofstra,0.0,0.04,0.35,3.33,20.56
Texas A&M,0.0,0.17,0.94,4.59,24.71
Villanova,0.0,0.18,1.21,4.03,30.78
VCU,0.0,0.1,0.7,3.94,23.81
