team,healthy_champ_pct,injury_champ_pct,delta_pct
Duke,35.293,30.749,-4.5440000000000005
Michigan,28.849999999999998,25.223000000000003,-3.6269999999999953
Arizona,14.966,16.118,1.1519999999999992
Florida,10.297,8.681999999999999,-1.615000000000002
Michigan State,3.2910000000000004,3.123,-0.16800000000000015
Illinois,0.788,2.7969999999999997,2.0089999999999995
Gonzaga,2.085,2.714,0.629
Iowa State,0.984,2.207,1.2229999999999999
Purdue,0.7969999999999999,1.7819999999999998,0.9849999999999999
Virginia,0.5760000000000001,1.354,0.778
Houston,0.305,1.103,0.798
Connecticut,0.28500000000000003,1.059,0.7739999999999999
St. John's,0.49500000000000005,0.747,0.25199999999999995
Arkansas,0.15,0.461,0.31100000000000005
Nebraska,0.187,0.44200000000000006,0.25500000000000006
Tennessee,0.186,0.313,0.127
Vanderbilt,0.07100000000000001,0.22,0.149
Saint Mary's,0.188,0.20600000000000002,0.018000000000000016
Wisconsin,0.02,0.10300000000000001,0.083
Texas Tech,0.038,0.086,0.047999999999999994
Louisville,0.033,0.064,0.031
North Carolina,0.019,0.06,0.040999999999999995
Miami FL,0.038,0.058,0.020000000000000004
Kansas,0.006,0.058,0.052000000000000005
BYU,0.015,0.051000000000000004,0.036000000000000004
Saint Louis,0.01,0.047,0.037
TCU,0.008,0.036000000000000004,0.028000000000000004
Alabama,0.006,0.027,0.020999999999999998
Kentucky,0.0,0.018000000000000002,0.018000000000000002
Georgia,0.005,0.018000000000000002,0.013000000000000001
Clemson,0.002,0.01,0.008
