rank,team,seed,region,team_strength,adj_em,net_rating,barthag,ppg,eff_height_m,shooting_eff,scoring_balance,q1_record,clutch,experience,legacy_factor,z_rating,injury_rank,star_above_avg,cinderella,form_trend,momentum,injury_penalty_r64,star_carrier_out
1,Duke,1,East,0.8289,38.3,1,0.981,80.7,2.07,0.5481,0.49,0.895,0.879,0.87,0.4,33.96,2,7.759,False,0.447,0.851,0.108,False
2,Michigan,1,Midwest,0.8185,37.19,2,0.98,86.4,2.1,0.5622,0.5055,0.842,0.835,2.1,0.4,34.57,1,5.991,False,0.129,0.724,0.073,False
3,Arizona,1,West,0.7863,37.66,3,0.978,84.2,2.08,0.5368,0.502,0.889,0.733,1.58,-0.9,33.51,3,2.133,False,0.366,0.83,0.0,False
4,Florida,1,South,0.7777,33.79,4,0.973,84.3,2.11,0.5196,0.4785,0.667,0.697,1.94,0.8,31.95,4,2.051,False,0.177,0.7,0.0,False
5,Michigan State,3,East,0.743,28.31,11,0.944,77.4,2.07,0.5204,0.4703,0.6,0.844,1.4,0.2,28.99,11,6.507,False,0.249,0.616,0.0,False
6,Gonzaga,3,West,0.7335,27.66,6,0.944,83.1,2.05,0.5403,0.5104,0.778,0.782,2.72,0.2,24.39,16,3.381,False,0.315,0.726,0.08,False
7,Purdue,2,West,0.7079,31.2,9,0.964,80.4,2.09,0.5542,0.4984,0.579,0.606,2.48,-0.5,31.5,6,5.659,False,0.496,0.621,0.0,False
8,Iowa State,2,Midwest,0.7048,32.23,7,0.966,80.4,2.07,0.5448,0.4898,0.533,0.735,2.56,-0.6,29.97,7,4.451,False,0.135,0.556,0.036,False
9,Illinois,3,South,0.6966,32.1,8,0.968,82.5,2.11,0.5335,0.4629,0.467,0.502,1.63,-0.5,30.84,8,2.947,False,0.196,0.538,0.0,False
10,Virginia,3,Midwest,0.691,26.71,12,0.943,78.1,2.09,0.5276,0.4623,0.667,0.703,2.01,-0.5,25.72,12,2.484,False,0.377,0.71,0.0,False
11,St. John's,5,East,0.6783,25.91,15,0.941,79.7,2.04,0.4977,0.4538,0.5,0.861,2.25,-0.7,25.57,10,4.486,False,0.537,0.776,0.0,False
12,Houston,2,South,0.6734,33.43,5,0.971,75.0,2.05,0.5022,0.4496,0.625,0.505,1.82,0.1,30.93,5,4.833,False,0.221,0.617,0.0,False
13,Connecticut,2,East,0.6659,27.25,10,0.952,75.2,2.07,0.5304,0.4827,0.7,0.525,2.41,1.1,27.19,9,3.46,False,0.269,0.644,0.113,False
14,Arkansas,4,West,0.6625,25.94,17,0.934,86.9,2.07,0.547,0.5002,0.5,0.753,1.59,0.4,28.15,14,3.183,False,0.469,0.722,0.021,False
15,Tennessee,6,Midwest,0.6584,25.83,20,0.941,76.2,2.09,0.5012,0.4624,0.375,0.546,1.61,-0.2,28.21,15,5.116,False,0.286,0.495,0.036,False
16,Saint Mary's,7,South,0.6554,23.06,22,0.91,76.3,2.09,0.5147,0.4601,0.2,0.682,0.74,-0.5,21.34,22,3.349,False,0.506,0.746,0.003,False
17,Nebraska,4,South,0.655,25.96,14,0.931,76.2,2.05,0.533,0.4654,0.6,0.718,2.36,-0.3,27.12,17,3.043,False,0.143,0.563,0.036,False
18,Louisville,6,East,0.6446,24.76,16,0.936,83.2,2.07,0.543,0.4703,0.444,0.718,2.48,-0.3,26.78,19,1.032,True,0.313,0.513,0.12,False
19,Texas,11,West,0.6438,19.0,42,0.854,80.2,2.07,0.5304,0.4792,0.4,0.776,2.74,-0.5,24.75,35,4.499,False,0.993,0.923,0.005,False
20,Vanderbilt,5,South,0.6367,27.51,13,0.946,83.5,2.03,0.538,0.4751,0.588,0.601,2.45,-0.4,28.37,13,4.125,False,0.262,0.612,0.0,False
21,Miami FL,7,West,0.634,20.68,32,0.884,80.3,2.07,0.5381,0.5007,0.5,0.603,1.76,0.5,22.57,27,3.008,False,0.356,0.606,0.0,False
22,Wisconsin,5,West,0.6119,22.97,25,0.929,81.6,2.1,0.5258,0.4496,0.5,0.73,2.35,-0.6,26.89,24,3.266,False,0.52,0.672,0.078,False
23,Texas Tech,5,Midwest,0.6111,22.96,19,0.944,78.3,2.02,0.5323,0.4674,0.438,0.673,2.1,0.1,28.4,34,4.167,False,0.168,0.477,0.412,False
24,Saint Louis,9,Midwest,0.6087,18.32,30,0.858,85.4,2.03,0.5767,0.506,0.667,0.523,2.28,-0.2,16.81,30,3.976,False,0.0,0.555,0.0,False
25,North Carolina,6,South,0.6086,19.81,24,0.903,78.9,2.1,0.5258,0.4731,0.429,0.877,1.29,-0.1,24.08,47,4.431,False,0.041,0.495,0.187,False
26,BYU,6,West,0.6049,22.65,23,0.887,82.8,2.06,0.5268,0.4772,0.412,0.676,1.61,-0.4,26.84,40,5.602,False,0.688,0.526,0.108,False
27,TCU,9,East,0.5883,17.59,39,0.836,75.1,2.01,0.4949,0.4477,0.462,0.787,1.78,-0.2,22.75,41,2.566,False,0.623,0.716,0.0,False
28,Georgia,8,Midwest,0.5861,20.48,33,0.877,86.8,2.07,0.53,0.4712,0.462,0.629,1.88,-0.3,23.55,28,2.89,False,0.668,0.627,0.0,False
29,Utah State,9,West,0.5859,20.76,26,0.895,80.5,2.06,0.5484,0.4945,0.5,0.571,2.43,-0.3,20.4,31,3.838,False,0.195,0.637,0.0,False
30,Ohio State,8,East,0.5752,22.06,29,0.917,78.5,2.07,0.5487,0.493,0.267,0.598,2.16,-0.6,26.26,21,6.49,False,0.717,0.605,0.033,False
31,Kentucky,7,Midwest,0.5733,20.99,28,0.89,79.0,2.08,0.5155,0.4644,0.312,0.457,1.49,-0.5,26.95,25,2.147,False,0.446,0.504,0.09,False
32,Alabama,4,Midwest,0.5702,24.85,18,0.934,89.1,2.06,0.5355,0.4575,0.5,0.714,2.03,-0.1,28.83,20,3.417,False,0.67,0.68,0.159,False
33,Kansas,4,East,0.5648,23.85,21,0.928,74.4,2.05,0.5,0.4535,0.5,0.639,1.76,-0.7,28.58,18,4.764,False,0.152,0.457,0.108,False
34,UCLA,7,East,0.5611,21.45,31,0.911,75.7,2.06,0.521,0.4705,0.385,0.624,2.53,0.1,25.44,29,2.563,False,0.479,0.609,0.039,False
35,Texas A&M,10,South,0.5586,18.67,44,0.873,83.9,2.04,0.526,0.4581,0.385,0.715,2.62,-0.3,22.77,39,2.724,False,0.051,0.468,0.0,False
36,SMU,11,Midwest,0.5568,17.74,37,0.861,81.1,2.08,0.5358,0.4898,0.308,0.429,2.74,-0.4,22.34,48,3.175,False,0.225,0.378,0.063,False
37,South Florida,11,East,0.551,16.39,45,0.835,83.5,2.02,0.4968,0.4367,0.4,0.727,1.56,0.1,16.74,42,3.904,False,0.563,0.802,0.0,False
38,Clemson,8,South,0.5494,18.88,34,0.892,72.2,2.07,0.5106,0.4535,0.5,0.587,2.35,-0.2,22.69,37,2.922,False,0.309,0.509,0.065,False
39,Missouri,10,West,0.5447,15.18,58,0.851,76.7,2.1,0.5373,0.4902,0.417,0.712,2.2,-0.6,21.84,49,3.463,False,0.518,0.491,0.039,False
40,Santa Clara,10,Midwest,0.5438,19.4,40,0.895,82.5,2.08,0.5247,0.4678,0.25,0.773,0.92,0.0,20.18,36,3.887,False,0.062,0.553,0.0,False
41,NC State,11,West,0.5356,19.6,36,0.877,82.2,2.01,0.536,0.4682,0.385,0.463,2.19,0.4,23.29,38,3.322,False,0.085,0.346,0.0,False
42,Villanova,8,West,0.5321,19.7,35,0.881,74.6,2.05,0.5168,0.4567,0.25,0.824,1.87,0.3,22.53,44,1.745,False,0.274,0.552,0.049,False
43,Iowa,9,South,0.5312,22.44,27,0.907,74.5,2.05,0.548,0.4913,0.308,0.384,1.45,-0.6,25.53,23,4.435,False,0.353,0.413,0.0,False
44,UCF,10,East,0.5246,14.82,51,0.812,78.6,2.08,0.51,0.4663,0.385,0.703,2.35,0.0,21.64,59,1.853,False,0.461,0.502,0.039,False
45,VCU,11,South,0.5126,17.21,43,0.843,80.8,2.05,0.5279,0.4603,0.286,0.604,1.62,-0.4,17.61,45,2.128,False,0.506,0.726,0.0,False
46,McNeese State,12,South,0.4959,12.5,56,0.764,75.6,2.03,0.4964,0.4542,0.0,0.824,1.92,-0.0,13.58,63,3.027,False,0.484,0.793,0.0,False
47,Miami OH,11,Midwest,0.4743,8.26,64,0.718,84.1,2.03,0.5746,0.508,0.0,0.795,1.96,0.0,9.61,80,2.323,False,0.235,0.748,0.0,False
48,Akron,12,Midwest,0.4687,12.8,54,0.773,85.7,1.98,0.563,0.4981,0.0,0.829,1.66,-0.1,12.67,60,2.881,False,0.466,0.795,0.0,False
49,High Point,12,West,0.4684,8.4,76,0.699,84.5,2.02,0.5333,0.4736,0.0,0.826,2.23,-0.1,8.76,78,2.366,False,0.698,0.875,0.0,False
50,Northern Iowa,12,East,0.425,11.81,72,0.774,67.2,2.03,0.5202,0.4722,0.0,0.396,1.94,-0.0,13.4,62,3.011,False,0.524,0.63,0.0,False
51,Cal Baptist,13,East,0.4143,5.99,98,0.689,70.6,2.07,0.4724,0.4321,0.0,0.806,1.41,0.0,10.1,114,2.52,False,0.421,0.701,0.0,False
52,Hawaii,13,West,0.4025,5.97,101,0.636,75.2,2.07,0.5076,0.4571,0.0,0.813,1.75,0.1,9.2,119,3.651,False,0.306,0.645,0.0,False
53,Hofstra,13,Midwest,0.3946,9.49,88,0.704,73.3,2.06,0.4989,0.4351,0.0,0.568,1.53,0.0,11.46,73,2.482,False,0.702,0.813,0.0,False
54,North Dakota State,14,East,0.3868,5.13,114,0.639,76.0,2.02,0.5151,0.4573,0.0,0.64,1.34,0.0,8.16,110,2.82,False,0.52,0.763,0.0,False
55,Troy,13,South,0.3617,1.72,125,0.544,72.9,2.04,0.5039,0.4435,1.0,0.754,1.28,-0.0,7.74,111,2.805,False,0.672,0.653,0.0,False
56,Wright State,14,Midwest,0.3532,2.04,127,0.587,77.3,2.02,0.5283,0.483,0.0,0.572,1.2,-0.0,7.36,147,2.296,False,0.641,0.732,0.0,False
57,Penn,14,South,0.3191,0.95,148,0.531,74.2,2.05,0.4867,0.4357,0.0,0.692,1.24,-0.0,8.19,163,2.431,False,0.62,0.73,0.094,False
58,Kennesaw State,14,West,0.3165,0.57,155,0.534,79.2,2.04,0.4955,0.4346,0.0,0.562,1.23,-0.0,7.35,162,2.223,False,0.619,0.596,0.0,False
59,UMBC,16,Midwest,0.307,-1.67,196,0.456,74.3,2.02,0.5222,0.4698,0.0,0.748,1.17,0.2,4.8,161,2.187,False,0.518,0.811,0.0,False
60,Idaho,15,South,0.3065,1.53,144,0.57,74.4,2.05,0.5031,0.4381,0.0,0.526,1.58,0.0,7.65,170,1.672,False,0.767,0.735,0.0,False
61,Howard,16,Midwest,0.3061,-3.19,203,0.424,74.6,2.0,0.4953,0.4469,0.0,0.528,1.33,-0.0,4.58,179,2.911,False,0.437,0.736,0.0,False
62,Tennessee State,15,Midwest,0.3051,-1.83,172,0.394,77.3,2.02,0.4863,0.4493,0.0,0.731,1.68,0.0,5.24,158,3.004,False,0.786,0.777,0.0,False
63,Siena,16,East,0.289,-2.1,183,0.455,70.6,2.03,0.4914,0.4565,0.0,0.682,1.16,0.0,4.45,176,2.777,False,0.334,0.61,0.0,False
64,Furman,15,East,0.283,-1.98,186,0.444,73.5,2.07,0.5286,0.471,0.0,0.364,1.17,0.1,4.69,150,2.293,False,0.492,0.602,0.0,False
65,LIU Brooklyn,16,West,0.263,-3.95,198,0.341,73.5,2.0,0.5149,0.4803,0.0,0.611,1.11,-0.0,4.61,208,3.201,False,0.347,0.681,0.0,False
66,Queens,15,West,0.2516,-1.44,189,0.439,82.7,2.05,0.5484,0.4819,0.0,0.525,1.31,0.0,7.45,193,3.363,False,0.587,0.696,0.0,False
67,Lehigh,16,South,0.1765,-10.37,275,0.252,70.3,2.03,0.5151,0.4633,0.0,0.683,1.27,0.1,1.65,273,4.146,False,0.683,0.662,0.0,False
68,Prairie View A&M,16,South,0.1425,-10.69,300,0.254,73.5,2.02,0.4696,0.4274,0.0,0.464,1.01,0.0,2.01,295,2.075,False,1.0,0.794,0.0,False
